gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
ABCA6,5.546930022200965,16,0.5418995245592082,0.09769358310290849,0.000999000999000999,1.0,False,False,False
ABCA7,3.2016935534064532,12181,0.1767590565565324,0.055207977150571914,0.014985014985014986,0.02665588249694645,True,False,False
ABCA8,5.334494022419515,29,0.8625356938451116,0.1616902440747247,0.000999000999000999,0.7464259878052981,False,False,False
ABCA9,6.097654034976911,24,0.4374258677679005,0.07173673748661874,0.000999000999000999,0.9019314019314019,False,False,False
ABCB1,3.2666210647785476,7779,0.10182762668692796,0.031172147611072988,0.001998001998001998,0.005565330671385434,True,True,False
ABCB10,1.5724711946227008,18388,0.03829558904995767,0.02435375188824007,0.16483516483516483,0.19423800041594255,False,False,False
ABCB11,3.411733898514084,10296,0.005858650452954392,0.0017171961559390714,0.006993006993006993,0.014716829402144088,True,False,False
ABCB5,1.1069033841938192,19997,0.0008351665580685412,0.0007544971864395919,0.36563436563436563,0.39618769988325425,False,False,False
ABCB6,25.810685383125087,23,0.22307020288977275,0.00864254247695263,0.000999000999000999,0.9411458107110281,False,False,False
ABCB7,3.5605381269532894,12180,0.13768552603907525,0.038669854253606833,0.013986013986013986,0.024880866260176604,True,False,False
ABCB8,5.143473393520499,22,0.12010650513612592,0.023351234567033304,0.000999000999000999,0.9839251657433475,False,False,False
ABCB9,3.8920437334667746,21,0.10665592408035605,0.0274035680130749,0.000999000999000999,1.0,False,False,False
ABCC1,3.836959249911443,7761,0.09947188432706061,0.02592465530087762,0.000999000999000999,0.002789119140104838,True,True,False
ABCC10,1.3126587514731383,18991,0.03247530200482056,0.02474008484062402,0.2217782217782218,0.2530404143799963,False,False,False
ABCC11,3.1482136914512013,10295,0.01387257741954252,0.00440648167406035,0.006993006993006993,0.014718258914470667,True,False,False
ABCC12,2.8437639695738564,12730,0.014746273694811834,0.005185467364713075,0.016983016983016984,0.028907149409898823,True,False,False
ABCC2,3.484791627562036,8562,0.08651802391098648,0.02482730628103531,0.001998001998001998,0.005056377866468967,True,True,False
ABCC3,7.04744436884354,19,0.44718798077517047,0.06345391136079429,0.000999000999000999,1.0,False,False,False
ABCC4,5.236639959704701,18,0.28343835692633107,0.05412598665192839,0.000999000999000999,1.0,False,False,False
ABCC5,3.9271894982448687,17,0.04889577512170989,0.012450566969500016,0.000999000999000999,1.0,False,False,False
ABCC6,7.741384595992016,11012,0.1394919689102352,0.018018984816825793,0.01098901098901099,0.021622765175253373,True,False,False
ABCC8,12.310781166035703,7746,0.4547306778085245,0.03693758735272397,0.000999000999000999,0.002794520222870339,True,True,False
ABCC9,1.0225698529104517,20301,0.048789263531411234,0.047712391644295096,0.42657342657342656,0.4552974241166941,False,False,False
ABCD1,9.751040712299718,7745,0.33502590849736114,0.034357954281163124,0.000999000999000999,0.002794881038909444,True,True,False
ABCD2,4.329273433491117,48,0.2642339086455333,0.06103422881740258,0.000999000999000999,0.45096570096570093,False,False,False
ABCD3,1.2536587727055197,19471,0.08404748935389267,0.06704174903663951,0.2807192807192807,0.3123940924772931,False,False,False
ABCD4,6.327268981772148,47,0.3014550109905988,0.047643769940293755,0.000999000999000999,0.4605607158798648,False,False,False
ABCE1,2.168568521139546,15262,0.1321555188562868,0.06094135180988245,0.04195804195804196,0.059569312878184594,False,False,False
ABCF1,8.921100233976937,46,0.08182015397735477,0.009171521742882365,0.000999000999000999,0.47057290535551405,False,False,False
ABCF3,2.943283390600614,10293,0.01990821646814812,0.00676393822589122,0.006993006993006993,0.01472111877241577,True,False,False
ABCG1,11.994468087187856,45,0.22175944845096346,0.018488467091188433,0.000999000999000999,0.481030081030081,False,False,False
ABCG4,2.99419544954348,9734,0.09990919333260868,0.0333676158000598,0.004995004995004995,0.011118940644315619,True,False,False
ABCG5,2.5954568170851706,14143,0.023899509064591047,0.009208199093392433,0.025974025974025976,0.039793904744763825,True,False,False
ABCG8,1.445009192180756,18413,0.0030490237301084386,0.002110027601564985,0.16683316683316685,0.19632547976652687,False,False,False
ABHD1,5.631664917321948,10298,0.04824794526764842,0.008567251365150963,0.007992007992007992,0.016815967097575175,True,False,False
ABHD10,2.4104503393068444,14344,0.18108949802561974,0.07512682214112361,0.027972027972027972,0.04225445497057321,True,False,False
