source,three_way_intersection_n,three_way_union_n,three_way_jaccard,model_terms_retained_in_both_sensitivities
GO:BP,406,447,0.9082774049217002,0.9103139013452914
KEGG,8,11,0.7272727272727273,0.7272727272727273
