run_id	sample_name	library_name	scientific_name	platform	monkey_id	hemisphere	brain_region_raw	replicate	include	notes	brain_region	region_full_name	lobe	regional_map	roi173	neocortex_flag	meta_lobe	region_group
SRR22506802	19R465	92_L_TFO	Macaca fascicularis	ILLUMINA	92	L	TFO		1		TFO	area TFO of the parahippocampal cortex	Temporal 	PHC	TFO	Yes	Temporal	Temporal
SRR22506806	19R466	92_L_TEO	Macaca fascicularis	ILLUMINA	92	L	TEO		1		TEO	area TEO	Temporal 	TCc	TEO	Yes	Temporal	Temporal
SRR22506800	19R467	92_L_V1_rep1	Macaca fascicularis	ILLUMINA	92	L	V1	rep1	1		V1	visual area 1, primary visual cortex	Occipital	V1	V1	Yes	Occipital	Occipital
SRR22506798	19R468	92_L_V2_rep1	Macaca fascicularis	ILLUMINA	92	L	V2	rep1	1		V2	visual area 2	Occipital	V2	V2	Yes	Occipital	Occipital
SRR22506795	19R469	92_L_V3v	Macaca fascicularis	ILLUMINA	92	L	V3v		1		V3v	visual area 3, ventral part	Occipital	VACv	V3v	Yes	Occipital	Occipital
SRR22506796	19R470	92_L_V2_rep2	Macaca fascicularis	ILLUMINA	92	L	V2	rep2	1		V2	visual area 2	Occipital	V2	V2	Yes	Occipital	Occipital
SRR22507068	19R471	92_L_F1	Macaca fascicularis	ILLUMINA	92	L	F1		1		F1	agranular frontal area F1,M1 (Primary motor cortex)	Frontal	M1	F1_(4)	Yes	Frontal	Frontal
SRR22507044	19R472	92_R_V2_rep1	Macaca fascicularis	ILLUMINA	92	R	V2	rep1	1		V2	visual area 2	Occipital	V2	V2	Yes	Occipital	Occipital
SRR22506609	19R495	92_R_9m	Macaca fascicularis	ILLUMINA	92	R	9m		1		9m	area 9, medial subdivision	Frontal	PFCdm	9m	Yes	Frontal	Frontal
SRR22506610	19R496	92_R_9d	Macaca fascicularis	ILLUMINA	92	R	9d		1		9d	area 9, dorsal subdivision	Frontal	PFCdl	9d	Yes	Frontal	Frontal
SRR22506614	19R497	92_R_46d	Macaca fascicularis	ILLUMINA	92	R	46d		1		46d	area 46, dorsal subdivision	Frontal	PFCdl	46d	Yes	Frontal	Frontal
SRR22506788	19R498	92_R_12l	Macaca fascicularis	ILLUMINA	92	R	12l		1		12l	lateral prefrontal cortex,area 12l,lateral part	Frontal	PFCvl	12l	Yes	Frontal	Frontal
SRR22506790	19R499	92_R_11m	Macaca fascicularis	ILLUMINA	92	R	11m		1		11m	orbital prefrontal area,area 11m	Frontal	PFCom	11m	Yes	Frontal	Frontal
SRR22506791	19R500	92_R_11l	Macaca fascicularis	ILLUMINA	92	R	11l		1		11l	obrital prefrontal area,area 11l	Frontal	PFCoi	11l	Yes	Frontal	Frontal
SRR22506600	19R501	92_R_F4	Macaca fascicularis	ILLUMINA	92	R	F4		1		F4	agranular frontal area F4,PMv (ventral premotor cortex)	Frontal	PMCvl	F4	Yes	Frontal	Frontal
SRR22507052	19R502	92_R_Teav_rep2	Macaca fascicularis	ILLUMINA	92	R	Teav	rep2	1		TEav	ventral subregion of anterior TE	Temporal 	TCi	TEav	Yes	Temporal	Temporal
SRR22507048	19R503	92_R_TG	Macaca fascicularis	ILLUMINA	92	R	TG		1		TG	temporal pole	Temporal 	TCpol	TG	Yes	Temporal	Temporal
SRR22507056	19R504	92_R_STG_rep1	Macaca fascicularis	ILLUMINA	92	R	STG	rep1	1		STG	superior temporal gyrus	Temporal 	TCs	STG	Yes	Temporal	Temporal
SRR22506595	19R505	92_R_PrCo	Macaca fascicularis	ILLUMINA	92	R	PrCo		1		PrCO	precentral opercular area	Frontal	PFCol	PrCO	Yes	Frontal	Frontal
SRR22507057	19R506	92_R_SII	Macaca fascicularis	ILLUMINA	92	R	SII		1		SII	secondary somatosensory area (S2)	Parietal	S2	SII	Yes	Parietal	Parietal
SRR22507058	19R507	92_R_RM	Macaca fascicularis	ILLUMINA	92	R	RM		1		RM	rostromedial, belt region of the auditory cortex	Temporal 	TCs	RM	Yes	Temporal	Temporal
SRR22506592	19R508	92_R_R	Macaca fascicularis	ILLUMINA	92	R	R		1		R	rostral, core region of the auditory cortex	Temporal 	A1	R	Yes	Temporal	Temporal
SRR22506608	19R509	92_R_AL	Macaca fascicularis	ILLUMINA	92	R	AL		1		AL	anterior lateral, belt region of the auditory cortex	Temporal 	TCs	AL	Yes	Temporal	Temporal
SRR22507055	19R510	92_R_STG_rep2	Macaca fascicularis	ILLUMINA	92	R	STG	rep2	1		STG	superior temporal gyrus	Temporal 	TCs	STG	Yes	Temporal	Temporal
SRR22506597	19R511	92_R_HC	Macaca fascicularis	ILLUMINA	92	R	HC		1		HC	hippocampus	Subcortical	HC	HC	No	Subcortical	Subcortical
SRR22506612	19R512	92_R_7op_rep1	Macaca fascicularis	ILLUMINA	92	R	7op	rep1	1		7op	area 7op (parietal operculum)	Parietal	S2	7op	Yes	Parietal	Parietal
SRR22507041	19R513	92_R_VIP	Macaca fascicularis	ILLUMINA	92	R	VIP		1		VIP	ventral intraparietal area	Parietal	PCip	VIP	Yes	Parietal	Parietal
SRR22507050	19R514	92_R_TEpd	Macaca fascicularis	ILLUMINA	92	R	TEpd		1		TEpd	dorsal subregion of posterior TE	Temporal 	TCi	TEpd	Yes	Temporal	Temporal
SRR22507051	19R515	92_R_TEO	Macaca fascicularis	ILLUMINA	92	R	TEO		1		TEO	area TEO	Temporal 	TCc	TEO	Yes	Temporal	Temporal
SRR22506603	19R516	92_R_cla	Macaca fascicularis	ILLUMINA	92	R	cla		1		cla				Claustrum	No	Subcortical	Subcortical
SRR22507046	19R517	92_R_V1_rep1	Macaca fascicularis	ILLUMINA	92	R	V1	rep1	1		V1	visual area 1, primary visual cortex	Occipital	V1	V1	Yes	Occipital	Occipital
SRR22507047	19R518	92_R_thalamus	Macaca fascicularis	ILLUMINA	92	R	thalamus		1		Tha	thalamus	Subcortical	TH	TH	No	Subcortical	Subcortical
SRR22506607	19R519	92_R_amy	Macaca fascicularis	ILLUMINA	92	R	amy		1		Amy	amygdala	Subcortical	Amyg	amy	No	Subcortical	Subcortical
SRR22507067	19R578	92_L_F5	Macaca fascicularis	ILLUMINA	92	L	F5		1		F5	agranular frontal area F5,PMv (ventral premotor cortex)	Frontal	PMCvl	F5	Yes	Frontal	Frontal
SRR22507059	19R579	92_L_PrCo	Macaca fascicularis	ILLUMINA	92	L	PrCo		1		PrCO	precentral opercular area	Frontal	PFCol	PrCO	Yes	Frontal	Frontal
SRR22507066	19R580	92_L_Ial	Macaca fascicularis	ILLUMINA	92	L	Ial		1		Ial	lateral agranular insula area	Insula	Ia	Ial	Yes	Insula	Insula
SRR22507089	19R581	92_L_24c	Macaca fascicularis	ILLUMINA	92	L	24c		1		24c	anterior cingulate cortex,area 24c	Cingulate	CCa	24c	Yes	Cingulate	Cingulate
SRR22507080	19R582	92_L_7b_rep1	Macaca fascicularis	ILLUMINA	92	L	7b	rep1	1		7b	visual area 7b	Parietal	PCi	7b_(PFG/PF)	Yes	Parietal	Parietal
SRR22507078	19R583	92_L_7op	Macaca fascicularis	ILLUMINA	92	L	7op		1		7op	area 7op (parietal operculum)	Parietal	S2	7op	Yes	Parietal	Parietal
SRR22507075	19R584	92_L_AI_rep1	Macaca fascicularis	ILLUMINA	92	L	AI	rep1	1		Ia	agranular insula	Insula	Ia	Ia	Yes	Insula	Insula
SRR22507070	19R585	92_L_CL	Macaca fascicularis	ILLUMINA	92	L	CL		1		CL	caudal lateral, belt region of the auditory cortex	Temporal 	TCs	CL	Yes	Temporal	Temporal
SRR22506805	19R586	92_L_TEpd	Macaca fascicularis	ILLUMINA	92	L	TEpd		1		TEpd	dorsal subregion of posterior TE	Temporal 	TCi	TEpd	Yes	Temporal	Temporal
SRR22506804	19R587	92_L_Tepv_rep1	Macaca fascicularis	ILLUMINA	92	L	Tepv	rep1	1		TEpv	ventral subregion of posterior TE	Temporal 	TCi	TEpv	Yes	Temporal	Temporal
SRR22507076	19R588	92_L_9m	Macaca fascicularis	ILLUMINA	92	L	9m		1		9m	area 9, medial subdivision	Frontal	PFCdm	9m	Yes	Frontal	Frontal
SRR22507077	19R589	92_L_9d	Macaca fascicularis	ILLUMINA	92	L	9d		1		9d	area 9, dorsal subdivision	Frontal	PFCdl	9d	Yes	Frontal	Frontal
SRR22507259	19R590	92_L_12m	Macaca fascicularis	ILLUMINA	92	L	12m		1		12m	lateral prefrontal cortex,area 12m,medial part	Frontal	PFCol	12m	Yes	Frontal	Frontal
SRR22507255	19R591	92_L_13b_rep1	Macaca fascicularis	ILLUMINA	92	L	13b	rep1	1		13b	orbitomedial prefrontal cortex,area 13b	Frontal	PFCom	13b	Yes	Frontal	Frontal
SRR22507251	19R592	92_L_14r_rep1	Macaca fascicularis	ILLUMINA	92	L	14r	rep1	1		14r	orbitomedial prefrontal area,14r	Frontal	PFCom	14r	Yes	Frontal	Frontal
SRR22507087	19R593	92_L_32	Macaca fascicularis	ILLUMINA	92	L	32		1		32	orbitomedial prefrontal cortex,area 32	Frontal	PFCm	32	Yes	Frontal	Frontal
SRR22507084	19R594	92_L_44	Macaca fascicularis	ILLUMINA	92	L	44		1		44	area 44	Frontal	PFCvl	44	Yes	Frontal	Frontal
SRR22507258	19R595	92_L_12o	Macaca fascicularis	ILLUMINA	92	L	12o		1		12o	lateral prefrontal cortex,area 12o,orbital part	Frontal	PFCol	12o	Yes	Frontal	Frontal
SRR22507257	19R596	92_L_13a	Macaca fascicularis	ILLUMINA	92	L	13a		1		13a	orbitomedial prefrontal cortex,area 13a	Frontal	PFCom	13a	Yes	Frontal	Frontal
SRR22507254	19R597	92_L_13b_rep2	Macaca fascicularis	ILLUMINA	92	L	13b	rep2	1		13b	orbitomedial prefrontal cortex,area 13b	Frontal	PFCom	13b	Yes	Frontal	Frontal
SRR22507252	19R598	92_L_14c	Macaca fascicularis	ILLUMINA	92	L	14c		1		14c	orbitomedial prefrontal area,14c	Frontal	PFCom	14c	Yes	Frontal	Frontal
SRR22507088	19R599	92_L_25	Macaca fascicularis	ILLUMINA	92	L	25		1		25	subgenual cingulate cortex,area 25	Frontal	CCs	25	Yes	Frontal	Frontal
SRR22506617	19R600	92_R_44	Macaca fascicularis	ILLUMINA	92	R	44		1		44	area 44	Frontal	PFCvl	44	Yes	Frontal	Frontal
SRR22506787	19R601	92_R_12o	Macaca fascicularis	ILLUMINA	92	R	12o		1		12o	lateral prefrontal cortex,area 12o,orbital part	Frontal	PFCol	12o	Yes	Frontal	Frontal
SRR22506784	19R602	92_R_13a	Macaca fascicularis	ILLUMINA	92	R	13a		1		13a	orbitomedial prefrontal cortex,area 13a	Frontal	PFCom	13a	Yes	Frontal	Frontal
SRR22506623	19R603	92_R_13b	Macaca fascicularis	ILLUMINA	92	R	13b		1		13b	orbitomedial prefrontal cortex,area 13b	Frontal	PFCom	13b	Yes	Frontal	Frontal
SRR22506622	19R604	92_R_14c	Macaca fascicularis	ILLUMINA	92	R	14c		1		14c	orbitomedial prefrontal area,14c	Frontal	PFCom	14c	Yes	Frontal	Frontal
SRR22506620	19R605	92_R_25	Macaca fascicularis	ILLUMINA	92	R	25		1		25	subgenual cingulate cortex,area 25	Frontal	CCs	25	Yes	Frontal	Frontal
SRR22506616	19R606	92_R_45	Macaca fascicularis	ILLUMINA	92	R	45		1		45	area 45[45A+45B]	Frontal	PFCvl	45	Yes	Frontal	Frontal
SRR22506599	19R607	92_R_F5	Macaca fascicularis	ILLUMINA	92	R	F5		1		F5	agranular frontal area F5,PMv (ventral premotor cortex)	Frontal	PMCvl	F5	Yes	Frontal	Frontal
SRR22506785	19R608	92_R_12r	Macaca fascicularis	ILLUMINA	92	R	12r		1		12r	lateral prefrontal cortex,area 12r,rostal part?	Frontal	PFCol	12r	Yes	Frontal	Frontal
SRR22506619	19R609	92_R_32	Macaca fascicularis	ILLUMINA	92	R	32		1		32	orbitomedial prefrontal cortex,area 32	Frontal	PFCm	32	Yes	Frontal	Frontal
SRR22506621	19R610	92_R_24c	Macaca fascicularis	ILLUMINA	92	R	24c		1		24c	anterior cingulate cortex,area 24c	Cingulate	CCa	24c	Yes	Cingulate	Cingulate
SRR22506613	19R611	92_R_7b	Macaca fascicularis	ILLUMINA	92	R	7b		1		7b	visual area 7b	Parietal	PCi	7b_(PFG/PF)	Yes	Parietal	Parietal
SRR22506611	19R612	92_R_7op_rep2	Macaca fascicularis	ILLUMINA	92	R	7op	rep2	1		7op	area 7op (parietal operculum)	Parietal	S2	7op	Yes	Parietal	Parietal
SRR22506596	19R613	92_R_ML	Macaca fascicularis	ILLUMINA	92	R	ML		1		ML	middle lateral, belt region of the auditory cortex	Temporal 	TCs	ML	Yes	Temporal	Temporal
SRR22506814	19R614	92_L_R	Macaca fascicularis	ILLUMINA	92	L	R		1		R	rostral, core region of the auditory cortex	Temporal 	A1	R	Yes	Temporal	Temporal
SRR22507111	19R627	34_L_10m_rep1	Macaca fascicularis	ILLUMINA	34	L	10m	rep1	1		10m	frontal polar,area 10m[10mc+10mr]	Frontal	PFCm	10m	Yes	Frontal	Frontal
SRR22506978	19R628	34_L_46d_rep1	Macaca fascicularis	ILLUMINA	34	L	46d	rep1	1		46d	area 46, dorsal subdivision	Frontal	PFCdl	46d	Yes	Frontal	Frontal
SRR22507248	19R629	34_L_46v_rep1	Macaca fascicularis	ILLUMINA	34	L	46v	rep1	1		46v	area 46, ventral subdivision	Frontal	PFCvl	46v	Yes	Frontal	Frontal
SRR22507085	19R630	34_L_12r_rep1	Macaca fascicularis	ILLUMINA	34	L	12r	rep1	1		12r	lateral prefrontal cortex,area 12r,rostal part?	Frontal	PFCol	12r	Yes	Frontal	Frontal
SRR22506823	19R631	34_L_11l_rep1	Macaca fascicularis	ILLUMINA	34	L	11l	rep1	1		11l	obrital prefrontal area,area 11l	Frontal	PFCoi	11l	Yes	Frontal	Frontal
