run_id	sample_name	library_name	scientific_name	platform	monkey_id	hemisphere	brain_region_raw	replicate	include	notes	brain_region	region_full_name	lobe	regional_map	roi173	neocortex_flag	meta_lobe	region_group
SRR22506863	19R672	34_L_Tpt	Macaca fascicularis	ILLUMINA	34	L	Tpt		1		Tpt	temporo-parietal area	Temporal 	TCs	Tpt	Yes	Temporal	Temporal
SRR22506877	19R673	34_L_TEO_rep1	Macaca fascicularis	ILLUMINA	34	L	TEO	rep1	1		TEO	area TEO	Temporal 	TCc	TEO	Yes	Temporal	Temporal
SRR22506854	19R674	34_L_V4_rep1	Macaca fascicularis	ILLUMINA	34	L	V4	rep1	1		V4	visual area 4,dorsal part	Occipital	VACd	V4	Yes	Occipital	Occipital
SRR22506866	19R675	34_L_TPO_rep1	Macaca fascicularis	ILLUMINA	34	L	TPO	rep1	1		TPO	area TPO,sts dorsal bank	Temporal 	TCc	TPO	Yes	Temporal	Temporal
SRR22506871	19R676	34_L_TFO_rep1	Macaca fascicularis	ILLUMINA	34	L	TFO	rep1	1		TFO	area TFO of the parahippocampal cortex	Temporal 	PHC	TFO	Yes	Temporal	Temporal
SRR22506575	19R677	34_L_7m_rep1	Macaca fascicularis	ILLUMINA	34	L	7m	rep1	1		7m	area 7m in the medial parietal cortex	Parietal	PCm	7m(PGm)	Yes	Parietal	Parietal
SRR22506856	19R678	34_L_V3v_rep1	Macaca fascicularis	ILLUMINA	34	L	V3v	rep1	1		V3v	visual area 3, ventral part	Occipital	VACv	V3v	Yes	Occipital	Occipital
SRR22506852	19R679	34_L_V4v_rep1	Macaca fascicularis	ILLUMINA	34	L	V4v	rep1	1		V4v	visual area 4,ventral part	Occipital	TCv	V4v	Yes	Occipital	Occipital
SRR22506857	19R680	34_L_V3d	Macaca fascicularis	ILLUMINA	34	L	V3d		1		V3d	visual area 3, dorsal part	Occipital	VACd	V3d	Yes	Occipital	Occipital
SRR22506862	19R722	34_L_V1_rep1	Macaca fascicularis	ILLUMINA	34	L	V1	rep1	1		V1	visual area 1, primary visual cortex	Occipital	V1	V1	Yes	Occipital	Occipital
SRR22506860	19R723	34_L_V2_rep1	Macaca fascicularis	ILLUMINA	34	L	V2	rep1	1		V2	visual area 2	Occipital	V2	V2	Yes	Occipital	Occipital
SRR22506687	19R724	34_R_10m_rep1	Macaca fascicularis	ILLUMINA	34	R	10m	rep1	1		10m	frontal polar,area 10m[10mc+10mr]	Frontal	PFCm	10m	Yes	Frontal	Frontal
SRR22507120	19R725	34_R_46d	Macaca fascicularis	ILLUMINA	34	R	46d		1		46d	area 46, dorsal subdivision	Frontal	PFCdl	46d	Yes	Frontal	Frontal
SRR22507119	19R726	34_R_46v	Macaca fascicularis	ILLUMINA	34	R	46v		1		46v	area 46, ventral subdivision	Frontal	PFCvl	46v	Yes	Frontal	Frontal
SRR22506676	19R727	34_R_12r	Macaca fascicularis	ILLUMINA	34	R	12r		1		12r	lateral prefrontal cortex,area 12r,rostal part?	Frontal	PFCol	12r	Yes	Frontal	Frontal
SRR22506683	19R728	34_R_11l	Macaca fascicularis	ILLUMINA	34	R	11l		1		11l	obrital prefrontal area,area 11l	Frontal	PFCoi	11l	Yes	Frontal	Frontal
SRR22506685	19R729	34_R_10o_rep1	Macaca fascicularis	ILLUMINA	34	R	10o	rep1	1		10o	frontal polar anterior part,area 10o	Frontal	PFCpol	10o	Yes	Frontal	Frontal
SRR22507104	19R730	34_R_9m	Macaca fascicularis	ILLUMINA	34	R	9m		1		9m	area 9, medial subdivision	Frontal	PFCdm	9m	Yes	Frontal	Frontal
SRR22507106	19R731	34_R_9d_rep1	Macaca fascicularis	ILLUMINA	34	R	9d	rep1	1		9d	area 9, dorsal subdivision	Frontal	PFCdl	9d	Yes	Frontal	Frontal
SRR22506668	19R732	34_R_14r	Macaca fascicularis	ILLUMINA	34	R	14r		1		14r	orbitomedial prefrontal area,14r	Frontal	PFCom	14r	Yes	Frontal	Frontal
SRR22506674	19R733	34_R_13b	Macaca fascicularis	ILLUMINA	34	R	13b		1		13b	orbitomedial prefrontal cortex,area 13b	Frontal	PFCom	13b	Yes	Frontal	Frontal
SRR22506671	19R734	34_R_13m_rep1	Macaca fascicularis	ILLUMINA	34	R	13m	rep1	1		13m	orbitomedial prefrontal cortex,area 13m	Frontal	PFCom	13m	Yes	Frontal	Frontal
SRR22506673	19R735	34_R_13l_rep1	Macaca fascicularis	ILLUMINA	34	R	13l	rep1	1		13l	orbitomedial prefrontal cortex,area 13l	Frontal	PFCol	13l	Yes	Frontal	Frontal
SRR22506678	19R736	34_R_12o	Macaca fascicularis	ILLUMINA	34	R	12o		1		12o	lateral prefrontal cortex,area 12o,orbital part	Frontal	PFCol	12o	Yes	Frontal	Frontal
SRR22506680	19R737	34_R_12l	Macaca fascicularis	ILLUMINA	34	R	12l		1		12l	lateral prefrontal cortex,area 12l,lateral part	Frontal	PFCvl	12l	Yes	Frontal	Frontal
SRR22507121	19R738	34_R_45	Macaca fascicularis	ILLUMINA	34	R	45		1		45	area 45[45A+45B]	Frontal	PFCvl	45	Yes	Frontal	Frontal
SRR22507092	19R739	34_R_F3	Macaca fascicularis	ILLUMINA	34	R	F3		1		F3	agranular frontal area F3,SMA (supplementary motor area)	Frontal	PMCm	F3	Yes	Frontal	Frontal
SRR22507094	19R740	34_R_F2_rep1	Macaca fascicularis	ILLUMINA	34	R	F2	rep1	1		F2	agranular frontal area F2,PMdc (dorsal premotor cortex, caudal)	Frontal	PMCdl	F2	Yes	Frontal	Frontal
SRR22507108	19R741	34_R_8Bs_rep1	Macaca fascicularis	ILLUMINA	34	R	8Bs	rep1	1		8Bs	area 8B in the arcuate sulcus(“s” stands for sulcus)	Frontal	FEF	8Bs	Yes	Frontal	Frontal
SRR22507113	19R742	34_R_8A_rep1	Macaca fascicularis	ILLUMINA	34	R	8A	rep1	1		8A	area 8A[8Ad+8Av]	Frontal	FEF	8Av	Yes	Frontal	Frontal
SRR22506656	19R743	34_R_44	Macaca fascicularis	ILLUMINA	34	R	44		1		44	area 44	Frontal	PFCvl	44	Yes	Frontal	Frontal
SRR22506847	19R744	34_R_F5	Macaca fascicularis	ILLUMINA	34	R	F5		1		F5	agranular frontal area F5,PMv (ventral premotor cortex)	Frontal	PMCvl	F5	Yes	Frontal	Frontal
SRR22507096	19R745	34_R_F1_rep1	Macaca fascicularis	ILLUMINA	34	R	F1	rep1	1		F1	agranular frontal area F1,M1 (Primary motor cortex)	Frontal	M1	F1_(4)	Yes	Frontal	Frontal
SRR22506682	19R746	34_R_1-2_rep1	Macaca fascicularis	ILLUMINA	34	R	1-2	rep1	1		1-2	somatosensory areas 1 and 2	Parietal	S1	1-2	Yes	Parietal	Parietal
SRR22506657	19R747	34_R_3a/b	Macaca fascicularis	ILLUMINA	34	R	3a/b		1		3a/b	somatosensory areas 3a and 3b	Parietal	S1	3a/b	Yes	Parietal	Parietal
SRR22506821	19R748	34_R_SII	Macaca fascicularis	ILLUMINA	34	R	SII		1		SII	secondary somatosensory area (S2)	Parietal	S2	SII	Yes	Parietal	Parietal
SRR22507102	19R749	34_R_AL	Macaca fascicularis	ILLUMINA	34	R	AL		1		AL	anterior lateral, belt region of the auditory cortex	Temporal 	TCs	AL	Yes	Temporal	Temporal
SRR22506820	19R750	34_R_STG_rep1	Macaca fascicularis	ILLUMINA	34	R	STG	rep1	1		STG	superior temporal gyrus	Temporal 	TCs	STG	Yes	Temporal	Temporal
SRR22507116	19R751	34_R_7b	Macaca fascicularis	ILLUMINA	34	R	7b		1		7b	visual area 7b	Parietal	PCi	7b_(PFG/PF)	Yes	Parietal	Parietal
SRR22507114	19R752	34_R_7op	Macaca fascicularis	ILLUMINA	34	R	7op		1		7op	area 7op (parietal operculum)	Parietal	S2	7op	Yes	Parietal	Parietal
SRR22507103	19R753	34_R_AI	Macaca fascicularis	ILLUMINA	34	R	AI		1		Ia	agranular insula	Insula	Ia	Ia	Yes	Insula	Insula
SRR22507098	19R754	34_R_CL	Macaca fascicularis	ILLUMINA	34	R	CL		1		CL	caudal lateral, belt region of the auditory cortex	Temporal 	TCs	CL	Yes	Temporal	Temporal
SRR22506653	19R755	34_R_TEpd	Macaca fascicularis	ILLUMINA	34	R	TEpd		1		TEpd	dorsal subregion of posterior TE	Temporal 	TCi	TEpd	Yes	Temporal	Temporal
SRR22506651	19R756	34_R_TEpv	Macaca fascicularis	ILLUMINA	34	R	TEpv		1		TEpv	ventral subregion of posterior TE	Temporal 	TCi	TEpv	Yes	Temporal	Temporal
SRR22506643	19R757	34_R_V1_rep1	Macaca fascicularis	ILLUMINA	34	R	V1	rep1	1		V1	visual area 1, primary visual cortex	Occipital	V1	V1	Yes	Occipital	Occipital
SRR22506640	19R758	34_R_V2_rep1	Macaca fascicularis	ILLUMINA	34	R	V2	rep1	1		V2	visual area 2	Occipital	V2	V2	Yes	Occipital	Occipital
SRR22506638	19R759	34_R_V3v	Macaca fascicularis	ILLUMINA	34	R	V3v		1		V3v	visual area 3, ventral part	Occipital	VACv	V3v	Yes	Occipital	Occipital
SRR22506636	19R760	34_R_V4v	Macaca fascicularis	ILLUMINA	34	R	V4v		1		V4v	visual area 4,ventral part	Occipital	TCv	V4v	Yes	Occipital	Occipital
SRR22507126	19R793	34_L_Ig	Macaca fascicularis	ILLUMINA	34	L	Ig		1		Ig	granular insula	Insula	Ip	Ig	Yes	Insula	Insula
SRR22507011	19R794	34_L_36c	Macaca fascicularis	ILLUMINA	34	L	36c		1		36c	area 36 of the perirhinal cortex, caudal subregion	Temporal 	PHC	36c	Yes	Temporal	Temporal
SRR22507136	19R795	34_L_Id	Macaca fascicularis	ILLUMINA	34	L	Id		1		Id	dysgranular insula	Insula	Ip	Id	Yes	Insula	Insula
SRR22506884	19R796	34_L_RTM	Macaca fascicularis	ILLUMINA	34	L	RTM		1		RTM	medial rostrotemporal, belt region of the auditory cortex	Temporal 	TCs	RTM	Yes	Temporal	Temporal
SRR22506505	19R797	34_L_F1	Macaca fascicularis	ILLUMINA	34	L	F1		1		F1	agranular frontal area F1,M1 (Primary motor cortex)	Frontal	M1	F1_(4)	Yes	Frontal	Frontal
SRR22506893	19R798	34_L_NA	Macaca fascicularis	ILLUMINA	34	L	NA		1		NAcc	nucleus accumbens	Subcortical	NAcc	Striatum	No	Subcortical	Subcortical
SRR22506901	19R799	34_L_F5	Macaca fascicularis	ILLUMINA	34	L	F5		1		F5	agranular frontal area F5,PMv (ventral premotor cortex)	Frontal	PMCvl	F5	Yes	Frontal	Frontal
SRR22506886	19R800	34_L_RT	Macaca fascicularis	ILLUMINA	34	L	RT		1		RT	rostrotemporal, core region of the auditory cortex	Temporal 	A1	RT	Yes	Temporal	Temporal
SRR22506516	19R801	34_L_cd_rep2	Macaca fascicularis	ILLUMINA	34	L	cd	rep2	1		Cd	caudate	Subcortical	Cau	Striatum	No	Subcortical	Subcortical
SRR22506880	19R802	34_L_TAa	Macaca fascicularis	ILLUMINA	34	L	TAa		1		TAa	area TAa,sts dorsal bank	Temporal 	TCs	TAa	Yes	Temporal	Temporal
SRR22506730	19R803	34_L_amy	Macaca fascicularis	ILLUMINA	34	L	amy		1		Amy	amygdala	Subcortical	Amyg	amy	No	Subcortical	Subcortical
SRR22506615	19R804	34_L_24a'	Macaca fascicularis	ILLUMINA	34	L	24a'		1		24a'	anterior cingulate cortex,area 24a'	Cingulate	CCa	24a'	Yes	Cingulate	Cingulate
SRR22506878	19R805	34_L_TEm	Macaca fascicularis	ILLUMINA	34	L	TEm		1		TEm	area TEm,sts ventral bank 	Temporal 	TCc	TEm	Yes	Temporal	Temporal
SRR22506741	19R806	34_L_AL	Macaca fascicularis	ILLUMINA	34	L	AL		1		AL	anterior lateral, belt region of the auditory cortex	Temporal 	TCs	AL	Yes	Temporal	Temporal
SRR22506889	19R807	34_L_pu_rep2	Macaca fascicularis	ILLUMINA	34	L	pu	rep2	1		pu				Striatum	No	Subcortical	Subcortical
SRR22507147	19R808	34_L_Iapm	Macaca fascicularis	ILLUMINA	34	L	Iapm		1		Iapm	posteromedial agranular insula area	Insula	Ia	Iapm	Yes	Insula	Insula
SRR22506892	19R809	34_L_PrCo	Macaca fascicularis	ILLUMINA	34	L	PrCo		1		PrCO	precentral opercular area	Frontal	PFCol	PrCO	Yes	Frontal	Frontal
SRR22507049	19R810	34_L_24c'	Macaca fascicularis	ILLUMINA	34	L	24c'		1		24c'	anterior cingulate cortex,area 24c'	Cingulate	CCa	24c'	Yes	Cingulate	Cingulate
SRR22506468	19R811	34_L_Iapl	Macaca fascicularis	ILLUMINA	34	L	Iapl		1		Iapl	posterolateral agranular insula area	Insula	Ia	Iapl	Yes	Insula	Insula
SRR22507023	19R812	34_L_TEad	Macaca fascicularis	ILLUMINA	34	L	TEad		1		TEad	dorsal subregion of anterior TE	Temporal 	TCi	TEad	Yes	Temporal	Temporal
SRR22506479	19R813	34_L_Ial	Macaca fascicularis	ILLUMINA	34	L	Ial		1		Ial	lateral agranular insula area	Insula	Ia	Ial	Yes	Insula	Insula
SRR22507099	19R814	34_R_cd	Macaca fascicularis	ILLUMINA	34	R	cd		1		Cd	caudate	Subcortical	Cau	Striatum	No	Subcortical	Subcortical
SRR22506645	19R815	34_R_TPO	Macaca fascicularis	ILLUMINA	34	R	TPO		1		TPO	area TPO,sts dorsal bank	Temporal 	TCc	TPO	Yes	Temporal	Temporal
SRR22506843	19R816	34_R_G	Macaca fascicularis	ILLUMINA	34	R	G		1		G	gustatory cortex	Insula	G	G	Yes	Insula	Insula
SRR22506831	19R817	34_R_Pir	Macaca fascicularis	ILLUMINA	34	R	Pir		1		Pir	piriform cortex	Subcortical		Pir	No	Subcortical	Subcortical
SRR22506663	19R818	34_R_24b	Macaca fascicularis	ILLUMINA	34	R	24b		1		24b	anterior cingulate cortex,area 24b	Cingulate	CCa	24b	Yes	Cingulate	Cingulate
SRR22506635	19R819	34_R_VIP	Macaca fascicularis	ILLUMINA	34	R	VIP		1		VIP	ventral intraparietal area	Parietal	PCip	VIP	Yes	Parietal	Parietal
SRR22506840	19R820	34_R_Ial	Macaca fascicularis	ILLUMINA	34	R	Ial		1		Ial	lateral agranular insula area	Insula	Ia	Ial	Yes	Insula	Insula
SRR22507110	19R821	34_R_8Bd	Macaca fascicularis	ILLUMINA	34	R	8Bd		1		8Bd	area 8B,dorsal subdivision	Frontal	PFCdl	8Bd	Yes	Frontal	Frontal
SRR22506654	19R822	34_R_TEO	Macaca fascicularis	ILLUMINA	34	R	TEO		1		TEO	area TEO	Temporal 	TCc	TEO	Yes	Temporal	Temporal
SRR22506828	19R823	34_R_R	Macaca fascicularis	ILLUMINA	34	R	R		1		R	rostral, core region of the auditory cortex	Temporal 	A1	R	Yes	Temporal	Temporal
SRR22506637	19R824	34_R_V4	Macaca fascicularis	ILLUMINA	34	R	V4		1		V4	visual area 4,dorsal part	Occipital	VACd	V4	Yes	Occipital	Occipital
SRR22506658	19R825	34_R_36c	Macaca fascicularis	ILLUMINA	34	R	36c		1		36c	area 36 of the perirhinal cortex, caudal subregion	Temporal 	PHC	36c	Yes	Temporal	Temporal
SRR22507105	19R826	34_R_9d_rep2	Macaca fascicularis	ILLUMINA	34	R	9d	rep2	1		9d	area 9, dorsal subdivision	Frontal	PFCdl	9d	Yes	Frontal	Frontal
SRR22507109	19R827	34_R_8Bm	Macaca fascicularis	ILLUMINA	34	R	8Bm		1		8Bm	area 8B,medial subdivision	Frontal	PFCdm	8Bm	Yes	Frontal	Frontal
SRR22507115	19R828	34_R_7m	Macaca fascicularis	ILLUMINA	34	R	7m		1		7m	area 7m in the medial parietal cortex	Parietal	PCm	7m(PGm)	Yes	Parietal	Parietal
SRR22507091	19R829	34_R_F4	Macaca fascicularis	ILLUMINA	34	R	F4		1		F4	agranular frontal area F4,PMv (ventral premotor cortex)	Frontal	PMCvl	F4	Yes	Frontal	Frontal
SRR22506679	19R830	34_R_12m	Macaca fascicularis	ILLUMINA	34	R	12m		1		12m	lateral prefrontal cortex,area 12m,medial part	Frontal	PFCol	12m	Yes	Frontal	Frontal
SRR22506659	19R831	34_R_32	Macaca fascicularis	ILLUMINA	34	R	32		1		32	orbitomedial prefrontal cortex,area 32	Frontal	PFCm	32	Yes	Frontal	Frontal
SRR22506818	19R832	34_R_TAa	Macaca fascicularis	ILLUMINA	34	R	TAa		1		TAa	area TAa,sts dorsal bank	Temporal 	TCs	TAa	Yes	Temporal	Temporal
SRR22506649	19R833	34_R_TFO	Macaca fascicularis	ILLUMINA	34	R	TFO		1		TFO	area TFO of the parahippocampal cortex	Temporal 	PHC	TFO	Yes	Temporal	Temporal
SRR22506839	19R834	34_R_Iapl	Macaca fascicularis	ILLUMINA	34	R	Iapl		1		Iapl	posterolateral agranular insula area	Insula	Ia	Iapl	Yes	Insula	Insula
SRR22506669	19R835	34_R_14c	Macaca fascicularis	ILLUMINA	34	R	14c		1		14c	orbitomedial prefrontal area,14c	Frontal	PFCom	14c	Yes	Frontal	Frontal
SRR22506830	19R836	34_R_PrCo	Macaca fascicularis	ILLUMINA	34	R	PrCo		1		PrCO	precentral opercular area	Frontal	PFCol	PrCO	Yes	Frontal	Frontal
SRR22506826	19R837	34_R_RM	Macaca fascicularis	ILLUMINA	34	R	RM		1		RM	rostromedial, belt region of the auditory cortex	Temporal 	TCs	RM	Yes	Temporal	Temporal
SRR22506845	19R838	34_R_F6	Macaca fascicularis	ILLUMINA	34	R	F6		1		F6	agranular frontal area F6,PreSMA (presupplementary motor area)	Frontal	PFCdm	F6	Yes	Frontal	Frontal
SRR22506829	19R839	34_R_pu	Macaca fascicularis	ILLUMINA	34	R	pu		1		pu				Striatum	No	Subcortical	Subcortical
SRR22506662	19R840	34_R_24c	Macaca fascicularis	ILLUMINA	34	R	24c		1		24c	anterior cingulate cortex,area 24c	Cingulate	CCa	24c	Yes	Cingulate	Cingulate
SRR22506664	19R841	34_R_24a'	Macaca fascicularis	ILLUMINA	34	R	24a'		1		24a'	anterior cingulate cortex,area 24a'	Cingulate	CCa	24a'	Yes	Cingulate	Cingulate
SRR22506816	19R842	34_R_TEav	Macaca fascicularis	ILLUMINA	34	R	TEav		1		TEav	ventral subregion of anterior TE	Temporal 	TCi	TEav	Yes	Temporal	Temporal
SRR22506844	19R843	34_R_F7	Macaca fascicularis	ILLUMINA	34	R	F7		1		F7	agranular frontal area F7,PMdr (dorsal premotor cortex, rostral)	Frontal	PMCdl	F7	Yes	Frontal	Frontal
SRR22506819	19R844	34_R_STG_rep2	Macaca fascicularis	ILLUMINA	34	R	STG	rep2	1		STG	superior temporal gyrus	Temporal 	TCs	STG	Yes	Temporal	Temporal
SRR22506817	19R845	34_R_TEad	Macaca fascicularis	ILLUMINA	34	R	TEad		1		TEad	dorsal subregion of anterior TE	Temporal 	TCi	TEad	Yes	Temporal	Temporal
SRR22506885	19R846	34_L_RTL	Macaca fascicularis	ILLUMINA	34	L	RTL		1		RTL	lateral rostrotemporal, belt region of the auditory cortex	Temporal 	TCs	RTL	Yes	Temporal	Temporal
SRR22506837	19R873	34_R_LIPd	Macaca fascicularis	ILLUMINA	34	R	LIPd		1		LIPd	lateral intraparietal area, dorsal subdivision	Parietal	PCip	LIPd	Yes	Parietal	Parietal
SRR22506836	19R874	34_R_LIPv	Macaca fascicularis	ILLUMINA	34	R	LIPv		1		LIPv	lateral intraparietal area, ventral subdivision	Parietal	PCip	LIPv	Yes	Parietal	Parietal
SRR22507117	19R875	34_R_7a	Macaca fascicularis	ILLUMINA	34	R	7a		1		7a	visual area 7a	Parietal	PCi	7a_(Opt/PG)	Yes	Parietal	Parietal
SRR22506644	19R876	34_R_Tpt	Macaca fascicularis	ILLUMINA	34	R	Tpt		1		Tpt	temporo-parietal area	Temporal 	TCs	Tpt	Yes	Temporal	Temporal
SRR22506842	19R877	34_R_HC_rep1	Macaca fascicularis	ILLUMINA	34	R	HC	rep1	1		HC	hippocampus	Subcortical	HC	HC	No	Subcortical	Subcortical
SRR22506851	19R878	34_L_V4v_rep2	Macaca fascicularis	ILLUMINA	34	L	V4v	rep2	1		V4v	visual area 4,ventral part	Occipital	TCv	V4v	Yes	Occipital	Occipital
SRR22507118	19R879	34_R_5	Macaca fascicularis	ILLUMINA	34	R	5		1		5	somatosensory area 5 (complex)[PE+PEa+PEc]	Parietal	PCs	5	Yes	Parietal	Parietal
SRR22507072	19R880	92_L_AL	Macaca fascicularis	ILLUMINA	92	L	AL		1		AL	anterior lateral, belt region of the auditory cortex	Temporal 	TCs	AL	Yes	Temporal	Temporal
SRR22506812	19R881	92_L_RM	Macaca fascicularis	ILLUMINA	92	L	RM		1		RM	rostromedial, belt region of the auditory cortex	Temporal 	TCs	RM	Yes	Temporal	Temporal
SRR22506865	19R882	34_L_TPO_rep2	Macaca fascicularis	ILLUMINA	34	L	TPO	rep2	1		TPO	area TPO,sts dorsal bank	Temporal 	TCc	TPO	Yes	Temporal	Temporal
SRR22506873	19R883	34_L_Tepd_rep2	Macaca fascicularis	ILLUMINA	34	L	Tepd	rep2	1		TEpd	dorsal subregion of posterior TE	Temporal 	TCi	TEpd	Yes	Temporal	Temporal
SRR22507093	19R884	34_R_F2_rep2	Macaca fascicularis	ILLUMINA	34	R	F2	rep2	1		F2	agranular frontal area F2,PMdc (dorsal premotor cortex, caudal)	Frontal	PMCdl	F2	Yes	Frontal	Frontal
SRR22507261	19R885	92_L_11l	Macaca fascicularis	ILLUMINA	92	L	11l		1		11l	obrital prefrontal area,area 11l	Frontal	PFCoi	11l	Yes	Frontal	Frontal
SRR22506803	19R886	92_L_Tepv_rep2	Macaca fascicularis	ILLUMINA	92	L	Tepv	rep2	1		TEpv	ventral subregion of posterior TE	Temporal 	TCi	TEpv	Yes	Temporal	Temporal
SRR22507107	19R887	34_R_8Bs_rep2	Macaca fascicularis	ILLUMINA	34	R	8Bs	rep2	1		8Bs	area 8B in the arcuate sulcus(“s” stands for sulcus)	Frontal	FEF	8Bs	Yes	Frontal	Frontal
SRR22507090	19R888	92_L_14r_rep2	Macaca fascicularis	ILLUMINA	92	L	14r	rep2	1		14r	orbitomedial prefrontal area,14r	Frontal	PFCom	14r	Yes	Frontal	Frontal
SRR22507253	19R889	92_L_13b_rep3	Macaca fascicularis	ILLUMINA	92	L	13b	rep3	1		13b	orbitomedial prefrontal cortex,area 13b	Frontal	PFCom	13b	Yes	Frontal	Frontal
SRR22506941	19R890	34_L_7op_rep2	Macaca fascicularis	ILLUMINA	34	L	7op	rep2	1		7op	area 7op (parietal operculum)	Parietal	S2	7op	Yes	Parietal	Parietal
SRR22507074	19R891	34_L_12r_rep2	Macaca fascicularis	ILLUMINA	34	L	12r	rep2	1		12r	lateral prefrontal cortex,area 12r,rostal part?	Frontal	PFCol	12r	Yes	Frontal	Frontal
SRR22506490	19R892	34_L_HC	Macaca fascicularis	ILLUMINA	34	L	HC		1		HC	hippocampus	Subcortical	HC	HC	No	Subcortical	Subcortical
SRR22506780	19R893	34_L_5_rep2	Macaca fascicularis	ILLUMINA	34	L	5	rep2	1		5	somatosensory area 5 (complex)[PE+PEa+PEc]	Parietal	PCs	5	Yes	Parietal	Parietal
SRR22506630	19R894	34_L_1-2_rep2	Macaca fascicularis	ILLUMINA	34	L	1-2	rep2	1		1-2	somatosensory areas 1 and 2	Parietal	S1	1-2	Yes	Parietal	Parietal
SRR23470147	19X118_1_S1_L006	19X118-2-1_S1_L006	Macaca fascicularis	ILLUMINA					0	non-standard library name		nucleus accumbens	Subcortical	NAcc	Striatum	No	Subcortical	Subcortical
SRR23470146	19X118_2_S2_L006	19X118-2-2_S2_L006	Macaca fascicularis	ILLUMINA					0	non-standard library name		nucleus accumbens	Subcortical	NAcc	Striatum	No	Subcortical	Subcortical
SRR23470145	19X118_3_S3_L006	19X118-2-3_S3_L006	Macaca fascicularis	ILLUMINA					0	non-standard library name		nucleus accumbens	Subcortical	NAcc	Striatum	No	Subcortical	Subcortical
SRR23470144	19X118_4_S4_L006	19X118-2-4_S4_L006	Macaca fascicularis	ILLUMINA					0	non-standard library name		nucleus accumbens	Subcortical	NAcc	Striatum	No	Subcortical	Subcortical
SRR22506876	20R046	34_L_TEO_rep2	Macaca fascicularis	ILLUMINA	34	L	TEO	rep2	1		TEO	area TEO	Temporal 	TCc	TEO	Yes	Temporal	Temporal
SRR22506786	20R047	34_L_14r_rep2	Macaca fascicularis	ILLUMINA	34	L	14r	rep2	1		14r	orbitomedial prefrontal area,14r	Frontal	PFCom	14r	Yes	Frontal	Frontal
SRR22506810	20R048	92_L_STG_rep1	Macaca fascicularis	ILLUMINA	92	L	STG	rep1	1		STG	superior temporal gyrus	Temporal 	TCs	STG	Yes	Temporal	Temporal
SRR22506769	20R049	34_L_7a_rep1	Macaca fascicularis	ILLUMINA	34	L	7a	rep1	1		7a	visual area 7a	Parietal	PCi	7a_(Opt/PG)	Yes	Parietal	Parietal
SRR22507112	20R050	34_R_8A_rep2	Macaca fascicularis	ILLUMINA	34	R	8A	rep2	1		8A	area 8A[8Ad+8Av]	Frontal	FEF	8Av	Yes	Frontal	Frontal
SRR22507260	20R051	92_L_11m	Macaca fascicularis	ILLUMINA	92	L	11m		1		11m	orbital prefrontal area,area 11m	Frontal	PFCom	11m	Yes	Frontal	Frontal
SRR22506867	20R052	34_L_thalamus	Macaca fascicularis	ILLUMINA	34	L	thalamus		1		Tha	thalamus	Subcortical	TH	TH	No	Subcortical	Subcortical
SRR22506855	20R053	34_L_V3v_rep2	Macaca fascicularis	ILLUMINA	34	L	V3v	rep2	1		V3v	visual area 3, ventral part	Occipital	VACv	V3v	Yes	Occipital	Occipital
SRR22507124	20R054	34_L_LIPv	Macaca fascicularis	ILLUMINA	34	L	LIPv		1		LIPv	lateral intraparietal area, ventral subdivision	Parietal	PCip	LIPv	Yes	Parietal	Parietal
SRR22507061	20R055	92_L_ML	Macaca fascicularis	ILLUMINA	92	L	ML		1		ML	middle lateral, belt region of the auditory cortex	Temporal 	TCs	ML	Yes	Temporal	Temporal
SRR22507086	20R056	92_L_3a/b	Macaca fascicularis	ILLUMINA	92	L	3a/b		1		3a/b	somatosensory areas 3a and 3b	Parietal	S1	3a/b	Yes	Parietal	Parietal
SRR22507073	20R057	92_L_AI_rep2	Macaca fascicularis	ILLUMINA	92	L	AI	rep2	1		Ia	agranular insula	Insula	Ia	Ia	Yes	Insula	Insula
SRR22507069	20R058	92_L_CM	Macaca fascicularis	ILLUMINA	92	L	CM		1		CM	caudomedial, belt region of the auditory cortex	Temporal 	TCs	CM	Yes	Temporal	Temporal
SRR22506858	20R059	34_L_V2_rep2	Macaca fascicularis	ILLUMINA	34	L	V2	rep2	1		V2	visual area 2	Occipital	V2	V2	Yes	Occipital	Occipital
SRR22507038	20R060	34_L_31	Macaca fascicularis	ILLUMINA	34	L	31		1		31				31	Yes	Cingulate	Cingulate
SRR22506807	20R061	92_L_TAa	Macaca fascicularis	ILLUMINA	92	L	TAa		1		TAa	area TAa,sts dorsal bank	Temporal 	TCs	TAa	Yes	Temporal	Temporal
SRR22507079	20R070	92_L_7b_rep2	Macaca fascicularis	ILLUMINA	92	L	7b	rep2	1		7b	visual area 7b	Parietal	PCi	7b_(PFG/PF)	Yes	Parietal	Parietal
SRR22506564	20R071	34_L_7m_rep2	Macaca fascicularis	ILLUMINA	34	L	7m	rep2	1		7m	area 7m in the medial parietal cortex	Parietal	PCm	7m(PGm)	Yes	Parietal	Parietal
SRR22506875	20R072	34_L_TEO_rep3	Macaca fascicularis	ILLUMINA	34	L	TEO	rep3	1		TEO	area TEO	Temporal 	TCc	TEO	Yes	Temporal	Temporal
SRR22506894	20R073	34_L_MST	Macaca fascicularis	ILLUMINA	34	L	MST		1		MST	medial superior temporal area	Temporal 	VACd	MST	Yes	Temporal	Temporal
