sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
19R589,92,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
19R590,92,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Operculum/Insula,0,0,200
19R591,92,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
19R592,92,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R593,92,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
19R594,92,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",0,1,200
19R595,92,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
19R596,92,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,"Operculum/Insula | Parietal, and Parieto-occipital region | Temporal",0,0,200
19R597,92,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
19R598,92,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
19R599,92,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R600,92,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
19R601,92,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus,0,1,200
19R602,92,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Subcortical,0,1,200
19R603,92,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Subcortical,0,1,200
19R604,92,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
19R605,92,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
