sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
qbt-L-FST-8-27_BRRL200007928-1A,qbt,Occipital/Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,0,200
qbt-L-V4-8-27_BRRL200007929-1A,qbt,Occipital/Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",0,1,200
qbt-L-F7-8-31_BRRL200008124-1A,qbt,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Temporal,0,1,200
qbt-L-8Bd-8-31_BRRL200008125-1A,qbt,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Frontal (agranular frontal motor areas),1,1,200
qbt-L-8Bs-8-31_BRRL200008126-1A,qbt,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",1,1,200
qbt-L-8A-8-31_BRRL200008127-1A,qbt,Lateral Prefrontal Cortex,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
qbt-L-45-8-31_BRRL200008128-1A,qbt,Lateral Prefrontal Cortex,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
qbt-L-12o-8-31_BRRL200008129-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,1,200
qbt-L-13l-8-31_BRRL200008130-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,0,0,200
qbt-L-13m-8-31_BRRL200008131-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,200
qbt-L-14c-8-31_BRRL200008132-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,1,200
qbt-L-32-8-31_BRRL200008305-1A,qbt,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Subcortical,1,1,200
qbt-R-SII-9-2_BRRL200008316-1A,qbt,Operculum/Insula,Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,0,200
qbt-R-R-9-2_BRRL200008317-1A,qbt,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",1,1,200
qbt-R-PGa-9-2_BRRL200008318-1A,qbt,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Orbitomedial Prefrontal Cortex (OMPFC)",1,1,200
qbt-R-TEm-9-2_BRRL200008319-1A,qbt,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
qbt-R-TEav-9-3_BRRL200008320-1A,qbt,Temporal,Temporal,"Temporal | Operculum/Insula | Parietal, and Parieto-occipital region",1,1,200
20R099,xq,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
20R100,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,0,200
20R101,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,1,1,200
20R102,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
20R103,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),"Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
20R104,xq,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,0,200
20R105,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,1,1,200
20R106,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,1,1,200
20R107,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,1,1,200
20R108,xq,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
20R109,xq,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
20R110,xq,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
20R111,xq,Frontal (agranular frontal motor areas),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,0,200
20R112,xq,Subcortical,Subcortical,Subcortical | Hippocampal formation | Temporal,1,1,200
20R113,xq,Subcortical,Subcortical,Subcortical | Hippocampal formation | Temporal,1,1,200
20R114,xq,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
20R115,xq,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
20R116,xq,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
20R117,xq,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
20R118,xq,Subcortical,Subcortical,Subcortical | Hippocampal formation | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R119,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Occipital/Temporal | Temporal",1,1,200
20R120,xq,Operculum/Insula,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,0,1,200
20R121,xq,Operculum/Insula,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,1,200
20R122,xq,Hippocampal formation,Subcortical,Subcortical | Temporal | Hippocampal formation,0,1,200
20R123,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R125,xq,Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
20R126,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Occipital/Temporal | Temporal",1,1,200
20R127,xq,Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
20R128,xq,Temporal,Occipital/Temporal,"Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,200
20R129,xq,Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
20R130,xq,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,1,200
20R131,xq,Temporal,Temporal,Temporal | Occipital/Temporal | Lateral Prefrontal Cortex,1,1,200
20R132,xq,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",0,1,200
20R133,xq,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Orbitomedial Prefrontal Cortex (OMPFC)",0,1,200
20R134,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R135,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R136,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R137,xq,"Parietal, and Parieto-occipital region",Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
20R138,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,0,200
20R139,xq,Lateral Prefrontal Cortex,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
20R140,xq,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
20R141,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
20R124,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R142,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
20R143,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,0,1,200
20R144,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex | Temporal,0,1,200
20R145,xq,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,1,1,200
20R146,xq,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",1,1,200
20R147,xq,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R148,xq,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",1,1,200
20R149,xq,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Temporal",0,1,200
20R150,xq,Frontal (agranular frontal motor areas),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex | Temporal,0,0,200
20R151,xq,Frontal (agranular frontal motor areas),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Temporal,0,0,200
20R152,xq,Frontal (agranular frontal motor areas),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex | Operculum/Insula,0,0,200
20R153,xq,Cingulate gyrus,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,0,200
20R154,xq,Operculum/Insula,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R155,xq,Subcortical,Subcortical,Subcortical | Hippocampal formation | Temporal,1,1,200
20R156,xq,"Parietal, and Parieto-occipital region",Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,0,200
20R157,xq,Subcortical,Subcortical,Subcortical | Orbitomedial Prefrontal Cortex (OMPFC) | Hippocampal formation,1,1,200
20R158,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,1,1,200
20R159,xq,Temporal,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,1,1,200
20R160,xq,Operculum/Insula,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R161,xq,Operculum/Insula,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,0,200
20R162,xq,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Frontal (agranular frontal motor areas),0,1,200
20R163,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R164,xq,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Temporal",0,0,200
20R165,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R166,xq,Temporal,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R167,xq,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
20R168,xq,Subcortical,Subcortical,Subcortical | Hippocampal formation | Temporal,1,1,200
20R169,xq,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
20R170,xq,Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
20R171,xq,Hippocampal formation,Subcortical,Subcortical | Hippocampal formation | Occipital/Temporal,0,1,200
20R172,xq,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
20R173,xq,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
20R174,xq,Temporal,Temporal,"Temporal | Operculum/Insula | Parietal, and Parieto-occipital region",1,1,200
20R175,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R176,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R177,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",1,1,200
20R178,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",1,1,200
20R179,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",1,1,200
20R180,xq,Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Occipital/Temporal | Lateral Prefrontal Cortex",0,0,200
20R181,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R182,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",1,1,200
20R183,xq,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",1,1,200
20R184,xq,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
20R185,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Orbitomedial Prefrontal Cortex (OMPFC)",1,1,200
20R186,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",1,1,200
20R187,xq,Occipital/Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",0,1,200
20R188,xq,Hippocampal formation,Subcortical,Subcortical | Hippocampal formation | Operculum/Insula,0,1,200
20R189,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R190,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex",1,1,200
20R191,xq,Orbitomedial Prefrontal Cortex (OMPFC),"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Operculum/Insula | Lateral Prefrontal Cortex",0,0,200
20R192,xq,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas)",1,1,200
20R193,xq,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Temporal",0,1,200
20R194,xq,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",1,1,200
20R195,xq,Frontal (agranular frontal motor areas),Temporal,Temporal | Lateral Prefrontal Cortex | Cingulate gyrus,0,0,200
20R196,xq,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas)",0,1,200
20R197,xq,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Frontal (agranular frontal motor areas)",0,0,200
20R198,xq,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",1,1,200
20R199,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Temporal,0,0,200
20R200,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex | Temporal,0,1,200
20R201,xq,Lateral Prefrontal Cortex,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,200
20R202,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex | Temporal,0,1,200
20R203,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
20R204,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R205,xq,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
20R206,xq,Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
20R207,xq,Temporal,Temporal,"Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",1,1,200
20R208,xq,Cingulate gyrus,Operculum/Insula,Operculum/Insula | Frontal (agranular frontal motor areas) | Temporal,0,0,200
20R209,xq,Subcortical,Subcortical,Subcortical | Frontal (agranular frontal motor areas) | Hippocampal formation,1,1,200
20R210,xq,Hippocampal formation,Subcortical,Subcortical | Hippocampal formation | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
20R211,xq,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
20R212,xq,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,1,200
20R213,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex",1,1,200
20R214,xq,Operculum/Insula,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Operculum/Insula,0,1,200
20R215,xq,Temporal,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
20R216,xq,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
20R217,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R218,xq,Temporal,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
20R219,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R220,xq,Subcortical,Temporal,Temporal | Subcortical | Operculum/Insula,0,1,200
20R221,xq,Subcortical,Subcortical,Subcortical | Hippocampal formation | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R222,xq,"Parietal, and Parieto-occipital region",Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,0,200
20R223,xq,Operculum/Insula,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,1,200
20R224,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R225,xq,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R226,xq,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R227,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R228,xq,Operculum/Insula,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,0,200
20R229,xq,Temporal,Temporal,Temporal | Lateral Prefrontal Cortex | Operculum/Insula,1,1,200
20R230,xq,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
20R231,xq,Temporal,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,1,1,200
20R232,xq,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R233,xq,Subcortical,Subcortical,Subcortical | Occipital/Temporal | Temporal,1,1,200
20R234,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,0,1,200
20R235,xq,Lateral Prefrontal Cortex,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,200
20R236,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,1,1,200
20R237,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,1,1,200
20R238,xq,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Subcortical | Operculum/Insula,0,0,200
20R239,xq,Cingulate gyrus,Cingulate gyrus,Cingulate gyrus | Operculum/Insula | Temporal,1,1,200
20R240,xq,Operculum/Insula,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R241,xq,Operculum/Insula,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R242,xq,Temporal,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
20R243,xq,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R244,xq,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R245,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,1,1,200
20R246,xq,"Parietal, and Parieto-occipital region",Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
20R247,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex",1,1,200
20R248,xq,Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",0,1,200
20R249,xq,Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",0,1,200
20R250,xq,Temporal,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,0,1,200
20R251,xq,Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
20R252,xq,Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Orbitomedial Prefrontal Cortex (OMPFC)",0,1,200
20R253,xq,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,1,200
20R254,xq,Operculum/Insula,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,1,200
20R255,xq,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,1,200
20R256,xq,Subcortical,Subcortical,Subcortical | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R257,xq,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",0,1,200
20R258,xq,"Parietal, and Parieto-occipital region",Subcortical,Subcortical | Temporal | Occipital/Temporal,0,0,200
20R259,xq,Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
20R260,xq,Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",0,1,200
20R261,xq,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
20R262,xq,Temporal,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",0,1,200
20R263,xq,Subcortical,Subcortical,Subcortical | Temporal | Hippocampal formation,1,1,200
20R264,xq,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,1,200
