route,sample_id,label,true_network,network_beam,network_top1_hit,network_top3_hit,pred_top1,pred_top2,pred_top3,true_rank,hit1,hit3,true_resolution_group,pred_group_top1,pred_group_top2,pred_group_top3,group_true_rank,group_hit1,group_hit3,pred_top1_resolution_tier,pred_top1_resolution_reasons,pred_top1_group_members,truth_resolution_tier,truth_group_members,n_candidate_regions,n_candidate_groups,route_family
top3_network_beam_local_region_candidates,qbt-L-G-8-14_BRRL200006262-1A,G,Operculum/Insula,"Temporal | Parietal, and Parieto-occipital region | Operculum/Insula",0,1,PGa,SII,PrCo,4,0,0,Operculum/Insula::G + Ig + Ri + SII,Temporal::A1 + CL + CM + IPa + ML + PGa + TEa + Tpt,Operculum/Insula::G + Ig + Ri + SII,PrCo,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,A1 | CL | CM | IPa | ML | PGa | TEa | Tpt,low_resolution,G | Ig | Ri | SII,48,16,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,qbt-L-Ial-8-14_BRRL200006263-1A,Ial,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,Pi,Iapm,Ial,3,0,1,Operculum/Insula::Ia + Ial + Iapm + Pi,Operculum/Insula::Ia + Ial + Iapm + Pi,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,Temporal::RM + RT + RTM,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,Ia | Ial | Iapm | Pi,low_resolution,Ia | Ial | Iapm | Pi,51,17,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,qbt-L-Iapm-8-14_BRRL200006264-1A,Iapm,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,1,1,Ial,Pi,Iapm,3,0,1,Operculum/Insula::Ia + Ial + Iapm + Pi,Operculum/Insula::Ia + Ial + Iapm + Pi,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,Orbitomedial Prefrontal Cortex (OMPFC)::13a + 13b + 14c + 14r + 25,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,Ia | Ial | Iapm | Pi,low_resolution,Ia | Ial | Iapm | Pi,51,17,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-F4-8-17_BRRL200006266-1A,F4,Frontal (agranular frontal motor areas),"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,0,TEa,PGa,IPa,111,0,0,outside_network_beam,Temporal::PGa + RT + RTL + RTM + STG + TAa + TEa,Temporal::A1 + CL + CM + IPa + ML + TPO + Tpt,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",111,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,PGa | RT | RTL | RTM | STG | TAa | TEa,outside_network_beam,,46,17,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-G-8-17_BRRL200006267-1A,G,Operculum/Insula,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,PrCo,G,TEav,2,0,1,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,PrCo,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,Temporal::IPa + PGa + TEO + TEad + TEav + TEm + TEpd + TEpv,2,0,1,low_resolution,nearest_centroid_corr>=0.95,PrCo,low_resolution,G | Iapl | Id | Ig | Ri | SII,51,17,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-Iapl-8-17_BRRL200006268-1A,Iapl,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,1,1,Id,Pi,Iapl,3,0,1,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,Operculum/Insula::Ia + Ial + Iapm + Pi,Temporal::RM + RT + RTM,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,G | Iapl | Id | Ig | Ri | SII,low_resolution,G | Iapl | Id | Ig | Ri | SII,51,17,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-Iapm-8-17_BRRL200006269-1A,Iapm,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,1,1,Ial,Iapm,Pi,2,0,1,Operculum/Insula::Ia + Ial + Iapm + Pi,Operculum/Insula::Ia + Ial + Iapm + Pi,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,Temporal::RM + RT + RTM,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,Ia | Ial | Iapm | Pi,low_resolution,Ia | Ial | Iapm | Pi,51,17,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,qbt-R-9d-8-18_BRRL200006271-1A,9d,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",1,1,46v,46d,12m,16,0,0,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 8Bm + 9d + 9m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 8Bm + 9d + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 13l + 13m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 8Bm | 9d | 9m,low_resolution,10o | 12l | 12r | 46d | 46v | 8Bm | 9d | 9m,36,11,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,qbt-R-46d-8-18_BRRL200006272-1A,46d,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Orbitomedial Prefrontal Cortex (OMPFC)",1,1,46v,46d,12m,2,0,1,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 13l + 13m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9m,low_resolution,10o | 12l | 12r | 46d | 46v | 9m,36,11,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,qbt-R-46v-8-18_BRRL200006273-1A,46v,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Orbitomedial Prefrontal Cortex (OMPFC)",1,1,46v,46d,11l,1,1,1,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 13l + 13m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9m,low_resolution,10o | 12l | 12r | 46d | 46v | 9m,36,11,hybrid_projected_network_logcpm_exact
