route,sample_id,label,true_network,network_beam,network_top1_hit,network_top3_hit,pred_top1,pred_top2,pred_top3,true_rank,hit1,hit3,true_resolution_group,pred_group_top1,pred_group_top2,pred_group_top3,group_true_rank,group_hit1,group_hit3,pred_top1_resolution_tier,pred_top1_resolution_reasons,pred_top1_group_members,truth_resolution_tier,truth_group_members,n_candidate_regions,n_candidate_groups,monkey_id,route_family
top3_network_beam_local_region_candidates,xz-R-Ig-7-28_BRRL200004927-1A,Ig,Operculum/Insula,"Temporal | Parietal, and Parieto-occipital region | Operculum/Insula",0,1,PGa,TEa,SII,12,0,0,Operculum/Insula::G + Ig + Ri + SII,Temporal::A1 + CL + CM + IPa + ML + PGa + TPO + Tpt,TEa,Operculum/Insula::G + Ig + Ri + SII,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,A1 | CL | CM | IPa | ML | PGa | TPO | Tpt,low_resolution,G | Ig | Ri | SII,48,15,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-Id-7-28_BRRL200004928-1A,Id,Operculum/Insula,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,Iapl,Id,PrCO,2,0,1,Operculum/Insula::Ia + Ial + Iapl + Iapm + Id + Pi,Operculum/Insula::Ia + Ial + Iapl + Iapm + Id + Pi,PrCO,Operculum/Insula::G + Ig + Ri + SII,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,Ia | Ial | Iapl | Iapm | Id | Pi,low_resolution,Ia | Ial | Iapl | Iapm | Id | Pi,51,21,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-RM-7-28_BRRL200004929-1A,RM,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,Pi,Ial,Iapl,25,0,0,RM,Operculum/Insula::Ia + Ial + Iapl + Iapm + Id + Pi,Temporal::RT + RTM,TG,12,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,Ia | Ial | Iapl | Iapm | Id | Pi,low_resolution,RM,51,21,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-R-7-28_BRRL200004930-1A,R,Temporal,"Temporal | Operculum/Insula | Parietal, and Parieto-occipital region",1,1,PrCO,G,STG,17,0,0,Temporal::AL + R + RM,PrCO,Operculum/Insula::G + Ig + Ri + SII,Temporal::RT + RTL + RTM + STG + TEad + TEav,5,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95,PrCO,low_resolution,AL | R | RM,48,15,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-TAa-7-28_BRRL200004931-1A,TAa,Temporal,"Temporal | Operculum/Insula | Parietal, and Parieto-occipital region",1,1,PrCO,TEav,G,6,0,0,TAa,PrCO,Temporal::RT + RTL + RTM + STG + TEad + TEav,Operculum/Insula::G + Ig + Ri + SII,4,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95,PrCO,low_resolution,TAa,48,15,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-TPO-7-28_BRRL200004932-1A,TPO,Temporal,"Temporal | Parietal, and Parieto-occipital region | Operculum/Insula",1,1,PrCO,G,TEav,26,0,0,Temporal::A1 + CL + CM + IPa + ML + PGa + TPO + Tpt,PrCO,Operculum/Insula::G + Ig + Ri + SII,Temporal::RT + RTL + RTM + STG + TEad + TEav,5,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95,PrCO,low_resolution,A1 | CL | CM | IPa | ML | PGa | TPO | Tpt,48,15,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-PGa-7-28_BRRL200004933-1A,PGa,Temporal,"Temporal | Parietal, and Parieto-occipital region | Operculum/Insula",1,1,PGa,SII,TAa,1,1,1,Temporal::A1 + CL + CM + IPa + ML + PGa + TPO + Tpt,Temporal::A1 + CL + CM + IPa + ML + PGa + TPO + Tpt,Operculum/Insula::G + Ig + Ri + SII,TAa,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,A1 | CL | CM | IPa | ML | PGa | TPO | Tpt,low_resolution,A1 | CL | CM | IPa | ML | PGa | TPO | Tpt,48,15,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-Ipa-7-28_BRRL200004934-1A,IPa,Temporal,"Temporal | Parietal, and Parieto-occipital region | Operculum/Insula",1,1,TEad,PGa,TAa,18,0,0,Temporal::A1 + CL + CM + IPa + ML + PGa + TPO + Tpt,Temporal::RT + RTL + RTM + STG + TEad + TEav,Temporal::A1 + CL + CM + IPa + ML + PGa + TPO + Tpt,TAa,2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,RT | RTL | RTM | STG | TEad | TEav,low_resolution,A1 | CL | CM | IPa | ML | PGa | TPO | Tpt,48,15,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-TEa-7-28_BRRL200004935-1A,TEa,Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",1,1,PGa,TEa,7a,2,0,1,TEa,Temporal::IPa + PGa,TEa,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op + LIPd",2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,IPa | PGa,low_resolution,TEa,46,18,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-TEm-7-28_BRRL200004936-1A,TEm,Temporal,"Temporal | Operculum/Insula | Parietal, and Parieto-occipital region",1,1,TEad,TEav,TAa,10,0,0,Temporal::TEO + TEm + TEpd + TEpv,Temporal::RT + RTL + RTM + STG + TEad + TEav,TAa,Temporal::TEO + TEm + TEpd + TEpv,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,RT | RTL | RTM | STG | TEad | TEav,low_resolution,TEO | TEm | TEpd | TEpv,48,15,xz,hybrid_projected_network_logcpm_exact
