route,sample_id,label,true_network,network_beam,network_top1_hit,network_top3_hit,pred_top1,pred_top2,pred_top3,true_rank,hit1,hit3,true_resolution_group,pred_group_top1,pred_group_top2,pred_group_top3,group_true_rank,group_hit1,group_hit3,pred_top1_resolution_tier,pred_top1_resolution_reasons,pred_top1_group_members,truth_resolution_tier,truth_group_members,n_candidate_regions,n_candidate_groups,monkey_id,route_family
top3_network_beam_local_region_candidates,19R348,7m,"Parietal, and Parieto-occipital region","Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,TEO,V3v,V4,18,0,0,7m,Temporal::PGa + RT + RTL + STG + TAa + TEO + TEm + TEpd,Occipital/Temporal::FST + MST + V3d + V3v + V4 + V4v,Occipital/Temporal::V1 + V2,6,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,PGa | RT | RTL | STG | TAa | TEO | TEm | TEpd,low_resolution,7m,46,18,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R349,VIP,"Parietal, and Parieto-occipital region","Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,V3d,FST,V2,11,0,0,"Parietal, and Parieto-occipital region::3a/b + 5 + LIPd + LIPv + VIP",Occipital/Temporal::FST + MST + V3d + V3v + V4 + V4v,Occipital/Temporal::V1 + V2,Temporal::A1 + CL + CM + ML + TPO + Tpt,5,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,FST | MST | V3d | V3v | V4 | V4v,low_resolution,3a/b | 5 | LIPd | LIPv | VIP,46,18,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R350,V4v,Occipital/Temporal,"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Occipital/Temporal",0,1,7m,5,7op,8,0,0,Occipital/Temporal::V1 + V2 + V3d + V3v + V4 + V4v,"Parietal, and Parieto-occipital region::5 + 7m + LIPd + LIPv + VIP","Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op",3a/b,4,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,5 | 7m | LIPd | LIPv | VIP,low_resolution,V1 | V2 | V3d | V3v | V4 | V4v,32,8,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R356,13b,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),0,1,12l,12r,12m,22,0,0,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d + 9m,2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v,low_resolution,11l | 12m | 12o | 13b | 13l | 13m,36,13,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R357,11l,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),0,1,12r,12l,12m,7,0,0,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d + 9m,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v,low_resolution,11l | 12m | 12o | 13b | 13l | 13m,36,13,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R358,14r,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,24c,12o,24c',26,0,0,14r,Cingulate gyrus::24b + 24c,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Cingulate gyrus::23b + 23c + 24b' + 24c',10,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,24b | 24c,low_resolution,14r,36,13,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R359,10m,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,11m,12o,10m,3,0,1,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13b + 13l + 13m,Cingulate gyrus::24b + 24c,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10m | 11m,low_resolution,10m | 11m,36,13,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R361,F3,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Cingulate gyrus,1,1,44,8Bd,F7,4,0,0,Frontal (agranular frontal motor areas)::F1 + F2 + F3,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,F7,Frontal (agranular frontal motor areas)::F1 + F2 + F3,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,44 | 45 | 8A | 8Bd | 8Bs | 9d,low_resolution,F1 | F2 | F3,30,12,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R369,F1,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",0,1,5,F1,3a/b,2,0,1,Frontal (agranular frontal motor areas)::F1 + F2,"Parietal, and Parieto-occipital region::3a/b + 5 + LIPd + LIPv + VIP",Frontal (agranular frontal motor areas)::F1 + F2,7m,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,3a/b | 5 | LIPd | LIPv | VIP,low_resolution,F1 | F2,30,11,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R372,1-2,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",1,1,5,F1,LIPv,20,0,0,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b","Parietal, and Parieto-occipital region::3a/b + 5 + LIPd + LIPv + VIP",Frontal (agranular frontal motor areas)::F1 + F2,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs,9,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,3a/b | 5 | LIPd | LIPv | VIP,low_resolution,1-2 | 7a | 7b,30,11,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R376,AL,Temporal,Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,RT,RTL,RM,24,0,0,AL,Temporal::RM + RT + RTM,Temporal::RTL + STG,Operculum/Insula::G + Iapl + Id + Ig + PrCO + Ri + SII,10,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,RM | RT | RTM,low_resolution,AL,51,17,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R378,pu,Subcortical,Subcortical | Hippocampal formation | Operculum/Insula,1,1,pu,Cd,NAcc,1,1,1,Subcortical::Cd + pu,Subcortical::Cd + pu,NAcc,Cla,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,Cd | pu,low_resolution,Cd | pu,20,11,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R352,Amy,Subcortical,Subcortical | Hippocampal formation | Operculum/Insula,1,1,Tha,GP,NAcc,9,0,0,Amy,Tha,GP,NAcc,8,0,0,low_resolution,training_n<8,Tha,low_resolution,Amy,20,11,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R364,G,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Cingulate gyrus,0,1,Iapl,Id,23b,10,0,0,Operculum/Insula::G + Iapl + Id + Ig + PrCO + Ri + SII,Operculum/Insula::G + Iapl + Id + Ig + PrCO + Ri + SII,Cingulate gyrus::23b + 23c + 24a' + 24b + 24b' + 24c + 24c',Operculum/Insula::Ia + Ial + Iapm + Pi,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,G | Iapl | Id | Ig | PrCO | Ri | SII,low_resolution,G | Iapl | Id | Ig | PrCO | Ri | SII,34,8,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R368,3a/b,"Parietal, and Parieto-occipital region","Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,3a/b,A1,CL,1,1,1,"Parietal, and Parieto-occipital region::3a/b + 5 + LIPd + LIPv + VIP","Parietal, and Parieto-occipital region::3a/b + 5 + LIPd + LIPv + VIP",Temporal::A1 + CL + CM + ML + TPO + Tpt,Occipital/Temporal::FST + MST + V3d + V3v + V4 + V4v,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,3a/b | 5 | LIPd | LIPv | VIP,low_resolution,3a/b | 5 | LIPd | LIPv | VIP,46,18,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R371,V3v,Occipital/Temporal,"Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",1,1,V2,V1,V3v,3,0,1,Occipital/Temporal::FST + MST + V3d + V3v + V4 + V4v,Occipital/Temporal::V1 + V2,Occipital/Temporal::FST + MST + V3d + V3v + V4 + V4v,Temporal::A1 + CL + CM + ML + TPO + Tpt,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,V1 | V2,low_resolution,FST | MST | V3d | V3v | V4 | V4v,46,18,2,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R627,10m,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,11m,10m,9m,2,0,1,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::14c + 14r + 32,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10m | 11m | 12m | 12o | 13b | 13l | 13m,low_resolution,10m | 11m | 12m | 12o | 13b | 13l | 13m,35,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R628,46d,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Cingulate gyrus | Frontal (agranular frontal motor areas),1,1,12r,46v,46d,3,0,1,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9m,low_resolution,10o | 12l | 12r | 46d | 46v | 9m,29,11,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R629,46v,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),1,1,10o,12r,12l,7,0,0,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,11l,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9d | 9m,low_resolution,10o | 12l | 12r | 46d | 46v | 9d | 9m,35,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R630,12r,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),1,1,10o,13m,11m,5,0,0,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,11l,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9d | 9m,low_resolution,10o | 12l | 12r | 46d | 46v | 9d | 9m,35,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R631,11l,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Lateral Prefrontal Cortex,1,1,10o,11m,13m,11,0,0,11l,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,11l,3,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9d | 9m,low_resolution,11l,35,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R632,10o,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Cingulate gyrus,0,0,11m,10m,13b,111,0,0,outside_network_beam,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11l + 11m + 12m + 12o + 13b + 13l + 13m,Orbitomedial Prefrontal Cortex (OMPFC)::13a + 14c + 14r,PrCO,111,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10m | 11l | 11m | 12m | 12o | 13b | 13l | 13m,outside_network_beam,,33,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R633,9m,Lateral Prefrontal Cortex,Cingulate gyrus | Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex,0,1,12l,F6,9m,3,0,1,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,8Bm,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9m,low_resolution,10o | 12l | 12r | 46d | 46v | 9m,29,11,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R634,9d,Lateral Prefrontal Cortex,Cingulate gyrus | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas),0,1,12l,F5,12r,5,0,0,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9m,low_resolution,44 | 45 | 8A | 8Bd | 8Bs | 9d,29,11,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R635,12l,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus,1,1,10o,12r,11m,5,0,0,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,11l,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9d | 9m,low_resolution,10o | 12l | 12r | 46d | 46v | 9d | 9m,35,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R636,12m,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,10o,13m,12l,8,0,0,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,11l,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9d | 9m,low_resolution,10m | 11m | 12m | 12o | 13b | 13l | 13m,35,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R637,13b,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Operculum/Insula,1,1,10m,11m,13b,3,0,1,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11l + 11m + 12m + 12o + 13b + 13l + 13m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11l + 11m + 12m + 12o + 13b + 13l + 13m,Orbitomedial Prefrontal Cortex (OMPFC)::13a + 14c + 14r,32,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10m | 11l | 11m | 12m | 12o | 13b | 13l | 13m,low_resolution,10m | 11l | 11m | 12m | 12o | 13b | 13l | 13m,33,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R638,14r,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Cingulate gyrus,1,1,14r,10m,11m,1,1,1,Orbitomedial Prefrontal Cortex (OMPFC)::13a + 14c + 14r,Orbitomedial Prefrontal Cortex (OMPFC)::13a + 14c + 14r,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11l + 11m + 12m + 12o + 13b + 13l + 13m,32,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,13a | 14c | 14r,low_resolution,13a | 14c | 14r,33,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R639,32,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,12o,10m,24c,8,0,0,Orbitomedial Prefrontal Cortex (OMPFC)::14c + 14r + 32,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,Cingulate gyrus::23b + 23c + 24b' + 24c + 24c',Orbitomedial Prefrontal Cortex (OMPFC)::14c + 14r + 32,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10m | 11m | 12m | 12o | 13b | 13l | 13m,low_resolution,14c | 14r | 32,35,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R640,8Bm,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Cingulate gyrus,0,1,F6,12l,8Bd,8,0,0,8Bm,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,5,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,F1 | F2 | F3 | F5 | F6,low_resolution,8Bm,29,11,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R641,8Bd,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Cingulate gyrus,0,1,12l,F5,12r,6,0,0,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9m,low_resolution,44 | 45 | 8A | 8Bd | 8Bs | 9d,29,11,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R642,45,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),1,1,12r,12m,12l,15,0,0,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9d + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11m + 12m + 12o + 13b + 13l + 13m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9d | 9m,low_resolution,44 | 45 | 8A | 8Bd | 8Bs,35,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R643,24b,Cingulate gyrus,Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,32,24b',24c,15,0,0,24b,32,Cingulate gyrus::23b + 23c + 24b' + 24c + 24c',Orbitomedial Prefrontal Cortex (OMPFC)::13a + 14c + 14r,7,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95,32,low_resolution,24b,33,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R644,24c,Cingulate gyrus,Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,24c,25,32,1,1,1,Cingulate gyrus::23b + 23c + 24b' + 24c + 24c',Cingulate gyrus::23b + 23c + 24b' + 24c + 24c',25,32,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,23b | 23c | 24b' | 24c | 24c',low_resolution,23b | 23c | 24b' | 24c | 24c',33,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R645,F6,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Cingulate gyrus | Lateral Prefrontal Cortex,1,1,F3,8Bd,F6,3,0,1,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,8Bm,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,F1 | F2 | F3 | F5 | F6,low_resolution,F1 | F2 | F3 | F5 | F6,29,11,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R646,F7,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Cingulate gyrus,1,1,8Bd,F3,44,7,0,0,F7,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,F7,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,44 | 45 | 8A | 8Bd | 8Bs | 9d,low_resolution,F7,29,11,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R647,8Bs,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Cingulate gyrus,0,1,F2,44,8Bd,6,0,0,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,F7,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,F1 | F2 | F3 | F5 | F6,low_resolution,44 | 45 | 8A | 8Bd | 8Bs | 9d,29,11,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R648,8A,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",1,1,5,45,44,5,0,0,Lateral Prefrontal Cortex::44 + 45 + 46d + 46v + 8A + 8Bd + 8Bs + 9d,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",Lateral Prefrontal Cortex::44 + 45 + 46d + 46v + 8A + 8Bd + 8Bs + 9d,F4,2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,1-2 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,low_resolution,44 | 45 | 46d | 46v | 8A | 8Bd | 8Bs | 9d,30,9,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R649,12o,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus,0,1,12o,10m,32,1,1,1,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11l + 11m + 12m + 12o + 13b + 13l + 13m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11l + 11m + 12m + 12o + 13b + 13l + 13m,32,Orbitomedial Prefrontal Cortex (OMPFC)::13a + 14c + 14r,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10m | 11l | 11m | 12m | 12o | 13b | 13l | 13m,low_resolution,10m | 11l | 11m | 12m | 12o | 13b | 13l | 13m,33,13,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R650,14c,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula | Hippocampal formation | Orbitomedial Prefrontal Cortex (OMPFC),0,1,32,14r,13a,4,0,0,14c,32,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11l + 11m + 12m + 13l + 13m + 14r,Orbitomedial Prefrontal Cortex (OMPFC)::13a + 13b,4,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95,32,low_resolution,14c,25,10,34,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,19R651,F3,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Cingulate gyrus,1,1,F3,44,F2,1,1,1,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,Frontal (agranular frontal motor areas)::F1 + F2 + F3 + F5 + F6,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs + 9d,F7,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,F1 | F2 | F3 | F5 | F6,low_resolution,F1 | F2 | F3 | F5 | F6,29,11,34,hybrid_projected_network_logcpm_exact
