reference,family,marker_gene
Siletti2023_human,Excitatory neuron,LINC01324
Siletti2023_human,Excitatory neuron,LINC01331
Siletti2023_human,Excitatory neuron,LINC01338
Siletti2023_human,Excitatory neuron,LINC01339
Siletti2023_human,Excitatory neuron,LINC01378
Siletti2023_human,Excitatory neuron,LINC01443
Siletti2023_human,Excitatory neuron,LINC01478
Siletti2023_human,Excitatory neuron,LINC01479
Siletti2023_human,Excitatory neuron,LINC01482
Siletti2023_human,Excitatory neuron,LINC01484
Siletti2023_human,Excitatory neuron,LINC01497
Siletti2023_human,Excitatory neuron,LINC01500
Siletti2023_human,Excitatory neuron,LINC01524
Siletti2023_human,Excitatory neuron,LINC01568
Siletti2023_human,Excitatory neuron,LINC01606
Siletti2023_human,Excitatory neuron,LINC01621
Siletti2023_human,Excitatory neuron,LINC01622
Siletti2023_human,Excitatory neuron,LINC01645
Siletti2023_human,Excitatory neuron,LINC01667
Siletti2023_human,Excitatory neuron,LINC01680
Siletti2023_human,Excitatory neuron,LINC01685
Siletti2023_human,Excitatory neuron,LINC01697
Siletti2023_human,Excitatory neuron,LINC01720
Siletti2023_human,Excitatory neuron,LINC01721
Siletti2023_human,Excitatory neuron,LINC01735
Siletti2023_human,Excitatory neuron,LINC01781
Siletti2023_human,Excitatory neuron,LINC01798
Siletti2023_human,Excitatory neuron,LINC01799
Siletti2023_human,Excitatory neuron,LINC01821
Siletti2023_human,Excitatory neuron,LINC01828
Siletti2023_human,Excitatory neuron,LINC01865
Siletti2023_human,Excitatory neuron,LINC01866
Siletti2023_human,Excitatory neuron,LINC01876
Siletti2023_human,Excitatory neuron,LINC01885
Siletti2023_human,Excitatory neuron,LINC01886
Siletti2023_human,Excitatory neuron,LINC01903
Siletti2023_human,Excitatory neuron,LINC01915
Siletti2023_human,Excitatory neuron,LINC01920
Siletti2023_human,Excitatory neuron,LINC01956
Siletti2023_human,Excitatory neuron,LINC01965
Siletti2023_human,Excitatory neuron,LINC01982
Siletti2023_human,Excitatory neuron,LINC01997
Siletti2023_human,Excitatory neuron,LINC02008
Siletti2023_human,Excitatory neuron,LINC02015
Siletti2023_human,Excitatory neuron,LINC02030
Siletti2023_human,Excitatory neuron,LINC02042
Siletti2023_human,Excitatory neuron,LINC02055
Siletti2023_human,Excitatory neuron,LINC02058
Siletti2023_human,Excitatory neuron,LINC02067
Siletti2023_human,Excitatory neuron,LINC02073
Siletti2023_human,Excitatory neuron,LINC02105
Siletti2023_human,Excitatory neuron,LINC02143
Siletti2023_human,Excitatory neuron,LINC02153
Siletti2023_human,Excitatory neuron,LINC02163
Siletti2023_human,Excitatory neuron,LINC02192
Siletti2023_human,Excitatory neuron,LINC02196
Siletti2023_human,Excitatory neuron,LINC02218
Siletti2023_human,Excitatory neuron,LINC02237
Siletti2023_human,Excitatory neuron,LINC02248
Siletti2023_human,Excitatory neuron,LINC02263
Siletti2023_human,Excitatory neuron,LINC02296
Siletti2023_human,Excitatory neuron,LINC02301
Siletti2023_human,Excitatory neuron,LINC02306
Siletti2023_human,Excitatory neuron,LINC02309
Siletti2023_human,Excitatory neuron,LINC02316
Siletti2023_human,Excitatory neuron,LINC02338
Siletti2023_human,Excitatory neuron,LINC02378
Siletti2023_human,Excitatory neuron,LINC02381
Siletti2023_human,Excitatory neuron,LINC02388
Siletti2023_human,Excitatory neuron,LINC02424
Siletti2023_human,Excitatory neuron,LINC02433
Siletti2023_human,Excitatory neuron,LINC02444
Siletti2023_human,Excitatory neuron,LINC02465
Siletti2023_human,Excitatory neuron,LINC02476
Siletti2023_human,Excitatory neuron,LINC02498
Siletti2023_human,Excitatory neuron,LINC02505
Siletti2023_human,Excitatory neuron,LINC02520
Siletti2023_human,Excitatory neuron,LINC02550
Siletti2023_human,Excitatory neuron,LINC02653
Siletti2023_human,Excitatory neuron,LINC02699
Siletti2023_human,Excitatory neuron,LINC02717
Siletti2023_human,Excitatory neuron,LINC02718
Siletti2023_human,Excitatory neuron,LINC02720
Siletti2023_human,Excitatory neuron,LINC02726
Siletti2023_human,Excitatory neuron,LINC02742
Siletti2023_human,Excitatory neuron,LINC02752
Siletti2023_human,Excitatory neuron,LINC02770
Siletti2023_human,Excitatory neuron,LINC02775
Siletti2023_human,Excitatory neuron,LMX1A
Siletti2023_human,Excitatory neuron,LMX1B
Siletti2023_human,Excitatory neuron,LNCTAM34A
Siletti2023_human,Excitatory neuron,LPIN3
Siletti2023_human,Excitatory neuron,LPO
Siletti2023_human,Excitatory neuron,LRRC55
Siletti2023_human,Excitatory neuron,LTBP1
Siletti2023_human,Excitatory neuron,LTBP2
Siletti2023_human,Excitatory neuron,MAB21L2
Siletti2023_human,Excitatory neuron,MAFA
Siletti2023_human,Excitatory neuron,MATN3
Siletti2023_human,Excitatory neuron,MC4R
Siletti2023_human,Excitatory neuron,MCOLN2
Siletti2023_human,Excitatory neuron,MCOLN3
Siletti2023_human,Excitatory neuron,MCTP2
Siletti2023_human,Excitatory neuron,MDFIC
Siletti2023_human,Excitatory neuron,MEIS1-AS3
Siletti2023_human,Excitatory neuron,MEPE
Siletti2023_human,Excitatory neuron,MET
Siletti2023_human,Excitatory neuron,METTL11B
Siletti2023_human,Excitatory neuron,MFGE8
Siletti2023_human,Excitatory neuron,MIR1-1HG-AS1
Siletti2023_human,Excitatory neuron,MIR217HG
Siletti2023_human,Excitatory neuron,MIR3976HG
Siletti2023_human,Excitatory neuron,MIR548XHG
Siletti2023_human,Excitatory neuron,MLPH
Siletti2023_human,Excitatory neuron,MMP26
Siletti2023_human,Excitatory neuron,MMRN1
Siletti2023_human,Excitatory neuron,MORC1
Siletti2023_human,Excitatory neuron,MOXD1
Siletti2023_human,Excitatory neuron,MROH2A
Siletti2023_human,Excitatory neuron,MS4A8
Siletti2023_human,Excitatory neuron,MSC-AS1
Siletti2023_human,Excitatory neuron,MSR1
Siletti2023_human,Excitatory neuron,MUC19
Siletti2023_human,Excitatory neuron,MUC7
Siletti2023_human,Excitatory neuron,MYBPC1
Siletti2023_human,Excitatory neuron,MYH4
Siletti2023_human,Excitatory neuron,MYO5B
Siletti2023_human,Excitatory neuron,MYOCD
Siletti2023_human,Excitatory neuron,MYPN
Siletti2023_human,Excitatory neuron,NAALADL2-AS2
Siletti2023_human,Excitatory neuron,NCAPG
Siletti2023_human,Excitatory neuron,NDNF
Siletti2023_human,Excitatory neuron,NDST4
Siletti2023_human,Excitatory neuron,NFIA-AS2
Siletti2023_human,Excitatory neuron,NHLH1
Siletti2023_human,Excitatory neuron,NKX6-1
Siletti2023_human,Excitatory neuron,NLRP1
Siletti2023_human,Excitatory neuron,NPB
Siletti2023_human,Excitatory neuron,NPFF
Siletti2023_human,Excitatory neuron,NPFFR2
Siletti2023_human,Excitatory neuron,NPS
Siletti2023_human,Excitatory neuron,NPSR1
Siletti2023_human,Excitatory neuron,NPSR1-AS1
Siletti2023_human,Excitatory neuron,NR5A2
Siletti2023_human,Excitatory neuron,NTF3
Siletti2023_human,Excitatory neuron,NTNG2
Siletti2023_human,Excitatory neuron,NTRK1
Siletti2023_human,Excitatory neuron,NTS
Siletti2023_human,Excitatory neuron,OLFML2B
Siletti2023_human,Excitatory neuron,ONECUT1
Siletti2023_human,Excitatory neuron,ONECUT3
Siletti2023_human,Excitatory neuron,OR51E2
Siletti2023_human,Excitatory neuron,OR7E14P
Siletti2023_human,Excitatory neuron,OR8A1
Siletti2023_human,Excitatory neuron,OTOF
Siletti2023_human,Excitatory neuron,OTOS
Siletti2023_human,Excitatory neuron,OTP
Siletti2023_human,Excitatory neuron,OXT
Siletti2023_human,Excitatory neuron,P2RX2
Siletti2023_human,Excitatory neuron,PANCR
Siletti2023_human,Excitatory neuron,PAPPA2
Siletti2023_human,Excitatory neuron,PAX5
Siletti2023_human,Excitatory neuron,PCSK1
Siletti2023_human,Excitatory neuron,PDGFD
Siletti2023_human,Excitatory neuron,PDLIM1
Siletti2023_human,Excitatory neuron,PGF
Siletti2023_human,Excitatory neuron,PGM5
Siletti2023_human,Excitatory neuron,PGR
Siletti2023_human,Excitatory neuron,PGR-AS1
Siletti2023_human,Excitatory neuron,PHOX2A
Siletti2023_human,Excitatory neuron,PHOX2B
Siletti2023_human,Excitatory neuron,PHOX2B-AS1
Siletti2023_human,Excitatory neuron,PIK3C2G
Siletti2023_human,Excitatory neuron,PITX2
Siletti2023_human,Excitatory neuron,PIWIL1
Siletti2023_human,Excitatory neuron,PKD2L1
Siletti2023_human,Excitatory neuron,PKHD1L1
Siletti2023_human,Excitatory neuron,PLA2G4A
Siletti2023_human,Excitatory neuron,PLEKHG4B
Siletti2023_human,Excitatory neuron,PMFBP1
Siletti2023_human,Excitatory neuron,POMC
Siletti2023_human,Excitatory neuron,POSTN
Siletti2023_human,Excitatory neuron,POU2F3
Siletti2023_human,Excitatory neuron,POU3F1
Siletti2023_human,Excitatory neuron,POU4F1
Siletti2023_human,Excitatory neuron,PPP1R17
Siletti2023_human,Excitatory neuron,PPP1R1C
Siletti2023_human,Excitatory neuron,PRDM13
Siletti2023_human,Excitatory neuron,PRDM6
Siletti2023_human,Excitatory neuron,PRELP
Siletti2023_human,Excitatory neuron,PRLR
Siletti2023_human,Excitatory neuron,PRPH
Siletti2023_human,Excitatory neuron,PRR35
Siletti2023_human,Excitatory neuron,PTGER3
Siletti2023_human,Excitatory neuron,PTGFR
Siletti2023_human,Excitatory neuron,PTH2
Siletti2023_human,Excitatory neuron,PTTG1
Siletti2023_human,Excitatory neuron,PWWP3B
Siletti2023_human,Excitatory neuron,PXDN
Siletti2023_human,Excitatory neuron,QRFPR
Siletti2023_human,Excitatory neuron,RADX
Siletti2023_human,Excitatory neuron,RASSF9
Siletti2023_human,Excitatory neuron,RCSD1
Siletti2023_human,Excitatory neuron,RERGL
Siletti2023_human,Excitatory neuron,RFX6
Siletti2023_human,Excitatory neuron,RLN3
Siletti2023_human,Excitatory neuron,RMST
Siletti2023_human,Excitatory neuron,ROBO3
Siletti2023_human,Excitatory neuron,ROR2
Siletti2023_human,Excitatory neuron,RP1
Siletti2023_human,Excitatory neuron,RSPO3
Siletti2023_human,Excitatory neuron,RUFY4
Siletti2023_human,Excitatory neuron,RXFP2
Siletti2023_human,Excitatory neuron,S100A10
Siletti2023_human,Excitatory neuron,S100Z
Siletti2023_human,Excitatory neuron,SAMD11
Siletti2023_human,Excitatory neuron,SCGN
Siletti2023_human,Excitatory neuron,SCHLAP1
Siletti2023_human,Excitatory neuron,SCN5A
Siletti2023_human,Excitatory neuron,SCN7A
Siletti2023_human,Excitatory neuron,SCTR
Siletti2023_human,Excitatory neuron,SCUBE1
Siletti2023_human,Excitatory neuron,SEMA3D
Siletti2023_human,Excitatory neuron,SEMA3E
Siletti2023_human,Excitatory neuron,SERPINB13
Siletti2023_human,Excitatory neuron,SGCG
Siletti2023_human,Excitatory neuron,SH2D1B
Siletti2023_human,Excitatory neuron,SHISA3
Siletti2023_human,Excitatory neuron,SHISAL2B
Siletti2023_human,Excitatory neuron,SHOX2
Siletti2023_human,Excitatory neuron,SIM1
Siletti2023_human,Excitatory neuron,SKOR2
Siletti2023_human,Excitatory neuron,SLA
Siletti2023_human,Excitatory neuron,SLC15A1
Siletti2023_human,Excitatory neuron,SLC15A5
Siletti2023_human,Excitatory neuron,SLC17A6
Siletti2023_human,Excitatory neuron,SLC17A8
Siletti2023_human,Excitatory neuron,SLC18A1
Siletti2023_human,Excitatory neuron,SLC18A2
Siletti2023_human,Excitatory neuron,SLC22A31
Siletti2023_human,Excitatory neuron,SLC38A11
Siletti2023_human,Excitatory neuron,SLC5A7
Siletti2023_human,Excitatory neuron,SLC6A2
Siletti2023_human,Excitatory neuron,SLC6A3
Siletti2023_human,Excitatory neuron,SLC6A4
Siletti2023_human,Excitatory neuron,SLC6A5
Siletti2023_human,Excitatory neuron,SLC9C1
Siletti2023_human,Excitatory neuron,SLCO2A1
Siletti2023_human,Excitatory neuron,SLITRK6
Siletti2023_human,Excitatory neuron,SMILR
Siletti2023_human,Excitatory neuron,SMIM32
Siletti2023_human,Excitatory neuron,SMIM36
Siletti2023_human,Excitatory neuron,SMYD1
Siletti2023_human,Excitatory neuron,SNHG31
Siletti2023_human,Excitatory neuron,SNTG2
Siletti2023_human,Excitatory neuron,SOX11
Siletti2023_human,Excitatory neuron,SOX4
Siletti2023_human,Excitatory neuron,SPTLC3
Siletti2023_human,Excitatory neuron,ST8SIA6
Siletti2023_human,Excitatory neuron,ST8SIA6-AS1
Siletti2023_human,Excitatory neuron,STAC
Siletti2023_human,Excitatory neuron,STK32B
Siletti2023_human,Excitatory neuron,STPG2-AS1
Siletti2023_human,Excitatory neuron,SULF1
Siletti2023_human,Excitatory neuron,SYT6
Siletti2023_human,Excitatory neuron,SYTL1
Siletti2023_human,Excitatory neuron,SYTL4
Siletti2023_human,Excitatory neuron,TAC1
Siletti2023_human,Excitatory neuron,TAC3
Siletti2023_human,Excitatory neuron,TACR3
Siletti2023_human,Excitatory neuron,TAFA4
Siletti2023_human,Excitatory neuron,TAGLN2
Siletti2023_human,Excitatory neuron,TARID
Siletti2023_human,Excitatory neuron,TBX3
Siletti2023_human,Excitatory neuron,TES
Siletti2023_human,Excitatory neuron,TFAP2B
Siletti2023_human,Excitatory neuron,TFAP2C
Siletti2023_human,Excitatory neuron,TFAP2D
Siletti2023_human,Excitatory neuron,TFPI
Siletti2023_human,Excitatory neuron,TG
Siletti2023_human,Excitatory neuron,TGFBI
Siletti2023_human,Excitatory neuron,TH
Siletti2023_human,Excitatory neuron,THEMIS
Siletti2023_human,Excitatory neuron,TINAG
Siletti2023_human,Excitatory neuron,TLX3
Siletti2023_human,Excitatory neuron,TMC1
Siletti2023_human,Excitatory neuron,TMC3
Siletti2023_human,Excitatory neuron,TMEM108-AS1
Siletti2023_human,Excitatory neuron,TMEM176B
Siletti2023_human,Excitatory neuron,TMEM233
Siletti2023_human,Excitatory neuron,TMEM244
Siletti2023_human,Excitatory neuron,TMEM255A
Siletti2023_human,Excitatory neuron,TMEM255B
Siletti2023_human,Excitatory neuron,TMEM45B
Siletti2023_human,Excitatory neuron,TNFRSF11B
Siletti2023_human,Excitatory neuron,TNFRSF4
Siletti2023_human,Excitatory neuron,TNIP3
Siletti2023_human,Excitatory neuron,TNNT2
Siletti2023_human,Excitatory neuron,TP73
Siletti2023_human,Excitatory neuron,TPH2
Siletti2023_human,Excitatory neuron,TRABD2A
Siletti2023_human,Excitatory neuron,TRH
Siletti2023_human,Excitatory neuron,TRHR
Siletti2023_human,Excitatory neuron,TRIM22
Siletti2023_human,Excitatory neuron,TRPC3
Siletti2023_human,Excitatory neuron,TRPC6
Siletti2023_human,Excitatory neuron,TRPM8
Siletti2023_human,Excitatory neuron,TSPAN18
Siletti2023_human,Excitatory neuron,TTC6
Siletti2023_human,Excitatory neuron,TTR
Siletti2023_human,Excitatory neuron,TWIST1
Siletti2023_human,Excitatory neuron,TWIST2
Siletti2023_human,Excitatory neuron,UCMA
Siletti2023_human,Excitatory neuron,USH1C
Siletti2023_human,Excitatory neuron,VANGL1
Siletti2023_human,Excitatory neuron,VENTXP1
Siletti2023_human,Excitatory neuron,VEPH1
Siletti2023_human,Excitatory neuron,VIPR2
Siletti2023_human,Excitatory neuron,VIT
Siletti2023_human,Excitatory neuron,VSX2
Siletti2023_human,Excitatory neuron,VWA2
Siletti2023_human,Excitatory neuron,VWA5B1
Siletti2023_human,Excitatory neuron,WDR63
Siletti2023_human,Excitatory neuron,WDR72
Siletti2023_human,Excitatory neuron,WDR86
Siletti2023_human,Excitatory neuron,WNK4
Siletti2023_human,Excitatory neuron,XIST
Siletti2023_human,Excitatory neuron,Z68323.1
Siletti2023_human,Excitatory neuron,ZBTB20-AS1
Siletti2023_human,Excitatory neuron,ZBTB20-AS2
Siletti2023_human,Excitatory neuron,ZCCHC12
Siletti2023_human,Excitatory neuron,ZFHX4-AS1
Siletti2023_human,Inhibitory neuron,ABCB5
Siletti2023_human,Inhibitory neuron,ABI3BP
Siletti2023_human,Inhibitory neuron,AC002072.1
Siletti2023_human,Inhibitory neuron,AC004551.1
Siletti2023_human,Inhibitory neuron,AC004704.1
Siletti2023_human,Inhibitory neuron,AC004862.1
Siletti2023_human,Inhibitory neuron,AC005064.1
Siletti2023_human,Inhibitory neuron,AC005100.1
Siletti2023_human,Inhibitory neuron,AC005208.1
Siletti2023_human,Inhibitory neuron,AC005482.1
Siletti2023_human,Inhibitory neuron,AC005837.1
Siletti2023_human,Inhibitory neuron,AC006065.4
Siletti2023_human,Inhibitory neuron,AC006305.1
Siletti2023_human,Inhibitory neuron,AC006364.1
Siletti2023_human,Inhibitory neuron,AC006974.2
Siletti2023_human,Inhibitory neuron,AC007159.1
Siletti2023_human,Inhibitory neuron,AC007422.1
Siletti2023_human,Inhibitory neuron,AC008127.1
Siletti2023_human,Inhibitory neuron,AC008163.1
Siletti2023_human,Inhibitory neuron,AC008415.1
Siletti2023_human,Inhibitory neuron,AC008786.1
Siletti2023_human,Inhibitory neuron,AC008798.3
Siletti2023_human,Inhibitory neuron,AC010478.1
Siletti2023_human,Inhibitory neuron,AC011586.1
Siletti2023_human,Inhibitory neuron,AC011586.2
Siletti2023_human,Inhibitory neuron,AC011990.1
Siletti2023_human,Inhibitory neuron,AC012078.2
Siletti2023_human,Inhibitory neuron,AC013265.1
Siletti2023_human,Inhibitory neuron,AC015631.1
Siletti2023_human,Inhibitory neuron,AC016044.1
Siletti2023_human,Inhibitory neuron,AC020930.1
Siletti2023_human,Inhibitory neuron,AC022126.1
Siletti2023_human,Inhibitory neuron,AC022133.2
Siletti2023_human,Inhibitory neuron,AC022433.1
Siletti2023_human,Inhibitory neuron,AC022905.1
Siletti2023_human,Inhibitory neuron,AC023905.1
Siletti2023_human,Inhibitory neuron,AC025244.1
Siletti2023_human,Inhibitory neuron,AC025946.1
Siletti2023_human,Inhibitory neuron,AC026765.3
Siletti2023_human,Inhibitory neuron,AC034226.1
Siletti2023_human,Inhibitory neuron,AC046195.1
Siletti2023_human,Inhibitory neuron,AC046195.2
Siletti2023_human,Inhibitory neuron,AC048352.1
Siletti2023_human,Inhibitory neuron,AC062021.1
Siletti2023_human,Inhibitory neuron,AC068633.1
Siletti2023_human,Inhibitory neuron,AC068875.1
Siletti2023_human,Inhibitory neuron,AC073316.1
Siletti2023_human,Inhibitory neuron,AC073325.1
Siletti2023_human,Inhibitory neuron,AC074099.1
Siletti2023_human,Inhibitory neuron,AC083837.1
Siletti2023_human,Inhibitory neuron,AC087516.2
Siletti2023_human,Inhibitory neuron,AC090124.1
Siletti2023_human,Inhibitory neuron,AC091576.1
Siletti2023_human,Inhibitory neuron,AC092353.2
Siletti2023_human,Inhibitory neuron,AC092448.1
Siletti2023_human,Inhibitory neuron,AC092590.1
Siletti2023_human,Inhibitory neuron,AC092604.1
Siletti2023_human,Inhibitory neuron,AC092819.3
Siletti2023_human,Inhibitory neuron,AC092957.1
Siletti2023_human,Inhibitory neuron,AC092958.2
Siletti2023_human,Inhibitory neuron,AC092979.1
Siletti2023_human,Inhibitory neuron,AC093298.2
Siletti2023_human,Inhibitory neuron,AC096751.2
Siletti2023_human,Inhibitory neuron,AC096759.1
Siletti2023_human,Inhibitory neuron,AC097459.1
Siletti2023_human,Inhibitory neuron,AC104129.1
Siletti2023_human,Inhibitory neuron,AC105411.1
Siletti2023_human,Inhibitory neuron,AC106865.1
Siletti2023_human,Inhibitory neuron,AC107208.1
Siletti2023_human,Inhibitory neuron,AC112178.1
Siletti2023_human,Inhibitory neuron,AC113347.4
Siletti2023_human,Inhibitory neuron,AC118942.1
Siletti2023_human,Inhibitory neuron,AC124864.2
Siletti2023_human,Inhibitory neuron,AC132803.1
Siletti2023_human,Inhibitory neuron,AC137770.1
Siletti2023_human,Inhibitory neuron,AC138646.1
Siletti2023_human,Inhibitory neuron,AC245123.1
Siletti2023_human,Inhibitory neuron,AC245187.2
Siletti2023_human,Inhibitory neuron,AC246817.2
Siletti2023_human,Inhibitory neuron,ACADL
Siletti2023_human,Inhibitory neuron,ADAM33
Siletti2023_human,Inhibitory neuron,ADAMTS12
Siletti2023_human,Inhibitory neuron,ADAMTS17
Siletti2023_human,Inhibitory neuron,ADAMTS20
Siletti2023_human,Inhibitory neuron,ADGRG6
Siletti2023_human,Inhibitory neuron,ADORA2A
Siletti2023_human,Inhibitory neuron,AJ006995.1
Siletti2023_human,Inhibitory neuron,AKR1C8P
Siletti2023_human,Inhibitory neuron,AL020994.2
Siletti2023_human,Inhibitory neuron,AL035425.2
Siletti2023_human,Inhibitory neuron,AL049830.3
Siletti2023_human,Inhibitory neuron,AL096799.1
Siletti2023_human,Inhibitory neuron,AL096865.1
Siletti2023_human,Inhibitory neuron,AL109659.1
Siletti2023_human,Inhibitory neuron,AL109761.1
Siletti2023_human,Inhibitory neuron,AL110292.1
Siletti2023_human,Inhibitory neuron,AL121974.1
Siletti2023_human,Inhibitory neuron,AL133493.1
Siletti2023_human,Inhibitory neuron,AL136114.1
Siletti2023_human,Inhibitory neuron,AL136456.1
Siletti2023_human,Inhibitory neuron,AL137100.3
Siletti2023_human,Inhibitory neuron,AL138899.1
Siletti2023_human,Inhibitory neuron,AL139090.1
Siletti2023_human,Inhibitory neuron,AL139379.1
Siletti2023_human,Inhibitory neuron,AL158013.1
Siletti2023_human,Inhibitory neuron,AL161629.1
Siletti2023_human,Inhibitory neuron,AL161757.4
Siletti2023_human,Inhibitory neuron,AL355672.1
Siletti2023_human,Inhibitory neuron,AL356108.1
Siletti2023_human,Inhibitory neuron,AL356585.4
Siletti2023_human,Inhibitory neuron,AL359220.1
Siletti2023_human,Inhibitory neuron,AL359649.1
Siletti2023_human,Inhibitory neuron,AL359915.1
Siletti2023_human,Inhibitory neuron,AL365255.1
Siletti2023_human,Inhibitory neuron,AL391832.4
Siletti2023_human,Inhibitory neuron,AL392086.1
Siletti2023_human,Inhibitory neuron,AL445584.2
Siletti2023_human,Inhibitory neuron,AL450332.1
Siletti2023_human,Inhibitory neuron,AL450338.2
Siletti2023_human,Inhibitory neuron,AL450345.2
Siletti2023_human,Inhibitory neuron,AL590608.1
Siletti2023_human,Inhibitory neuron,AL590867.1
Siletti2023_human,Inhibitory neuron,AL592156.1
Siletti2023_human,Inhibitory neuron,ALDH1A3
Siletti2023_human,Inhibitory neuron,ANGPT1
Siletti2023_human,Inhibitory neuron,ANKRD34B
Siletti2023_human,Inhibitory neuron,ANO1
Siletti2023_human,Inhibitory neuron,AOX1
Siletti2023_human,Inhibitory neuron,AP000146.1
Siletti2023_human,Inhibitory neuron,AP002989.1
Siletti2023_human,Inhibitory neuron,AP005242.1
Siletti2023_human,Inhibitory neuron,AREG
Siletti2023_human,Inhibitory neuron,ARHGAP36
Siletti2023_human,Inhibitory neuron,ARX
Siletti2023_human,Inhibitory neuron,ASAH2
Siletti2023_human,Inhibitory neuron,ATP2A3
Siletti2023_human,Inhibitory neuron,AVP
Siletti2023_human,Inhibitory neuron,BAGE2
Siletti2023_human,Inhibitory neuron,BHLHE22
Siletti2023_human,Inhibitory neuron,BLM
Siletti2023_human,Inhibitory neuron,BMP3
Siletti2023_human,Inhibitory neuron,C14ORF39
Siletti2023_human,Inhibitory neuron,C1QL1
Siletti2023_human,Inhibitory neuron,C6ORF141
Siletti2023_human,Inhibitory neuron,CA1
Siletti2023_human,Inhibitory neuron,CA12
Siletti2023_human,Inhibitory neuron,CA8
Siletti2023_human,Inhibitory neuron,CACNG5
Siletti2023_human,Inhibitory neuron,CALCR
Siletti2023_human,Inhibitory neuron,CALCRL
Siletti2023_human,Inhibitory neuron,CAPSL
Siletti2023_human,Inhibitory neuron,CASP4LP
Siletti2023_human,Inhibitory neuron,CASR
Siletti2023_human,Inhibitory neuron,CASZ1
Siletti2023_human,Inhibitory neuron,CDCA7
Siletti2023_human,Inhibitory neuron,CDKN2B-AS1
Siletti2023_human,Inhibitory neuron,CER1
Siletti2023_human,Inhibitory neuron,CHODL
Siletti2023_human,Inhibitory neuron,CHRDL1
Siletti2023_human,Inhibitory neuron,CHRNA2
Siletti2023_human,Inhibitory neuron,CHRNA3
Siletti2023_human,Inhibitory neuron,CHRNA6
Siletti2023_human,Inhibitory neuron,CHRNA7
Siletti2023_human,Inhibitory neuron,CHRNB3
Siletti2023_human,Inhibitory neuron,CHST9
Siletti2023_human,Inhibitory neuron,CITED1
Siletti2023_human,Inhibitory neuron,CLCNKA
Siletti2023_human,Inhibitory neuron,CMTM8
Siletti2023_human,Inhibitory neuron,CNR1
Siletti2023_human,Inhibitory neuron,COL15A1
Siletti2023_human,Inhibitory neuron,COL6A2
Siletti2023_human,Inhibitory neuron,COL8A1
Siletti2023_human,Inhibitory neuron,CORT
Siletti2023_human,Inhibitory neuron,CPED1
Siletti2023_human,Inhibitory neuron,CRABP1
Siletti2023_human,Inhibitory neuron,CRH
Siletti2023_human,Inhibitory neuron,CRHBP
Siletti2023_human,Inhibitory neuron,CXCL12
Siletti2023_human,Inhibitory neuron,CXCL14
Siletti2023_human,Inhibitory neuron,CYP19A1
Siletti2023_human,Inhibitory neuron,CYP26A1
Siletti2023_human,Inhibitory neuron,DBX2
Siletti2023_human,Inhibitory neuron,DCDC2C
Siletti2023_human,Inhibitory neuron,DCN
Siletti2023_human,Inhibitory neuron,DDIT4L
Siletti2023_human,Inhibitory neuron,DDR2
Siletti2023_human,Inhibitory neuron,DEPDC1
Siletti2023_human,Inhibitory neuron,DGKK
Siletti2023_human,Inhibitory neuron,DIAPH3
Siletti2023_human,Inhibitory neuron,DIRAS3
Siletti2023_human,Inhibitory neuron,DLK1
Siletti2023_human,Inhibitory neuron,DLX1
Siletti2023_human,Inhibitory neuron,DMBX1
Siletti2023_human,Inhibitory neuron,DNAH8
Siletti2023_human,Inhibitory neuron,DRAXIN
Siletti2023_human,Inhibitory neuron,DRD1
Siletti2023_human,Inhibitory neuron,DRD2
Siletti2023_human,Inhibitory neuron,DRD3
Siletti2023_human,Inhibitory neuron,EBF1
Siletti2023_human,Inhibitory neuron,EBF2
Siletti2023_human,Inhibitory neuron,EBF3
Siletti2023_human,Inhibitory neuron,ECEL1
Siletti2023_human,Inhibitory neuron,EDNRA
Siletti2023_human,Inhibitory neuron,EGFL6
Siletti2023_human,Inhibitory neuron,ELFN1
Siletti2023_human,Inhibitory neuron,EMX2
Siletti2023_human,Inhibitory neuron,EMX2OS
Siletti2023_human,Inhibitory neuron,EN2
Siletti2023_human,Inhibitory neuron,ENTHD1
Siletti2023_human,Inhibitory neuron,EREG
Siletti2023_human,Inhibitory neuron,ESR1
Siletti2023_human,Inhibitory neuron,EXOC1L
Siletti2023_human,Inhibitory neuron,EYA1
Siletti2023_human,Inhibitory neuron,EYA2
Siletti2023_human,Inhibitory neuron,EYA4
Siletti2023_human,Inhibitory neuron,FABP4
Siletti2023_human,Inhibitory neuron,FAM160A1
Siletti2023_human,Inhibitory neuron,FAM238B
Siletti2023_human,Inhibitory neuron,FAM89A
Siletti2023_human,Inhibitory neuron,FAM9B
Siletti2023_human,Inhibitory neuron,FBN2
Siletti2023_human,Inhibitory neuron,FBXL21P
Siletti2023_human,Inhibitory neuron,FGF10
Siletti2023_human,Inhibitory neuron,FGF10-AS1
Siletti2023_human,Inhibitory neuron,FLT1
Siletti2023_human,Inhibitory neuron,FOXA2
Siletti2023_human,Inhibitory neuron,FOXP2
Siletti2023_human,Inhibitory neuron,FREM2
Siletti2023_human,Inhibitory neuron,FREM2-AS1
Siletti2023_human,Inhibitory neuron,FRMD7
Siletti2023_human,Inhibitory neuron,FST
Siletti2023_human,Inhibitory neuron,GABRE
Siletti2023_human,Inhibitory neuron,GABRG1
Siletti2023_human,Inhibitory neuron,GABRQ
Siletti2023_human,Inhibitory neuron,GAL
