reference,family,marker_gene
Siletti2023_human,Excitatory neuron,AC087855.2
Siletti2023_human,Excitatory neuron,AC087863.2
Siletti2023_human,Excitatory neuron,AC087883.2
Siletti2023_human,Excitatory neuron,AC090816.1
Siletti2023_human,Excitatory neuron,AC090993.1
Siletti2023_human,Excitatory neuron,AC091096.1
Siletti2023_human,Excitatory neuron,AC091576.1
Siletti2023_human,Excitatory neuron,AC092110.1
Siletti2023_human,Excitatory neuron,AC092114.1
Siletti2023_human,Excitatory neuron,AC092131.1
Siletti2023_human,Excitatory neuron,AC092162.2
Siletti2023_human,Excitatory neuron,AC092353.2
Siletti2023_human,Excitatory neuron,AC092440.1
Siletti2023_human,Excitatory neuron,AC092445.1
Siletti2023_human,Excitatory neuron,AC092448.1
Siletti2023_human,Excitatory neuron,AC092546.1
Siletti2023_human,Excitatory neuron,AC092661.1
Siletti2023_human,Excitatory neuron,AC092675.1
Siletti2023_human,Excitatory neuron,AC092848.2
Siletti2023_human,Excitatory neuron,AC092957.1
Siletti2023_human,Excitatory neuron,AC093298.2
Siletti2023_human,Excitatory neuron,AC093334.1
Siletti2023_human,Excitatory neuron,AC093607.1
Siletti2023_human,Excitatory neuron,AC093765.2
Siletti2023_human,Excitatory neuron,AC093772.1
Siletti2023_human,Excitatory neuron,AC093912.1
Siletti2023_human,Excitatory neuron,AC096719.1
Siletti2023_human,Excitatory neuron,AC096759.1
Siletti2023_human,Excitatory neuron,AC096773.1
Siletti2023_human,Excitatory neuron,AC097487.1
Siletti2023_human,Excitatory neuron,AC097512.1
Siletti2023_human,Excitatory neuron,AC097528.1
Siletti2023_human,Excitatory neuron,AC099517.1
Siletti2023_human,Excitatory neuron,AC099565.1
Siletti2023_human,Excitatory neuron,AC104689.2
Siletti2023_human,Excitatory neuron,AC105021.1
Siletti2023_human,Excitatory neuron,AC105213.1
Siletti2023_human,Excitatory neuron,AC105450.1
Siletti2023_human,Excitatory neuron,AC108517.2
Siletti2023_human,Excitatory neuron,AC109439.1
Siletti2023_human,Excitatory neuron,AC110014.1
Siletti2023_human,Excitatory neuron,AC110614.1
Siletti2023_human,Excitatory neuron,AC112178.1
Siletti2023_human,Excitatory neuron,AC112236.1
Siletti2023_human,Excitatory neuron,AC112481.2
Siletti2023_human,Excitatory neuron,AC112721.2
Siletti2023_human,Excitatory neuron,AC112770.1
Siletti2023_human,Excitatory neuron,AC113137.1
Siletti2023_human,Excitatory neuron,AC115100.1
Siletti2023_human,Excitatory neuron,AC116345.1
Siletti2023_human,Excitatory neuron,AC117386.2
Siletti2023_human,Excitatory neuron,AC117453.1
Siletti2023_human,Excitatory neuron,AC124290.1
Siletti2023_human,Excitatory neuron,AC124290.2
Siletti2023_human,Excitatory neuron,AC126182.3
Siletti2023_human,Excitatory neuron,AC127526.1
Siletti2023_human,Excitatory neuron,AC127526.2
Siletti2023_human,Excitatory neuron,AC128707.1
Siletti2023_human,Excitatory neuron,AC129807.1
Siletti2023_human,Excitatory neuron,AC136431.1
Siletti2023_human,Excitatory neuron,AC244258.1
Siletti2023_human,Excitatory neuron,AC244502.1
Siletti2023_human,Excitatory neuron,AC246817.1
Siletti2023_human,Excitatory neuron,ACOXL
Siletti2023_human,Excitatory neuron,ADAM2
Siletti2023_human,Excitatory neuron,ADAMTS20
Siletti2023_human,Excitatory neuron,ADAMTS9-AS1
Siletti2023_human,Excitatory neuron,ADAMTSL1
Siletti2023_human,Excitatory neuron,ADCYAP1
Siletti2023_human,Excitatory neuron,ADGRD1
Siletti2023_human,Excitatory neuron,ADGRD2
Siletti2023_human,Excitatory neuron,ADGRF5
Siletti2023_human,Excitatory neuron,ADGRG4
Siletti2023_human,Excitatory neuron,ADGRG6
Siletti2023_human,Excitatory neuron,ADGRL4
Siletti2023_human,Excitatory neuron,ADTRP
Siletti2023_human,Excitatory neuron,AF130359.1
Siletti2023_human,Excitatory neuron,AGBL1
Siletti2023_human,Excitatory neuron,AGTR1
Siletti2023_human,Excitatory neuron,AIM2
Siletti2023_human,Excitatory neuron,AJ006995.1
Siletti2023_human,Excitatory neuron,AJ009632.2
Siletti2023_human,Excitatory neuron,AKAIN1
