reference,family,marker_gene
Chiou2023_rhesus,Inhibitory neuron,FAM155A
Chiou2023_rhesus,Inhibitory neuron,GABRG3
Chiou2023_rhesus,Inhibitory neuron,GALNTL6
Chiou2023_rhesus,Inhibitory neuron,GPC6
Chiou2023_rhesus,Inhibitory neuron,GPRIN3
Chiou2023_rhesus,Inhibitory neuron,GRIK1
Chiou2023_rhesus,Inhibitory neuron,GRIN2A
Chiou2023_rhesus,Inhibitory neuron,HOMER3
Chiou2023_rhesus,Inhibitory neuron,INPP4B
Chiou2023_rhesus,Inhibitory neuron,IRAK1BP1
Chiou2023_rhesus,Inhibitory neuron,KANSL1
Chiou2023_rhesus,Inhibitory neuron,KCNIP4
Chiou2023_rhesus,Inhibitory neuron,KCNQ5
Chiou2023_rhesus,Inhibitory neuron,KIAA1217
Chiou2023_rhesus,Inhibitory neuron,KIF26B
Chiou2023_rhesus,Inhibitory neuron,KIRREL3
Chiou2023_rhesus,Inhibitory neuron,KIT
Chiou2023_rhesus,Inhibitory neuron,LARS2
Chiou2023_rhesus,Inhibitory neuron,LHX6
Chiou2023_rhesus,Inhibitory neuron,LRP1B
Chiou2023_rhesus,Inhibitory neuron,MEGF10
Chiou2023_rhesus,Inhibitory neuron,NCAM2
Chiou2023_rhesus,Inhibitory neuron,NELL1
Chiou2023_rhesus,Inhibitory neuron,NKAIN2
Chiou2023_rhesus,Inhibitory neuron,NOS1
Chiou2023_rhesus,Inhibitory neuron,NPAS3
Chiou2023_rhesus,Inhibitory neuron,NRG3
Chiou2023_rhesus,Inhibitory neuron,NXPH1
Chiou2023_rhesus,Inhibitory neuron,PCP4
Chiou2023_rhesus,Inhibitory neuron,PDE1A
Chiou2023_rhesus,Inhibitory neuron,PIK3R5
Chiou2023_rhesus,Inhibitory neuron,PLEKHD1
Chiou2023_rhesus,Inhibitory neuron,PNPLA6
Chiou2023_rhesus,Inhibitory neuron,PPP1R1B
Chiou2023_rhesus,Inhibitory neuron,PPP3CA
Chiou2023_rhesus,Inhibitory neuron,PRKCH
Chiou2023_rhesus,Inhibitory neuron,PTPRT
Chiou2023_rhesus,Inhibitory neuron,RAB3C
Chiou2023_rhesus,Inhibitory neuron,RALYL
Chiou2023_rhesus,Inhibitory neuron,RBFOX1
Chiou2023_rhesus,Inhibitory neuron,RBMS3
Chiou2023_rhesus,Inhibitory neuron,RELN
Chiou2023_rhesus,Inhibitory neuron,RGS12
Chiou2023_rhesus,Inhibitory neuron,RNF220
Chiou2023_rhesus,Inhibitory neuron,RPTOR
Chiou2023_rhesus,Inhibitory neuron,SCAF4
Chiou2023_rhesus,Inhibitory neuron,SENP5
Chiou2023_rhesus,Inhibitory neuron,SGCZ
Chiou2023_rhesus,Inhibitory neuron,SHISA9
Chiou2023_rhesus,Inhibitory neuron,SLC24A3
Chiou2023_rhesus,Inhibitory neuron,SLC4A5
Chiou2023_rhesus,Inhibitory neuron,SMOC2
Chiou2023_rhesus,Inhibitory neuron,SNX32
Chiou2023_rhesus,Inhibitory neuron,SORBS1
Chiou2023_rhesus,Inhibitory neuron,SOX6
Chiou2023_rhesus,Inhibitory neuron,SYNPR
Chiou2023_rhesus,Inhibitory neuron,SYT12
Chiou2023_rhesus,Inhibitory neuron,TMEM132D
Chiou2023_rhesus,Inhibitory neuron,TYK2
Chiou2023_rhesus,Inhibitory neuron,VWC2
Chiou2023_rhesus,Inhibitory neuron,ZFAND3
Chiou2023_rhesus,Inhibitory neuron,ZNF33A
Chiou2023_rhesus,Inhibitory neuron,ZNF385C
Chiou2023_rhesus,Inhibitory neuron,ZNF385D
Chiou2023_rhesus,Inhibitory neuron,ZNF804A
Chiou2023_rhesus,Astrocyte,ADGRV1
Chiou2023_rhesus,Astrocyte,AKR1B1
Chiou2023_rhesus,Astrocyte,ALDH1A1
Chiou2023_rhesus,Astrocyte,CADM1
Chiou2023_rhesus,Astrocyte,CSMD1
Chiou2023_rhesus,Astrocyte,CTNNA2
Chiou2023_rhesus,Astrocyte,DCLK2
Chiou2023_rhesus,Astrocyte,DLG2
Chiou2023_rhesus,Astrocyte,DPP10
Chiou2023_rhesus,Astrocyte,ENSMMUG00000041273
Chiou2023_rhesus,Astrocyte,ENSMMUG00000052127
Chiou2023_rhesus,Astrocyte,ETNPPL
Chiou2023_rhesus,Astrocyte,GFAP
Chiou2023_rhesus,Astrocyte,GLI3
Chiou2023_rhesus,Astrocyte,GPC5
Chiou2023_rhesus,Astrocyte,GRAMD2B
Chiou2023_rhesus,Astrocyte,ITGB4
Chiou2023_rhesus,Astrocyte,ITPRID1
Chiou2023_rhesus,Astrocyte,KCNIP4
Chiou2023_rhesus,Astrocyte,LUZP2
Chiou2023_rhesus,Astrocyte,NRXN3
Chiou2023_rhesus,Astrocyte,OLFM2
Chiou2023_rhesus,Astrocyte,PAMR1
Chiou2023_rhesus,Astrocyte,PDZRN4
Chiou2023_rhesus,Astrocyte,RBFOX1
Chiou2023_rhesus,Astrocyte,RFX4
Chiou2023_rhesus,Astrocyte,SAMD4A
Chiou2023_rhesus,Astrocyte,SLC1A2
Chiou2023_rhesus,Astrocyte,TRPM3
Chiou2023_rhesus,Astrocyte,ZNRF3
Chiou2023_rhesus,Oligodendrocyte,ADGRL3
Chiou2023_rhesus,Oligodendrocyte,BPTF
Chiou2023_rhesus,Oligodendrocyte,C9H10ORF90
Chiou2023_rhesus,Oligodendrocyte,CADM2
Chiou2023_rhesus,Oligodendrocyte,CDK18
Chiou2023_rhesus,Oligodendrocyte,CNDP1
Chiou2023_rhesus,Oligodendrocyte,CPM
Chiou2023_rhesus,Oligodendrocyte,CSMD1
Chiou2023_rhesus,Oligodendrocyte,DIXDC1
Chiou2023_rhesus,Oligodendrocyte,ERBB4
