endpoint,top_k,n_profiles,observed_hits,observed_rate,uniform_random_rate,weighted_random_rate,uniform_formula,weighted_formula,rng_seed,n_weighted_random_draws,source_origin_path,source_origin_sha256,source_staged_sha256,source_staged_path,source_generator_input_path,source_generator_input_sha256
LOSO,3,814,590,0.7248157248157249,0.22552006216691037,0.06543415233415234,sample_specific_uniform_top3_over_n_candidate_groups,global_truth_prior_weighted_without_replacement; candidate_count_limits_k_only,20260629,10000,external_source::hybrid_formal_loso_resolution_group_detail.csv,B67A535426A82CBDC5EC2B96A91ACF2118A966E80CFEC8A5D8924ECCBA39D430,7589EEE8666518C3832898790A58A39AD9D917AC1123C9E97DFF5435AC542DC0,reproducibility/p2_publication_completeness/formal_loso_resolution_group_detail.csv,reproducibility/p2_publication_completeness/formal_loso_resolution_group_detail.csv,7589EEE8666518C3832898790A58A39AD9D917AC1123C9E97DFF5435AC542DC0
LOMO,3,812,569,0.7007389162561576,0.21344753510520834,0.04075270935960591,sample_specific_uniform_top3_over_n_candidate_groups,global_truth_prior_weighted_without_replacement; candidate_count_limits_k_only,20260629,10000,external_source::historical_formal_lomo_resolution_group_detail/formal_lomo_resolution_group_detail.csv,B9A17D20BA434F52BD812FAE361E1A3F51C55B705AEFA745B8853544276390F1,685DA8F954490C70AAAEDA477EFBC86C9C4C622A8916D9BDEBC484747E1D736F,reproducibility/p2_publication_completeness/formal_lomo_resolution_group_detail.csv,reproducibility/p2_publication_completeness/formal_lomo_resolution_group_detail.csv,685DA8F954490C70AAAEDA477EFBC86C9C4C622A8916D9BDEBC484747E1D736F
