metric,n,correct,accuracy,wilson_lo,wilson_hi,cp_lo,cp_hi,ac_lo,ac_hi
LOSO Network Top1,819,483,0.589744,0.555713,0.622936,0.555173,0.623666,0.555710,0.622939
LOSO Network Top3,819,753,0.919414,0.898754,0.936157,0.898614,0.937129,0.898653,0.936259
LOMO Network Top1,819,455,0.555556,0.521343,0.589250,0.520765,0.589945,0.521342,0.589251
LOMO Network Top3,819,750,0.915751,0.894732,0.932888,0.894586,0.933860,0.894634,0.932986
LOSO Exact Top1,814,182,0.223587,0.196300,0.253471,0.195394,0.253798,0.196271,0.253500
LOSO Exact Top3,814,368,0.452088,0.418202,0.486425,0.417511,0.487014,0.418201,0.486426
LOMO Exact Top1,812,177,0.217980,0.190946,0.247671,0.190032,0.247992,0.190915,0.247702
LOMO Exact Top3,812,346,0.426108,0.392521,0.460392,0.391801,0.460954,0.392519,0.460393
LOSO ResGroup Top1,814,368,0.452088,0.418202,0.486425,0.417511,0.487014,0.418201,0.486426
LOSO ResGroup Top3,814,590,0.724816,0.693133,0.754387,0.692744,0.755250,0.693115,0.754405
LOMO ResGroup Top1,812,344,0.423645,0.390095,0.457915,0.389373,0.458474,0.390093,0.457916
LOMO ResGroup Top3,812,569,0.700739,0.668356,0.731232,0.667938,0.732075,0.668342,0.731246
