"pseudobulk_id","PC1","PC2","network","donor_id","n_tissue_samples"
"xz__Parietal, and Parieto-occipital region",53.0205302892961,-1.82773606063877,"Parietal, and Parieto-occipital region","xz",14
"zs__Parietal, and Parieto-occipital region",-14.2370415479438,-23.8236725049669,"Parietal, and Parieto-occipital region","zs",2
"2__Subcortical",-19.0112146851506,56.6770588827319,"Subcortical","2",3
"34__Subcortical",-22.706941724902,50.4309720486438,"Subcortical","34",13
"67__Subcortical",-19.2331262646515,6.92762355979666,"Subcortical","67",1
"79__Subcortical",-20.3749988541113,31.2586418873132,"Subcortical","79",5
"92__Subcortical",-26.304045762706,43.8328632039467,"Subcortical","92",8
"xq__Subcortical",-25.3942920815524,41.624705822738,"Subcortical","xq",18
"zs__Subcortical",-25.5085586675899,15.196133872915,"Subcortical","zs",6
"2__Temporal",-15.087660320233,-8.9045213943434,"Temporal","2",1
"34__Temporal",-10.7750020453435,2.53996430881119,"Temporal","34",54
"79__Temporal",-14.2799678481078,-20.3085822003347,"Temporal","79",2
"92__Temporal",-13.8823750596435,-5.05956133734781,"Temporal","92",31
"qbt__Temporal",56.5413085880543,1.72847952405945,"Temporal","qbt",13
"xq__Temporal",-13.0391996694997,-0.045602779227731,"Temporal","xq",63
"xz__Temporal",55.0833451501104,3.9206786580592,"Temporal","xz",23
"zs__Temporal",-13.9537943745176,-17.0829011512566,"Temporal","zs",6
