"gene_id","highest_network","pseudobulk_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000042488","Temporal",0.14485435465973,"DIAPH1","protein_coding"
"ENSMFAG00000002489","Occipital/Temporal",0.0801136362201085,"HDAC3","protein_coding"
"ENSMFAG00000033304","Occipital/Temporal",0.541689579070024,"RELL2","protein_coding"
"ENSMFAG00000033954","Subcortical",0.429414032918986,"FCHSD1","protein_coding"
"ENSMFAG00000002504","Subcortical",0.277456533549126,"ARAP3","protein_coding"
"ENSMFAG00000035695","Hippocampal formation",0.729131855376139,"PCDH1","protein_coding"
"ENSMFAG00000040008","Hippocampal formation",0.236187025715651,"DELE1","protein_coding"
"ENSMFAG00000036923","Hippocampal formation",1.01401330730654,"PCDH12","protein_coding"
"ENSMFAG00000039262","Lateral Prefrontal Cortex",0.179004288993559,"RNF14","protein_coding"
"ENSMFAG00000032994","Lateral Prefrontal Cortex",0.11771992100814,"GNPDA1","protein_coding"
"ENSMFAG00000039431","Hippocampal formation",0.208246143830737,"NDFIP1","protein_coding"
"ENSMFAG00000033414","Lateral Prefrontal Cortex",0.303322365660609,"SPRY4","protein_coding"
"ENSMFAG00000031417","Frontal (agranular frontal motor areas)",0.464729243570638,"FGF1","protein_coding"
"ENSMFAG00000006652","Lateral Prefrontal Cortex",0.980514263736895,"RF00340","snoRNA"
"ENSMFAG00000002069","Orbitomedial Prefrontal Cortex (OMPFC)",0.170157483591428,"ARHGAP26","protein_coding"
"ENSMFAG00000001476","Frontal (agranular frontal motor areas)",0.238587202203,"ENSMFAG00000001476","protein_coding"
"ENSMFAG00000039004","Lateral Prefrontal Cortex",0.448190358160927,"NR3C1","protein_coding"
"ENSMFAG00000011862","Lateral Prefrontal Cortex",1.62096905391865,"RF00066","snRNA"
"ENSMFAG00000030237","Parietal, and Parieto-occipital region",1.92801325943851,"ENSMFAG00000030237","protein_coding"
"ENSMFAG00000010842","Temporal",0.594982215132295,"RF00017","misc_RNA"
"ENSMFAG00000001553","Lateral Prefrontal Cortex",0.180395159733159,"YIPF5","protein_coding"
"ENSMFAG00000031599","Operculum/Insula",0.254072302186541,"KCTD16","protein_coding"
"ENSMFAG00000021616","Lateral Prefrontal Cortex",0.324437761653096,"ENSMFAG00000021616","protein_coding"
"ENSMFAG00000036851","Lateral Prefrontal Cortex",0.552600423136976,"ENSMFAG00000036851","protein_coding"
"ENSMFAG00000046744","Operculum/Insula",0.816713303031413,"ENSMFAG00000046744","lincRNA"
"ENSMFAG00000032007","Cingulate gyrus",0.51184438297091,"PRELID2","protein_coding"
"ENSMFAG00000030536","Parietal, and Parieto-occipital region",0.865688539007366,"GRXCR2","protein_coding"
"ENSMFAG00000042350","Subcortical",1.20091208685797,"SH3RF2","protein_coding"
"ENSMFAG00000003534","Cingulate gyrus",0.707345214429083,"ENSMFAG00000003534","protein_coding"
"ENSMFAG00000041173","Parietal, and Parieto-occipital region",0.217052168700024,"PLAC8L1","protein_coding"
"ENSMFAG00000038685","Hippocampal formation",0.141956425608337,"LARS","protein_coding"
"ENSMFAG00000042337","Occipital/Temporal",0.181118035723475,"ENSMFAG00000042337","protein_coding"
"ENSMFAG00000044853","Occipital/Temporal",0.262929710608901,"TCERG1","protein_coding"
"ENSMFAG00000015402","Orbitomedial Prefrontal Cortex (OMPFC)",0.694726556169739,"RF02271","misc_RNA"
"ENSMFAG00000030501","Parietal, and Parieto-occipital region",0.530732564719866,"GPR151","protein_coding"
"ENSMFAG00000016123","Occipital/Temporal",0.192262053327564,"RF00001","rRNA"
"ENSMFAG00000002611","Lateral Prefrontal Cortex",0.184946959625224,"PPP2R2B","protein_coding"
"ENSMFAG00000021832","Occipital/Temporal",0.229543034239932,"RF00017","misc_RNA"
"ENSMFAG00000018663","Lateral Prefrontal Cortex",0.435403201879549,"RF00100","misc_RNA"
"ENSMFAG00000004717","Occipital/Temporal",0.799152545925416,"ENSMFAG00000004717","miRNA"
"ENSMFAG00000006335","Subcortical",0.839896730488334,"STK32A","protein_coding"
"ENSMFAG00000045205","Cingulate gyrus",0.655227070463473,"DPYSL3","protein_coding"
"ENSMFAG00000032838","Parietal, and Parieto-occipital region",0.444221627110561,"ENSMFAG00000032838","protein_coding"
"ENSMFAG00000041768","Occipital/Temporal",0.226720037798655,"JAKMIP2","protein_coding"
"ENSMFAG00000043130","Operculum/Insula",1.02722433059987,"SCGB3A2","protein_coding"
"ENSMFAG00000030759","Lateral Prefrontal Cortex",1.81861118213747,"SPINK5","protein_coding"
"ENSMFAG00000001756","Frontal (agranular frontal motor areas)",0.621908002548281,"SPINK13","protein_coding"
"ENSMFAG00000033939","Lateral Prefrontal Cortex",0.488745616125534,"SPINK7","protein_coding"
"ENSMFAG00000044805","Parietal, and Parieto-occipital region",0.481135596620982,"SPINK9","protein_coding"
"ENSMFAG00000045852","Lateral Prefrontal Cortex",0.0952798438724116,"FBXO38","protein_coding"
"ENSMFAG00000043212","Subcortical",0.889809419105225,"HTR4","protein_coding"
"ENSMFAG00000046528","Orbitomedial Prefrontal Cortex (OMPFC)",0.727743123312966,"ENSMFAG00000046528","lincRNA"
"ENSMFAG00000021322","Hippocampal formation",0.707009234758781,"ADRB2","protein_coding"
"ENSMFAG00000001106","Subcortical",1.34440534838922,"SH3TC2","protein_coding"
"ENSMFAG00000034996","Subcortical",0.879139085500815,"RF00026","snRNA"
"ENSMFAG00000010799","Subcortical",1.07546584068125,"MIR584","miRNA"
"ENSMFAG00000044334","Hippocampal formation",0.253866549788004,"ABLIM3","protein_coding"
"ENSMFAG00000041048","Operculum/Insula",0.197885976338123,"AFAP1L1","protein_coding"
"ENSMFAG00000044538","Lateral Prefrontal Cortex",0.378398495901457,"ENSMFAG00000044538","protein_coding"
"ENSMFAG00000039773","Cingulate gyrus",0.0740752501191988,"PCYOX1L","protein_coding"
"ENSMFAG00000030082","Lateral Prefrontal Cortex",0.583215747662355,"IL17B","protein_coding"
"ENSMFAG00000010917","Lateral Prefrontal Cortex",0.657277893332479,"MIR143","miRNA"
"ENSMFAG00000012734","Occipital/Temporal",0.644744437782311,"MIR145","miRNA"
"ENSMFAG00000030995","Lateral Prefrontal Cortex",0.188664670926441,"CSNK1A1","protein_coding"
"ENSMFAG00000040761","Subcortical",0.956764635576365,"ARHGEF37","protein_coding"
"ENSMFAG00000042269","Occipital/Temporal",0.252900545077301,"PPARGC1B","protein_coding"
"ENSMFAG00000017663","Subcortical",0.501331969094949,"MIR378A","miRNA"
"ENSMFAG00000039234","Hippocampal formation",1.08169337062492,"PDE6A","protein_coding"
"ENSMFAG00000042946","Orbitomedial Prefrontal Cortex (OMPFC)",0.491545096337774,"SLC26A2","protein_coding"
"ENSMFAG00000028440","Subcortical",0.422029419381837,"TIGD6","protein_coding"
"ENSMFAG00000041979","Hippocampal formation",0.203258534859097,"HMGXB3","protein_coding"
"ENSMFAG00000034429","Subcortical",1.08718884089758,"CSF1R","protein_coding"
"ENSMFAG00000034597","Subcortical",1.30105804737169,"ENSMFAG00000034597","protein_coding"
"ENSMFAG00000001633","Subcortical",0.438504514942677,"PDGFRB","protein_coding"
"ENSMFAG00000028943","Subcortical",0.806057960747661,"CDX1","protein_coding"
"ENSMFAG00000039840","Cingulate gyrus",0.482172491765228,"SLC6A7","protein_coding"
"ENSMFAG00000004062","Hippocampal formation",0.759348062923085,"CAMK2A","protein_coding"
"ENSMFAG00000034587","Lateral Prefrontal Cortex",0.3724924620615,"ARSI","protein_coding"
"ENSMFAG00000041830","Occipital/Temporal",0.16461934325992,"TCOF1","protein_coding"
"ENSMFAG00000042836","Subcortical",1.67754126788738,"CD74","protein_coding"
"ENSMFAG00000039531","Hippocampal formation",0.416668291811737,"RPS14","protein_coding"
"ENSMFAG00000031848","Subcortical",0.597990890129104,"NDST1","protein_coding"
"ENSMFAG00000033621","Hippocampal formation",0.383086726963867,"SYNPO","protein_coding"
"ENSMFAG00000035709","Frontal (agranular frontal motor areas)",0.333819477805194,"MYOZ3","protein_coding"
"ENSMFAG00000004034","Subcortical",0.149791367026873,"RBM22","protein_coding"
"ENSMFAG00000037111","Lateral Prefrontal Cortex",0.128754541355267,"DCTN4","protein_coding"
"ENSMFAG00000028378","Subcortical",1.05248960311786,"SMIM3","protein_coding"
"ENSMFAG00000041917","Subcortical",1.09323992622075,"ENSMFAG00000041917","protein_coding"
"ENSMFAG00000041051","Occipital/Temporal",0.396414523278352,"ZNF300","protein_coding"
"ENSMFAG00000030254","Subcortical",1.9772516155873,"GPX3","protein_coding"
"ENSMFAG00000030366","Occipital/Temporal",0.162591761995921,"TNIP1","protein_coding"
"ENSMFAG00000037015","Frontal (agranular frontal motor areas)",0.278655414555962,"ANXA6","protein_coding"
"ENSMFAG00000029997","Occipital/Temporal",1.15534574777779,"CCDC69","protein_coding"
"ENSMFAG00000032758","Subcortical",0.314767646745249,"GM2A","protein_coding"
"ENSMFAG00000010715","Lateral Prefrontal Cortex",0.351791079056985,"SLC36A1","protein_coding"
"ENSMFAG00000039681","Orbitomedial Prefrontal Cortex (OMPFC)",1.72368848432831,"FAT2","protein_coding"
"ENSMFAG00000038613","Subcortical",1.47256654010585,"SPARC","protein_coding"
"ENSMFAG00000008974","Parietal, and Parieto-occipital region",0.90229730940396,"RF00100","misc_RNA"
"ENSMFAG00000033150","Hippocampal formation",0.619780184008397,"ATOX1","protein_coding"
"ENSMFAG00000036965","Lateral Prefrontal Cortex",0.0668438353061891,"G3BP1","protein_coding"
"ENSMFAG00000033181","Frontal (agranular frontal motor areas)",1.04154972050203,"GLRA1","protein_coding"
"ENSMFAG00000041366","Frontal (agranular frontal motor areas)",0.834003638226382,"ENSMFAG00000041366","protein_coding"
"ENSMFAG00000030441","Hippocampal formation",0.806825195325144,"ENSMFAG00000030441","protein_coding"
"ENSMFAG00000043345","Hippocampal formation",2.02137820326386,"NMUR2","protein_coding"
"ENSMFAG00000043353","Hippocampal formation",1.52143009028614,"GRIA1","protein_coding"
"ENSMFAG00000017279","Hippocampal formation",0.713707193261333,"RF00017","misc_RNA"
"ENSMFAG00000043590","Lateral Prefrontal Cortex",0.0705462367588989,"FAM114A2","protein_coding"
"ENSMFAG00000002609","Occipital/Temporal",0.328507315558765,"MFAP3","protein_coding"
"ENSMFAG00000035971","Hippocampal formation",0.778436363800093,"GALNT10","protein_coding"
"ENSMFAG00000037460","Subcortical",1.08895711322929,"ENSMFAG00000037460","miRNA"
"ENSMFAG00000018445","Subcortical",0.757513360821906,"RF00017","misc_RNA"
"ENSMFAG00000000320","Frontal (agranular frontal motor areas)",0.249693967116364,"SAP30L","protein_coding"
"ENSMFAG00000029864","Cingulate gyrus",0.929175233990946,"ENSMFAG00000029864","protein_coding"
"ENSMFAG00000016734","Operculum/Insula",0.591203433326965,"RF00019","misc_RNA"
"ENSMFAG00000031651","Hippocampal formation",0.46323822593158,"LARP1","protein_coding"
"ENSMFAG00000019390","Subcortical",0.572204788661801,"RF00017","misc_RNA"
"ENSMFAG00000031322","Subcortical",0.468444442796754,"FAXDC2","protein_coding"
"ENSMFAG00000027665","Hippocampal formation",0.723354376910888,"ENSMFAG00000027665","protein_coding"
"ENSMFAG00000002829","Lateral Prefrontal Cortex",0.213663319364171,"CNOT8","protein_coding"
"ENSMFAG00000032027","Hippocampal formation",0.0590076386275182,"GEMIN5","protein_coding"
"ENSMFAG00000001423","Lateral Prefrontal Cortex",0.185603508141554,"MRPL22","protein_coding"
"ENSMFAG00000004610","Orbitomedial Prefrontal Cortex (OMPFC)",0.364550325232612,"KIF4B","protein_coding"
"ENSMFAG00000032111","Orbitomedial Prefrontal Cortex (OMPFC)",0.167648748764243,"SGCD","protein_coding"
"ENSMFAG00000044327","Orbitomedial Prefrontal Cortex (OMPFC)",0.54897149962384,"TIMD4","protein_coding"
"ENSMFAG00000039778","Subcortical",0.645858515372264,"HAVCR1","protein_coding"
"ENSMFAG00000036143","Subcortical",0.77724655305561,"HAVCR2","protein_coding"
"ENSMFAG00000029781","Parietal, and Parieto-occipital region",0.272220186749298,"MED7","protein_coding"
"ENSMFAG00000000719","Subcortical",1.22257697343997,"ITK","protein_coding"
"ENSMFAG00000036175","Hippocampal formation",0.454362248429504,"CYFIP2","protein_coding"
"ENSMFAG00000009168","Orbitomedial Prefrontal Cortex (OMPFC)",0.430892202859825,"ENSMFAG00000009168","protein_coding"
"ENSMFAG00000031350","Occipital/Temporal",0.414069562531927,"ENSMFAG00000031350","protein_coding"
"ENSMFAG00000029978","Subcortical",1.57476945062913,"NIPAL4","protein_coding"
"ENSMFAG00000034190","Operculum/Insula",0.44281652088355,"ADAM19","protein_coding"
"ENSMFAG00000029536","Hippocampal formation",0.516817168120816,"SOX30","protein_coding"
"ENSMFAG00000032169","Hippocampal formation",1.63473822193485,"C5orf52","protein_coding"
"ENSMFAG00000041928","Occipital/Temporal",0.164040259765748,"THG1L","protein_coding"
"ENSMFAG00000034084","Cingulate gyrus",0.323710162140117,"LSM11","protein_coding"
"ENSMFAG00000040362","Subcortical",0.488196521020409,"ENSMFAG00000040362","protein_coding"
"ENSMFAG00000039041","Lateral Prefrontal Cortex",0.173468376466442,"CLINT1","protein_coding"
"ENSMFAG00000001677","Occipital/Temporal",0.414053374664439,"ENSMFAG00000001677","protein_coding"
"ENSMFAG00000034539","Subcortical",0.960471394822482,"EBF1","protein_coding"
"ENSMFAG00000002232","Lateral Prefrontal Cortex",0.0592028765462089,"RNF145","protein_coding"
"ENSMFAG00000045929","Lateral Prefrontal Cortex",0.325092132727169,"UBLCP1","protein_coding"
"ENSMFAG00000036061","Subcortical",1.50415740804904,"IL12B","protein_coding"
"ENSMFAG00000013678","Hippocampal formation",0.665450806389378,"RF00618","snRNA"
"ENSMFAG00000046777","Frontal (agranular frontal motor areas)",1.36700293173442,"ENSMFAG00000046777","lincRNA"
"ENSMFAG00000046532","Orbitomedial Prefrontal Cortex (OMPFC)",1.14970730000322,"ENSMFAG00000046532","lincRNA"
"ENSMFAG00000045077","Operculum/Insula",0.613580667001365,"ADRA1B","protein_coding"
"ENSMFAG00000040270","Frontal (agranular frontal motor areas)",0.223778371642556,"TTC1","protein_coding"
"ENSMFAG00000027720","Temporal",0.131446000128648,"PWWP2A","protein_coding"
"ENSMFAG00000014484","Occipital/Temporal",0.572106562766381,"RF00026","snRNA"
"ENSMFAG00000002131","Hippocampal formation",0.450645552937154,"CCNJL","protein_coding"
"ENSMFAG00000000552","Occipital/Temporal",0.668724531870271,"C1QTNF2","protein_coding"
"ENSMFAG00000017692","Lateral Prefrontal Cortex",0.305711176541175,"ZBED8","protein_coding"
"ENSMFAG00000002001","Parietal, and Parieto-occipital region",0.339207969780984,"SLU7","protein_coding"
"ENSMFAG00000036180","Frontal (agranular frontal motor areas)",0.209957922002841,"PTTG1","protein_coding"
"ENSMFAG00000011367","Orbitomedial Prefrontal Cortex (OMPFC)",0.697594622283257,"ENSMFAG00000011367","miRNA"
"ENSMFAG00000045373","Subcortical",0.601881422463299,"ATP10B","protein_coding"
"ENSMFAG00000033322","Subcortical",0.518992144825392,"ENSMFAG00000033322","pseudogene"
"ENSMFAG00000033709","Occipital/Temporal",0.442825011625329,"GABRB2","protein_coding"
"ENSMFAG00000029018","Lateral Prefrontal Cortex",0.571702847022891,"ENSMFAG00000029018","protein_coding"
"ENSMFAG00000038886","Occipital/Temporal",1.35457327343225,"GABRA6","protein_coding"
"ENSMFAG00000045791","Lateral Prefrontal Cortex",0.554545670174834,"GABRA1","protein_coding"
"ENSMFAG00000036513","Lateral Prefrontal Cortex",0.361886838342546,"GABRG2","protein_coding"
"ENSMFAG00000011474","Occipital/Temporal",0.804318303579179,"ENSMFAG00000011474","protein_coding"
"ENSMFAG00000046634","Lateral Prefrontal Cortex",0.605164623251699,"ENSMFAG00000046634","lincRNA"
"ENSMFAG00000035711","Lateral Prefrontal Cortex",0.231227407161649,"CCNG1","protein_coding"
"ENSMFAG00000035596","Lateral Prefrontal Cortex",0.254909116785326,"NUDCD2","protein_coding"
"ENSMFAG00000035690","Frontal (agranular frontal motor areas)",0.353952853958435,"HMMR","protein_coding"
"ENSMFAG00000035818","Occipital/Temporal",0.346143683528542,"ENSMFAG00000035818","protein_coding"
"ENSMFAG00000008719","Occipital/Temporal",0.792905673063204,"RF00100","misc_RNA"
"ENSMFAG00000028258","Occipital/Temporal",0.700520213424761,"ENSMFAG00000028258","protein_coding"
"ENSMFAG00000002835","Hippocampal formation",0.536549941528721,"TENM2","protein_coding"
"ENSMFAG00000039601","Hippocampal formation",0.543339977614272,"WWC1","protein_coding"
"ENSMFAG00000030272","Lateral Prefrontal Cortex",0.238648914448268,"RARS","protein_coding"
"ENSMFAG00000036422","Hippocampal formation",0.322123851414283,"FBLL1","protein_coding"
"ENSMFAG00000031110","Lateral Prefrontal Cortex",0.139992562783462,"PANK3","protein_coding"
"ENSMFAG00000008252","Lateral Prefrontal Cortex",0.649579526103698,"MIR103A1","miRNA"
"ENSMFAG00000012114","Lateral Prefrontal Cortex",0.366577487752134,"ENSMFAG00000012114","protein_coding"
"ENSMFAG00000000721","Hippocampal formation",0.966114758776591,"SLIT3","protein_coding"
"ENSMFAG00000009035","Subcortical",0.289587547939986,"MIR218-2","miRNA"
"ENSMFAG00000026820","Occipital/Temporal",0.274938035127919,"SPDL1","protein_coding"
"ENSMFAG00000000447","Subcortical",0.930738421226113,"DOCK2","protein_coding"
"ENSMFAG00000043426","Occipital/Temporal",0.601876423592898,"INSYN2B","protein_coding"
"ENSMFAG00000041815","Occipital/Temporal",1.05512585899438,"ENSMFAG00000041815","protein_coding"
"ENSMFAG00000014750","Subcortical",1.09357645227323,"ENSMFAG00000014750","miRNA"
"ENSMFAG00000043189","Subcortical",1.19068754947505,"C5orf58","protein_coding"
"ENSMFAG00000040627","Subcortical",0.844221731536551,"LCP2","protein_coding"
"ENSMFAG00000036449","Lateral Prefrontal Cortex",0.389652224727977,"KCNIP1","protein_coding"
"ENSMFAG00000002422","Subcortical",1.42872244198621,"KCNMB1","protein_coding"
"ENSMFAG00000034347","Parietal, and Parieto-occipital region",0.573245604694728,"RANBP17","protein_coding"
"ENSMFAG00000016157","Occipital/Temporal",0.911119097046409,"RF00017","misc_RNA"
"ENSMFAG00000041267","Parietal, and Parieto-occipital region",0.405006858309741,"ENSMFAG00000041267","protein_coding"
"ENSMFAG00000043579","Lateral Prefrontal Cortex",0.117343792449644,"ENSMFAG00000043579","protein_coding"
"ENSMFAG00000038560","Cingulate gyrus",0.595562967959743,"FGF18","protein_coding"
"ENSMFAG00000047100","Orbitomedial Prefrontal Cortex (OMPFC)",0.868794699266031,"ENSMFAG00000047100","lincRNA"
"ENSMFAG00000039918","Lateral Prefrontal Cortex",0.109997688648306,"FBXW11","protein_coding"
"ENSMFAG00000033923","Subcortical",0.507856499534624,"STK10","protein_coding"
"ENSMFAG00000043157","Operculum/Insula",0.976816272396341,"EFCAB9","protein_coding"
"ENSMFAG00000003656","Lateral Prefrontal Cortex",0.265723558992097,"UBTD2","protein_coding"
"ENSMFAG00000004724","Subcortical",0.611388265029907,"RF00191","snoRNA"
"ENSMFAG00000002450","Subcortical",0.664700551098679,"ENSMFAG00000002450","protein_coding"
"ENSMFAG00000040954","Subcortical",0.512312049602683,"SH3PXD2B","protein_coding"
"ENSMFAG00000046971","Cingulate gyrus",0.822247470977442,"ENSMFAG00000046971","lincRNA"
"ENSMFAG00000045555","Hippocampal formation",2.25887009362806,"NEURL1B","protein_coding"
"ENSMFAG00000044045","Occipital/Temporal",0.382597999710553,"DUSP1","protein_coding"
"ENSMFAG00000037788","Hippocampal formation",0.338075830193155,"ERGIC1","protein_coding"
"ENSMFAG00000042483","Hippocampal formation",0.292238335431815,"RPL26L1","protein_coding"
"ENSMFAG00000045429","Subcortical",0.545670466643292,"ATP6V0E1","protein_coding"
"ENSMFAG00000029312","Subcortical",0.382771089586901,"RF00090","snoRNA"
"ENSMFAG00000036600","Occipital/Temporal",0.369558608392483,"CREBRF","protein_coding"
"ENSMFAG00000037018","Lateral Prefrontal Cortex",0.0998237665779005,"BNIP1","protein_coding"
"ENSMFAG00000042809","Occipital/Temporal",1.44459914978011,"STC2","protein_coding"
"ENSMFAG00000003066","Lateral Prefrontal Cortex",0.136743806458677,"BOD1","protein_coding"
"ENSMFAG00000003075","Parietal, and Parieto-occipital region",0.0847699862391007,"CPEB4","protein_coding"
"ENSMFAG00000033258","Subcortical",0.565396759941519,"NSG2","protein_coding"
"ENSMFAG00000010780","Subcortical",1.390859834007,"ENSMFAG00000010780","protein_coding"
"ENSMFAG00000045127","Subcortical",1.11501641150326,"ENSMFAG00000045127","protein_coding"
"ENSMFAG00000037372","Orbitomedial Prefrontal Cortex (OMPFC)",0.55862749866681,"MSX2","protein_coding"
"ENSMFAG00000010945","Subcortical",1.05927242589118,"ENSMFAG00000010945","protein_coding"
"ENSMFAG00000015744","Subcortical",1.48748712690143,"DRD1","protein_coding"
"ENSMFAG00000040820","Lateral Prefrontal Cortex",0.11502572769334,"SFXN1","protein_coding"
"ENSMFAG00000032099","Occipital/Temporal",0.565351340287947,"HRH2","protein_coding"
"ENSMFAG00000010534","Occipital/Temporal",1.31400842162149,"RF00026","snRNA"
"ENSMFAG00000037899","Hippocampal formation",0.736126554089186,"CPLX2","protein_coding"
"ENSMFAG00000034476","Temporal",0.247957926541732,"THOC3","protein_coding"
"ENSMFAG00000034229","Subcortical",1.50650152326965,"ENSMFAG00000034229","pseudogene"
"ENSMFAG00000043578","Hippocampal formation",0.203571790195957,"SIMC1","protein_coding"
"ENSMFAG00000045804","Cingulate gyrus",0.179802811646853,"KIAA1191","protein_coding"
"ENSMFAG00000033979","Operculum/Insula",0.500826923652332,"ARL10","protein_coding"
"ENSMFAG00000034769","Operculum/Insula",0.330496486806261,"ENSMFAG00000034769","miRNA"
"ENSMFAG00000042965","Lateral Prefrontal Cortex",0.124650109134734,"NOP16","protein_coding"
"ENSMFAG00000034686","Hippocampal formation",0.412591019313332,"HIGD2A","protein_coding"
"ENSMFAG00000001544","Temporal",0.217877932387484,"CLTB","protein_coding"
"ENSMFAG00000046297","Lateral Prefrontal Cortex",0.0557124289362214,"FAF2","protein_coding"
"ENSMFAG00000003408","Hippocampal formation",0.438445980820331,"RNF44","protein_coding"
"ENSMFAG00000044762","Operculum/Insula",0.423900081540738,"CDHR2","protein_coding"
"ENSMFAG00000033893","Temporal",0.174924071672995,"SNCB","protein_coding"
"ENSMFAG00000031726","Temporal",1.04318864199603,"EIF4E1B","protein_coding"
"ENSMFAG00000040265","Operculum/Insula",0.358818993429527,"TSPAN17","protein_coding"
"ENSMFAG00000043584","Hippocampal formation",0.805200943150474,"UNC5A","protein_coding"
"ENSMFAG00000000149","Occipital/Temporal",0.60321240126946,"HK3","protein_coding"
"ENSMFAG00000038747","Occipital/Temporal",0.284629307705801,"UIMC1","protein_coding"
"ENSMFAG00000003577","Occipital/Temporal",0.1702639043178,"ZNF346","protein_coding"
"ENSMFAG00000008019","Occipital/Temporal",0.349038468855636,"RF00017","misc_RNA"
"ENSMFAG00000032678","Subcortical",0.486418290298204,"FGFR4","protein_coding"
"ENSMFAG00000032625","Occipital/Temporal",0.111703404566807,"NSD1","protein_coding"
"ENSMFAG00000044489","Lateral Prefrontal Cortex",0.610827817661368,"ENSMFAG00000044489","protein_coding"
"ENSMFAG00000045651","Temporal",0.116286118839044,"RAB24","protein_coding"
"ENSMFAG00000003703","Lateral Prefrontal Cortex",0.232925089173637,"PRELID1","protein_coding"
"ENSMFAG00000033170","Subcortical",0.453054649032122,"MXD3","protein_coding"
"ENSMFAG00000044466","Hippocampal formation",0.518692350068804,"LMAN2","protein_coding"
"ENSMFAG00000034588","Subcortical",0.324868126060823,"ENSMFAG00000034588","protein_coding"
"ENSMFAG00000038737","Subcortical",2.92734253474273,"RGS14","protein_coding"
"ENSMFAG00000016301","Subcortical",1.34087876590319,"PFN3","protein_coding"
"ENSMFAG00000032594","Operculum/Insula",0.336847795638322,"F12","protein_coding"
"ENSMFAG00000037374","Hippocampal formation",0.630238604530149,"GRK6","protein_coding"
"ENSMFAG00000004546","Hippocampal formation",1.74832489739767,"PRR7","protein_coding"
"ENSMFAG00000036940","Hippocampal formation",1.04146598640898,"DBN1","protein_coding"
"ENSMFAG00000039384","Subcortical",0.94203772408412,"PDLIM7","protein_coding"
"ENSMFAG00000041793","Occipital/Temporal",0.350650330158487,"DOK3","protein_coding"
"ENSMFAG00000031761","Hippocampal formation",0.547404386551412,"DDX41","protein_coding"
"ENSMFAG00000044492","Hippocampal formation",0.110000697658533,"FAM193B","protein_coding"
"ENSMFAG00000045397","Hippocampal formation",0.391389900656387,"TMED9","protein_coding"
"ENSMFAG00000040618","Hippocampal formation",0.165908602964731,"B4GALT7","protein_coding"
"ENSMFAG00000047044","Subcortical",1.80873001854604,"ENSMFAG00000047044","lincRNA"
"ENSMFAG00000002064","Hippocampal formation",1.09078869233234,"ENSMFAG00000002064","protein_coding"
"ENSMFAG00000047147","Cingulate gyrus",0.342111971559516,"ENSMFAG00000047147","lincRNA"
"ENSMFAG00000041980","Occipital/Temporal",0.470003350543634,"PROP1","protein_coding"
"ENSMFAG00000047089","Subcortical",1.42346448202546,"ENSMFAG00000047089","lincRNA"
"ENSMFAG00000030874","Operculum/Insula",0.429079616691671,"ENSMFAG00000030874","protein_coding"
"ENSMFAG00000033738","Operculum/Insula",0.280296714151875,"N4BP3","protein_coding"
"ENSMFAG00000044663","Hippocampal formation",0.130759002431864,"RMND5B","protein_coding"
"ENSMFAG00000032376","Hippocampal formation",0.42417080795893,"NHP2","protein_coding"
"ENSMFAG00000018031","Subcortical",0.408241360791287,"ENSMFAG00000018031","protein_coding"
"ENSMFAG00000018167","Lateral Prefrontal Cortex",0.505898818678359,"GMCL2","protein_coding"
"ENSMFAG00000035188","Temporal",0.166759706694902,"HNRNPAB","protein_coding"
"ENSMFAG00000004010","Subcortical",0.295009410896736,"PHYKPL","protein_coding"
"ENSMFAG00000040567","Frontal (agranular frontal motor areas)",0.602359137788273,"COL23A1","protein_coding"
"ENSMFAG00000046855","Lateral Prefrontal Cortex",0.44862479309651,"ENSMFAG00000046855","lincRNA"
"ENSMFAG00000040140","Lateral Prefrontal Cortex",0.358212554426178,"CLK4","protein_coding"
"ENSMFAG00000046756","Orbitomedial Prefrontal Cortex (OMPFC)",0.535197285881579,"ENSMFAG00000046756","lincRNA"
"ENSMFAG00000029623","Operculum/Insula",0.187495565129929,"ZNF354B","protein_coding"
"ENSMFAG00000013905","Lateral Prefrontal Cortex",0.48497429181039,"RF00003","snRNA"
"ENSMFAG00000014265","Occipital/Temporal",0.31133119383371,"ENSMFAG00000014265","protein_coding"
"ENSMFAG00000040020","Occipital/Temporal",0.270444620452409,"ENSMFAG00000040020","protein_coding"
"ENSMFAG00000014508","Orbitomedial Prefrontal Cortex (OMPFC)",0.194822206725926,"ZFP2","protein_coding"
"ENSMFAG00000043337","Cingulate gyrus",0.0742910868218747,"ZNF454","protein_coding"
"ENSMFAG00000002639","Hippocampal formation",0.945379616845237,"GRM6","protein_coding"
"ENSMFAG00000039136","Parietal, and Parieto-occipital region",0.164391052861799,"ZNF879","protein_coding"
"ENSMFAG00000002799","Cingulate gyrus",0.457631104218425,"ADAMTS2","protein_coding"
"ENSMFAG00000046499","Operculum/Insula",0.436746208213699,"ENSMFAG00000046499","lincRNA"
"ENSMFAG00000033376","Subcortical",0.149035553209711,"RUFY1","protein_coding"
"ENSMFAG00000028267","Occipital/Temporal",0.342238226543607,"HNRNPH1","protein_coding"
"ENSMFAG00000033075","Hippocampal formation",0.776081329270809,"ENSMFAG00000033075","protein_coding"
"ENSMFAG00000042944","Operculum/Insula",0.43706366226702,"CBY3","protein_coding"
