"gene_id","highest_network","pseudobulk_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000032673","Frontal (agranular frontal motor areas)",1.64355221217196,"WDR64","protein_coding"
"ENSMFAG00000042077","Lateral Prefrontal Cortex",0.777796978296772,"OPN3","protein_coding"
"ENSMFAG00000044420","Orbitomedial Prefrontal Cortex (OMPFC)",0.706779507208928,"KMO","protein_coding"
"ENSMFAG00000045537","Lateral Prefrontal Cortex",0.144055341693365,"FH","protein_coding"
"ENSMFAG00000031055","Lateral Prefrontal Cortex",0.332344636169891,"RGS7","protein_coding"
"ENSMFAG00000034794","Occipital/Temporal",0.501629012212457,"ENSMFAG00000034794","miRNA"
"ENSMFAG00000038113","Occipital/Temporal",0.471014564319435,"ENSMFAG00000038113","protein_coding"
"ENSMFAG00000030833","Temporal",0.249834762959043,"GREM2","protein_coding"
"ENSMFAG00000000367","Temporal",0.170842431191392,"FMN2","protein_coding"
"ENSMFAG00000034072","Occipital/Temporal",0.33390581423065,"ENSMFAG00000034072","protein_coding"
"ENSMFAG00000034701","Lateral Prefrontal Cortex",0.396309980764805,"ENSMFAG00000034701","pseudogene"
"ENSMFAG00000027071","Lateral Prefrontal Cortex",0.437822037348341,"ENSMFAG00000027071","protein_coding"
"ENSMFAG00000046649","Cingulate gyrus",0.815906971190786,"ENSMFAG00000046649","lincRNA"
"ENSMFAG00000038726","Hippocampal formation",0.842045695593878,"ENSMFAG00000038726","protein_coding"
"ENSMFAG00000000954","Parietal, and Parieto-occipital region",1.08873003648174,"ZP4","protein_coding"
"ENSMFAG00000039417","Hippocampal formation",0.154326066978562,"RYR2","protein_coding"
"ENSMFAG00000012490","Occipital/Temporal",0.29086387188736,"RF00100","misc_RNA"
"ENSMFAG00000031925","Subcortical",0.180643069811394,"MTR","protein_coding"
"ENSMFAG00000041700","Subcortical",0.97763926584393,"ACTN2","protein_coding"
"ENSMFAG00000044747","Subcortical",0.60252496852042,"ENSMFAG00000044747","protein_coding"
"ENSMFAG00000044672","Occipital/Temporal",0.10065966671271,"HEATR1","protein_coding"
"ENSMFAG00000032856","Occipital/Temporal",0.304719970416224,"LGALS8","protein_coding"
"ENSMFAG00000038481","Hippocampal formation",0.874176351703449,"EDARADD","protein_coding"
"ENSMFAG00000045389","Lateral Prefrontal Cortex",0.152537092427083,"ERO1B","protein_coding"
"ENSMFAG00000010032","Subcortical",0.881674148608273,"RF00004","snRNA"
"ENSMFAG00000034812","Hippocampal formation",0.288747762422304,"GPR137B","protein_coding"
"ENSMFAG00000041445","Subcortical",1.07875283349812,"ENSMFAG00000041445","protein_coding"
"ENSMFAG00000026117","Hippocampal formation",0.295713368483225,"NID1","protein_coding"
"ENSMFAG00000019877","Occipital/Temporal",0.994280689705798,"RF00020","snRNA"
"ENSMFAG00000044431","Occipital/Temporal",0.378744034121079,"LYST","protein_coding"
"ENSMFAG00000039800","Lateral Prefrontal Cortex",0.574786575717906,"ENSMFAG00000039800","protein_coding"
"ENSMFAG00000040832","Cingulate gyrus",0.406917767119742,"GNG4","protein_coding"
"ENSMFAG00000001068","Occipital/Temporal",0.285485522993239,"B3GALNT2","protein_coding"
"ENSMFAG00000003983","Occipital/Temporal",0.237274471043161,"ENSMFAG00000003983","protein_coding"
"ENSMFAG00000033173","Parietal, and Parieto-occipital region",0.210575549451574,"GGPS1","protein_coding"
"ENSMFAG00000044016","Occipital/Temporal",0.272480239674854,"ARID4B","protein_coding"
"ENSMFAG00000038522","Parietal, and Parieto-occipital region",0.134338251595032,"RBM34","protein_coding"
"ENSMFAG00000003478","Orbitomedial Prefrontal Cortex (OMPFC)",0.136481439767964,"ENSMFAG00000003478","protein_coding"
"ENSMFAG00000023775","Operculum/Insula",0.455311430218877,"RF00397","snoRNA"
"ENSMFAG00000047086","Temporal",0.461475029560164,"ENSMFAG00000047086","lincRNA"
"ENSMFAG00000041239","Hippocampal formation",0.520871736636,"IRF2BP2","protein_coding"
"ENSMFAG00000041068","Temporal",0.224444832327571,"TARBP1","protein_coding"
"ENSMFAG00000034136","Parietal, and Parieto-occipital region",0.217803460185996,"COA6","protein_coding"
"ENSMFAG00000045604","Temporal",0.244827988538338,"SLC35F3","protein_coding"
"ENSMFAG00000014478","Subcortical",0.472717072200461,"ENSMFAG00000014478","miRNA"
"ENSMFAG00000041435","Lateral Prefrontal Cortex",0.246486625540742,"KCNK1","protein_coding"
"ENSMFAG00000014791","Occipital/Temporal",0.210579460361362,"MAP3K21","protein_coding"
"ENSMFAG00000034561","Occipital/Temporal",0.20810222970924,"PCNX2","protein_coding"
"ENSMFAG00000037305","Lateral Prefrontal Cortex",0.133864853459459,"NTPCR","protein_coding"
"ENSMFAG00000035487","Hippocampal formation",0.285108705944682,"MAP10","protein_coding"
"ENSMFAG00000039676","Frontal (agranular frontal motor areas)",0.209204129217321,"SIPA1L2","protein_coding"
"ENSMFAG00000042435","Subcortical",0.480410345038699,"DISC1","protein_coding"
"ENSMFAG00000020831","Lateral Prefrontal Cortex",0.820337493765052,"RF02102","misc_RNA"
"ENSMFAG00000038495","Lateral Prefrontal Cortex",0.201241265385987,"TSNAX","protein_coding"
"ENSMFAG00000039962","Temporal",0.18245046755672,"EGLN1","protein_coding"
"ENSMFAG00000002589","Occipital/Temporal",0.163706265645143,"SPRTN","protein_coding"
"ENSMFAG00000039846","Temporal",0.115930459688308,"EXOC8","protein_coding"
"ENSMFAG00000033412","Frontal (agranular frontal motor areas)",0.0828843340529133,"GNPAT","protein_coding"
"ENSMFAG00000004049","Occipital/Temporal",0.321451595355271,"C1orf131","protein_coding"
"ENSMFAG00000035817","Cingulate gyrus",0.157823831815971,"TRIM67","protein_coding"
"ENSMFAG00000039366","Subcortical",0.552972501317313,"FAM89A","protein_coding"
"ENSMFAG00000030703","Hippocampal formation",0.345830109772217,"ARV1","protein_coding"
"ENSMFAG00000038133","Orbitomedial Prefrontal Cortex (OMPFC)",0.114116896972661,"TTC13","protein_coding"
"ENSMFAG00000039985","Subcortical",0.827673417250377,"C1orf198","protein_coding"
"ENSMFAG00000042957","Subcortical",1.30107133260383,"CAPN9","protein_coding"
"ENSMFAG00000008235","Hippocampal formation",1.08752941654271,"AGT","protein_coding"
"ENSMFAG00000036591","Occipital/Temporal",0.306243322593788,"COG2","protein_coding"
"ENSMFAG00000001236","Hippocampal formation",1.02850198395607,"PGBD5","protein_coding"
"ENSMFAG00000043385","Hippocampal formation",0.23963446131353,"GALNT2","protein_coding"
"ENSMFAG00000046669","Subcortical",0.9726280311586,"ENSMFAG00000046669","lincRNA"
"ENSMFAG00000039905","Hippocampal formation",0.262318489626576,"URB2","protein_coding"
"ENSMFAG00000037566","Hippocampal formation",0.163330511975875,"TAF5L","protein_coding"
"ENSMFAG00000002787","Temporal",0.144955662223387,"ABCB10","protein_coding"
"ENSMFAG00000024161","Operculum/Insula",0.518377754165023,"RF00015","snRNA"
"ENSMFAG00000044341","Lateral Prefrontal Cortex",0.141940056954821,"NUP133","protein_coding"
"ENSMFAG00000002280","Lateral Prefrontal Cortex",0.499615340825393,"ACTA1","protein_coding"
"ENSMFAG00000033596","Temporal",0.321878334508407,"CCSAP","protein_coding"
"ENSMFAG00000038822","Lateral Prefrontal Cortex",0.239627207432394,"RAB4A","protein_coding"
"ENSMFAG00000030341","Lateral Prefrontal Cortex",0.436471964790083,"ENSMFAG00000030341","processed_pseudogene"
"ENSMFAG00000025363","Subcortical",0.363375133357004,"ENSMFAG00000025363","protein_coding"
"ENSMFAG00000044318","Subcortical",0.715603926608642,"RHOU","protein_coding"
"ENSMFAG00000002602","Hippocampal formation",1.37257834641551,"CCDC190","protein_coding"
"ENSMFAG00000001269","Lateral Prefrontal Cortex",0.994098477400012,"RGS4","protein_coding"
"ENSMFAG00000042336","Frontal (agranular frontal motor areas)",0.530168616476701,"RGS5","protein_coding"
"ENSMFAG00000012290","Orbitomedial Prefrontal Cortex (OMPFC)",0.493417994412437,"NUF2","protein_coding"
"ENSMFAG00000005097","Parietal, and Parieto-occipital region",1.10435828089461,"RF00001","rRNA"
"ENSMFAG00000021668","Subcortical",0.278757238082974,"ENSMFAG00000021668","protein_coding"
"ENSMFAG00000041080","Frontal (agranular frontal motor areas)",0.225144713935756,"ENSMFAG00000041080","protein_coding"
"ENSMFAG00000002296","Orbitomedial Prefrontal Cortex (OMPFC)",0.127627374819927,"PBX1","protein_coding"
"ENSMFAG00000033817","Occipital/Temporal",0.566448778543868,"RF00026","snRNA"
"ENSMFAG00000020016","Parietal, and Parieto-occipital region",0.68677458360287,"RF00017","misc_RNA"
"ENSMFAG00000022091","Occipital/Temporal",0.455164245667681,"ENSMFAG00000022091","miRNA"
"ENSMFAG00000036014","Cingulate gyrus",0.477733128712531,"RF00019","misc_RNA"
"ENSMFAG00000041101","Hippocampal formation",4.84601331685321,"LMX1A","protein_coding"
"ENSMFAG00000002126","Subcortical",2.89470783098056,"RXRG","protein_coding"
"ENSMFAG00000002493","Hippocampal formation",1.61594095313804,"LRRC52","protein_coding"
"ENSMFAG00000040545","Lateral Prefrontal Cortex",0.439566145388198,"MGST3","protein_coding"
"ENSMFAG00000033280","Subcortical",0.263354215607482,"ENSMFAG00000033280","protein_coding"
"ENSMFAG00000002927","Lateral Prefrontal Cortex",0.242634514491225,"TMCO1","protein_coding"
"ENSMFAG00000032681","Operculum/Insula",0.14570240891808,"UCK2","protein_coding"
"ENSMFAG00000032771","Occipital/Temporal",0.457212148373753,"FAM78B","protein_coding"
"ENSMFAG00000037391","Occipital/Temporal",0.143175483099217,"POGK","protein_coding"
"ENSMFAG00000032577","Orbitomedial Prefrontal Cortex (OMPFC)",0.207660157745758,"TADA1","protein_coding"
"ENSMFAG00000002585","Operculum/Insula",0.331771183584433,"ILDR2","protein_coding"
"ENSMFAG00000040593","Lateral Prefrontal Cortex",0.390731352612677,"MAEL","protein_coding"
