cohort,n_profiles,OMPFC_top1_numerator,OMPFC_top1_denominator,OMPFC_top1_percent,OMPFC_top3_numerator,OMPFC_top3_denominator,OMPFC_top3_percent,median_atlas_fit_score,median_network_margin,median_network_entropy,median_OMPFC_network_score
all_159_profiles,159,130,159,81.76100628930817,158,159,99.37106918238993,0.8707053046907555,0.0012869682450479258,0.9999926369352627,0.8707053046907555
all_CSF_profiles,77,74,77,96.1038961038961,76,77,98.7012987012987,0.8717478459657502,0.0015714538056205152,0.9999928464082914,0.8717478459657502
all_plasma_profiles,82,56,82,68.29268292682927,82,82,100.0,0.8668917799813936,0.0008679798967277663,0.9999919491848046,0.8668917799813936
CSF_tumour_profiles,59,56,59,94.91525423728814,58,59,98.30508474576271,0.8719934448946052,0.001570004932965774,0.9999928531958108,0.8719934448946052
CSF_control_profiles,18,18,18,100.0,18,18,100.0,0.8708486336988739,0.0015933200210334064,0.9999928168093781,0.8708486336988739
plasma_tumour_profiles,64,41,64,64.0625,64,64,100.0,0.8664668889796405,0.0008941649058279433,0.9999917221771997,0.8664668889796405
plasma_control_profiles,18,15,18,83.33333333333333,18,18,100.0,0.8687971889397383,0.0007716403275576655,0.9999923615931654,0.8687971889397383
