bo2023_region_id,locked_network,saleem_style_full_name,dictionary_lobe,broad_regional_map
A1,Temporal,,,
AL,Temporal,"anterior lateral, belt region of the auditory cortex",Temporal ,TCs
CL,Temporal,"caudal lateral, belt region of the auditory cortex",Temporal ,TCs
CM,Temporal,"caudomedial, belt region of the auditory cortex",Temporal ,TCs
IPa,Temporal,"area Ipa,sts fundus",Temporal ,TCc
ML,Temporal,"middle lateral, belt region of the auditory cortex",Temporal ,TCs
PGa,Temporal,"area Pga,dorsal bank/fundus junction of the STS",Temporal ,TCc
R,Temporal,"rostral, core region of the auditory cortex",Temporal ,A1
RM,Temporal,"rostromedial, belt region of the auditory cortex",Temporal ,TCs
RT,Temporal,"rostrotemporal, core region of the auditory cortex",Temporal ,A1
RTL,Temporal,"lateral rostrotemporal, belt region of the auditory cortex",Temporal ,TCs
RTM,Temporal,"medial rostrotemporal, belt region of the auditory cortex",Temporal ,TCs
STG,Temporal,superior temporal gyrus,Temporal ,TCs
TAa,Temporal,"area TAa,sts dorsal bank",Temporal ,TCs
TEO,Temporal,area TEO,Temporal ,TCc
TEa,Temporal,"area TEa,sts ventral bank",Temporal ,TCc
TEad,Temporal,dorsal subregion of anterior TE,Temporal ,TCi
TEav,Temporal,ventral subregion of anterior TE,Temporal ,TCi
TEm,Temporal,"area TEm,sts ventral bank ",Temporal ,TCc
TEpd,Temporal,dorsal subregion of posterior TE,Temporal ,TCi
TEpv,Temporal,ventral subregion of posterior TE,Temporal ,TCi
TF,Temporal,area TF of the parahippocampal cortex,Temporal ,PHC
TFO,Temporal,area TFO of the parahippocampal cortex,Temporal ,PHC
TG,Temporal,temporal pole,Temporal ,TCpol
TPO,Temporal,"area TPO,sts dorsal bank",Temporal ,TCc
Tpt,Temporal,temporo-parietal area,Temporal ,TCs
