route,n,top1,top3,mrr,ndcg_at_3,median_true_rank,mean_decision_margin
logcpm_baseline,819,0.5531135531135531,0.8827838827838828,0.7180737252165823,0.7438469109628524,1.0,0.015849594595376923
native_vsd,819,0.5286935286935287,0.8791208791208791,0.7035089249374963,0.7312441854221235,1.0,0.0133517785532279
projected_vsd,819,0.5836385836385837,0.9157509157509157,0.7460026745741032,0.7779909235435263,1.0,0.008672212360833834
