route,monkey_id,n,top1,top3,mrr,ndcg_at_3
logcpm_baseline,2,17,0.29411764705882354,0.7647058823529411,0.5666666666666667,0.5833240161764826
logcpm_baseline,34,219,0.6301369863013698,0.9223744292237442,0.7758480104370515,0.8025612290280555
logcpm_baseline,67,11,0.6363636363636364,0.8181818181818182,0.7545454545454546,0.7510781370129923
logcpm_baseline,79,17,0.5882352941176471,0.7647058823529411,0.6980392156862746,0.6841723384453798
logcpm_baseline,92,114,0.6140350877192983,0.9210526315789473,0.7666040100250626,0.7951080182957455
logcpm_baseline,qbt,79,0.3670886075949367,0.810126582278481,0.5989602169981917,0.6250690452983806
logcpm_baseline,xq,222,0.6441441441441441,0.9234234234234234,0.7748337623337623,0.8026565410553452
logcpm_baseline,xz,98,0.30612244897959184,0.7551020408163265,0.5327502429543246,0.5533245490889263
logcpm_baseline,zs,42,0.5,0.9047619047619048,0.7013888888888888,0.7429068284864035
native_vsd,2,17,0.35294117647058826,0.9411764705882353,0.6039215686274509,0.6855675745798404
native_vsd,34,219,0.5114155251141552,0.8812785388127854,0.6919058490976299,0.7232504059850027
native_vsd,67,11,0.6363636363636364,0.7272727272727273,0.7318181818181819,0.6937208866883143
native_vsd,79,17,0.47058823529411764,0.7647058823529411,0.6362745098039215,0.6407523094537867
native_vsd,92,114,0.47368421052631576,0.8771929824561403,0.6654239766081872,0.7030027551378507
native_vsd,qbt,79,0.4936708860759494,0.8481012658227848,0.6872664255575648,0.7056901876582355
native_vsd,xq,222,0.6351351351351351,0.9324324324324325,0.7742170742170743,0.8050156357142905
native_vsd,xz,98,0.4897959183673469,0.8673469387755102,0.6877551020408164,0.7133078938046724
native_vsd,zs,42,0.42857142857142855,0.7380952380952381,0.6210600907029479,0.6145070841836804
projected_vsd,2,17,0.35294117647058826,0.9411764705882353,0.6137254901960785,0.6932693247899262
projected_vsd,34,219,0.5981735159817352,0.9406392694063926,0.7571646010002174,0.7969076194716304
projected_vsd,67,11,0.7272727272727273,0.8181818181818182,0.7848484848484848,0.7727272727272727
projected_vsd,79,17,0.6470588235294118,0.8235294117647058,0.7392156862745098,0.7429958678571446
projected_vsd,92,114,0.6052631578947368,0.9122807017543859,0.7644110275689223,0.7897816083020118
projected_vsd,qbt,79,0.569620253164557,0.8734177215189873,0.7287221217600964,0.7463790671338211
projected_vsd,xq,222,0.6081081081081081,0.9324324324324325,0.7643071643071643,0.7979896325128761
projected_vsd,xz,98,0.47959183673469385,0.8979591836734694,0.6870991253644315,0.7261840112244982
projected_vsd,zs,42,0.6190476190476191,0.8809523809523809,0.7571428571428571,0.7718216255952429
