gene_index,fisher_score,between_variance,within_variance,gene_symbol
17541,3.590147436496515,0.49173211276349255,0.13696709830443074,SATB2
1078,2.4697278989239613,0.9616598265488203,0.3893788470667267,ATP4A
13239,2.367368558088713,0.4141141847347096,0.17492593607619666,MEF2C
20707,2.2453368516310346,0.5059557014680579,0.2253362022928356,VIPR1
20370,2.18597749816288,1.0674910941736002,0.48833580089957773,TWIST1
13785,2.169575692754137,0.585556891056127,0.26989464867070073,MPPED1
10708,2.165432103997438,0.3431797944809734,0.15848096654387572,GFRA2
8427,2.132366172132354,0.5528828316389679,0.25928136430828225,ENSMFAG00000042392
12702,2.1157029047430114,0.2570074597287716,0.12147614771222358,LMO4
4168,2.084512196184506,1.0382311072975983,0.4980690870280615,EMX1
9135,2.0729062649323966,0.8542530379939279,0.4121040259834059,ENSMFAG00000046456
6915,2.0408603431986725,0.45963105277192606,0.22521434839727236,ENSMFAG00000032887
17401,2.0278371975056126,0.6798192314940151,0.3352434860411232,RSPO2
12229,2.0223887325130767,0.12770093431245255,0.06314360440976177,KHDRBS3
14949,2.0220338886926057,0.6075631589703466,0.30047129385296417,OVOL2
14696,2.009594821806093,0.2268760481661311,0.1128964035975578,NUAK1
276,1.9976379737827257,0.18652937695294464,0.09337495553478745,ADCY2
9842,1.9770997196140816,0.11837360997338933,0.05987234180858514,ETS2
2131,1.9660146989730338,0.8463563911977285,0.43049340983039636,CCK
17159,1.94236349501754,0.14489956291069328,0.07459960190703124,RND1
11285,1.9345870137448213,0.20557107082642975,0.1062609487296368,HECW1
19672,1.930997841271938,0.6789008291853007,0.3515803049412701,TMEM155
17540,1.886822329106598,0.1629030508157178,0.08633723983149404,SATB1
14821,1.884917559295107,0.18805386236605037,0.09976767556200193,OLFM1
16213,1.8803284808651597,0.5134747221126922,0.2730771290945676,PTGS2
12806,1.8366374490826338,0.12370180428952661,0.06735231604089248,LRRC4
12171,1.8093083022750012,1.8609014976780474,1.0285154151147655,KCNS1
3959,1.7607943287296404,0.285017705208545,0.16186881281372217,ECM1
17054,1.7571853578053702,0.2981820984122724,0.16969301474992493,RGS4
20222,1.7434600996638716,0.2174897146813625,0.12474601356732637,TSHZ3
13156,1.7333885748793885,0.23785244694720514,0.1372181823858332,MCHR1
6317,1.7278861156037373,0.3838433726383075,0.22214621200618212,ENSMFAG00000030025
14198,1.721298666207116,0.3074865989308516,0.1786363910891839,NCALD
12739,1.7039855957509105,0.6216035947386619,0.36479391565800084,LPL
1131,1.6893948223519182,0.19355012831426816,0.11456771907875628,ATRNL1
13355,1.6795935058021376,0.18756055186592954,0.11167019545030905,MICAL2
19256,1.669934845995186,0.8740591177703131,0.5234091037546289,TBR1
15521,1.6592941636228171,0.15780312029797844,0.0951025485200874,PKNOX2
17259,1.6452534571334525,0.3945700611438097,0.23982325822231665,RORB
17020,1.63396828376679,0.38570308511718626,0.23605297153525004,RFTN1
10361,1.6056522370841049,0.2591771476457627,0.16141548313096177,FMN1
11571,1.5998444332972601,0.2759756862381136,0.17250156608720182,HTR2A
14930,1.5971123487007226,0.43847084219693966,0.2745397508087139,OTOS
20705,1.585105059082997,0.4214356978429466,0.26587239727548523,VIP
312,1.5802211547645215,0.09576012881709704,0.06059918431427106,ADGRL2
6607,1.5785991083726558,0.4329183747034283,0.2742421154435616,ENSMFAG00000031052
9727,1.5744169192361734,0.4410375723213554,0.28012755146912105,EPHA3
16265,1.5741825030181482,0.1719230832501227,0.10921419033604622,PTPRT
2240,1.566235140928173,0.43993631543304784,0.2808877723877297,CD300E
18874,1.558765228237771,0.345918946066899,0.22191855720974607,ST8SIA5
16974,1.5580630976794945,0.5310343910669454,0.34082982664643807,RF02160
12352,1.5459677613339722,0.20188796749206497,0.13059001428217618,KLHL13
11244,1.5390560721485997,0.18829948566728824,0.12234737491653049,HCN1
19380,1.5244115146756483,0.8331354147608021,0.5465291960182777,TESPA1
5634,1.5193975004461324,0.19868791653999615,0.1307675583826362,ENSMFAG00000015786
10089,1.51755600302612,0.12563964967559033,0.08279077295961104,FAM81A
20763,1.516098862104258,0.31013240890594557,0.20455947926411017,VSNL1
11621,1.5083285808653437,0.14947748657876145,0.09910139832377828,ID2
17988,1.5063745987447381,1.3662004788542266,0.9069460311724157,SIX3
2113,1.5004276894242965,0.3177230307573076,0.21175496692875537,CCDC83
11057,1.489235010237634,0.13168799844619056,0.088426596640934,GRIN2A
11707,1.4803923250368405,0.1975089458986341,0.1334166137951274,IGSF21
14462,1.479395835494315,0.11217651286879862,0.0758258847182427,NLK
2559,1.476918923500524,0.987124265279757,0.668367257541079,CHAT
18155,1.473045799948585,0.40251184251598704,0.27325140046533397,SLC26A4
15018,1.4683306850390843,0.11012129142890721,0.07499759956502519,PAK1
6950,1.4680225585384248,0.2538329951927765,0.17290809261491807,ENSMFAG00000033090
3641,1.465402552050872,0.12691664105464037,0.08660871118519037,DLGAP1
18063,1.4595384384782322,0.9681802273130594,0.6633468411610556,SLC17A7
1864,1.456960430846646,0.17276342124725738,0.11857796754113598,CAMK2G
18190,1.4498220375506203,0.8552434374760424,0.5898954498047911,SLC30A3
14722,1.4485030528530507,0.06115378915162354,0.04221860254014736,NUDT4
17913,1.4456288315868442,0.11028722355623952,0.07629012834427953,SHC3
12963,1.4399619353443207,0.28708193964159934,0.1993677181288362,MAFB
13271,1.4381359343790734,1.539224633391997,1.0702914670407775,MET
18068,1.4378306809237746,0.887303611467335,0.6171127163032543,SLC18A3
19084,1.4375124636357945,1.0296395224453827,0.7162647518659188,SYNDIG1L
11501,1.4287459457969902,0.31033388389751,0.21720717425163966,HRH1
2333,1.427516292214451,0.1765496195127818,0.12367607024907876,CDH12
21643,1.4246668765058814,0.1705823915409875,0.11973492197185545,ZSCAN31
8152,1.4227538844213692,0.584033993237864,0.41049543804116934,ENSMFAG00000040743
17075,1.422561944384892,0.20052359759989602,0.14095947397284123,RHEBL1
12145,1.4193159407734135,0.21467852264933945,0.15125491251736203,KCNK12
24,1.4177029384534252,0.14183282303596811,0.10004409598929408,ABCA1
14357,1.4061808699218226,0.808218096360132,0.5747611133006357,NEUROD2
13324,1.4027496907265904,0.18576362608864422,0.13242819676896614,MFSD4A
15840,1.3901140378320682,0.40057828767053427,0.2881621671802623,PPL
20620,1.3832668618981312,0.2614225851386527,0.1889892532719664,USP43
18783,1.381967475705987,0.24018874804317017,0.17380201665078512,SRGAP1
12753,1.3810333229156366,0.2504742730583403,0.18136728136233962,LRFN2
4104,1.3794617035505117,0.23659746004657917,0.17151432739524303,ELAVL4
9848,1.3794614472835147,0.0708209591394356,0.05133956116300625,ETV5
15050,1.3736409027636916,0.21992551050182915,0.16010406819055975,PAPSS2
11075,1.3609046378086107,0.33837010922374083,0.24863615437416178,GRM2
2386,1.3584438822282077,0.1903609050114155,0.14013158284811472,CDKL1
10480,1.3537118151424108,0.4210215087753241,0.3110126472479037,FTCD
11940,1.345856166941429,0.6469502451553087,0.4806978989196117,ISL1
20790,1.3446686413546522,0.21514817738666814,0.16000087852367567,VXN
13065,1.3443764565676706,0.13893183123579217,0.10334294171346516,MAPK13
3080,1.341681206553669,0.2809110025754631,0.2093723812978029,CRHBP
3981,1.3389399114995868,0.11864724739367852,0.08861281449994034,EDNRB
10422,1.3322389746403716,0.15703923508420845,0.11787616542610932,FOXO1
17056,1.3187316573311518,0.19581737839226324,0.14848916693274938,RGS6
15106,1.3173149451365498,0.1945809874269288,0.14771029128012325,PBX3
20085,1.317278652273203,0.25867044385351484,0.19636728359208253,TRHDE
15164,1.316805762967717,0.34052749706670116,0.25860114944453805,PCSK1
14669,1.3164539191429983,0.10945470165886645,0.08314357753257437,NT5C1A
3650,1.305029437556201,0.21619800408478002,0.165665221651504,DLX1
10152,1.285176867029343,0.4197870399851687,0.326637553089271,FBLN7
3075,1.28368998008761,0.12049711025901488,0.09386775568185968,CREG2
12128,1.2830787043228604,0.14664489748922388,0.11429141810581923,KCNIP3
18984,1.2810407125642467,0.3073948774713321,0.23995713925876383,STX1A
1833,1.2796104447375969,0.4623381948375927,0.3613116663300584,CADPS2
15802,1.2790510717443697,0.41980272424671067,0.32821418998044627,POU6F2
10350,1.2758075645396758,0.10992013333155173,0.08615728862928977,FLRT2
9255,1.272912010725116,0.4473071240625714,0.35140458065019137,ENSMFAG00000046600
4015,1.2652141070516336,0.21077055322181024,0.166588832194445,EFHD2
