GeneID,Gene.name,Gene.type,M20,M4
ENSMFAG00000001305,TMEM240,protein_coding,green,M4
ENSMFAG00000001323,TRAPPC4,protein_coding,green,M4
ENSMFAG00000001324,PRMT5,protein_coding,purple,M4
ENSMFAG00000001334,CAMSAP3,protein_coding,lightcyan,M4
ENSMFAG00000001343,COX8A,protein_coding,purple,M4
ENSMFAG00000001368,KCTD10,protein_coding,green,M4
ENSMFAG00000001372,ENSMFAG00000001372,protein_coding,green,M4
ENSMFAG00000001374,NT5C3B,protein_coding,green,M4
ENSMFAG00000001375,KIAA0100,protein_coding,green,M4
ENSMFAG00000001389,PI4KA,protein_coding,cyan,M4
ENSMFAG00000001394,ALYREF,protein_coding,green,M4
ENSMFAG00000001397,CTSZ,protein_coding,green,M4
ENSMFAG00000001409,ENSMFAG00000001409,protein_coding,green,M4
ENSMFAG00000001421,SERPINB1,protein_coding,purple,M4
ENSMFAG00000001437,NELFB,protein_coding,lightcyan,M4
ENSMFAG00000001474,RETREG2,protein_coding,green,M4
ENSMFAG00000001486,NDUFA10,protein_coding,purple,M4
ENSMFAG00000001487,ENSMFAG00000001487,protein_coding,purple,M4
ENSMFAG00000001499,ALKBH4,protein_coding,green,M4
ENSMFAG00000001501,STK24,protein_coding,green,M4
ENSMFAG00000001531,HYOU1,protein_coding,green,M4
ENSMFAG00000001544,CLTB,protein_coding,green,M4
ENSMFAG00000001549,HMGCL,protein_coding,green,M4
ENSMFAG00000001554,POLR2L,protein_coding,green,M4
ENSMFAG00000001567,ENSMFAG00000001567,protein_coding,green,M4
ENSMFAG00000001596,CBLN3,protein_coding,green,M4
ENSMFAG00000001597,ENSMFAG00000001597,protein_coding,purple,M4
ENSMFAG00000001626,RPSA,protein_coding,green,M4
ENSMFAG00000001638,MYH13,protein_coding,green,M4
ENSMFAG00000001653,TMEM160,protein_coding,green,M4
ENSMFAG00000001658,TMEM176A,protein_coding,purple,M4
ENSMFAG00000001662,ATP2A1,protein_coding,lightcyan,M4
ENSMFAG00000001665,DNAJC5,protein_coding,green,M4
ENSMFAG00000001673,PPP1R11,protein_coding,green,M4
ENSMFAG00000001692,MAPK8IP2,protein_coding,green,M4
ENSMFAG00000001700,PTRH1,protein_coding,green,M4
ENSMFAG00000001701,GRK7,protein_coding,cyan,M4
ENSMFAG00000001705,ENSMFAG00000001705,protein_coding,lightcyan,M4
ENSMFAG00000001717,IFNGR2,protein_coding,green,M4
ENSMFAG00000001735,SRI,protein_coding,purple,M4
ENSMFAG00000001772,ENSMFAG00000001772,protein_coding,green,M4
ENSMFAG00000001787,ZBTB48,protein_coding,lightcyan,M4
ENSMFAG00000001797,LRRC72,protein_coding,cyan,M4
ENSMFAG00000001804,SLC10A4,protein_coding,green,M4
ENSMFAG00000001807,KIAA1211,protein_coding,green,M4
ENSMFAG00000001817,NCOR2,protein_coding,lightcyan,M4
ENSMFAG00000001820,CIAO2B,protein_coding,purple,M4
ENSMFAG00000001850,USP20,protein_coding,cyan,M4
ENSMFAG00000001854,PPP1CA,protein_coding,green,M4
ENSMFAG00000001858,SH2D2A,protein_coding,green,M4
ENSMFAG00000001859,ANO7,protein_coding,cyan,M4
ENSMFAG00000001864,MUC5B,protein_coding,green,M4
ENSMFAG00000001879,ENSMFAG00000001879,protein_coding,green,M4
ENSMFAG00000001896,EMC3,protein_coding,purple,M4
ENSMFAG00000001940,GLRB,protein_coding,purple,M4
ENSMFAG00000001962,RAP1GAP,protein_coding,cyan,M4
ENSMFAG00000001969,GNG13,protein_coding,cyan,M4
