Age,Observed,Mean,s.d.
2,0.17936,0.14869,0.0532
3,0.17664,0.157098,0.056
4,0.20621,0.16065778479999981,0.0570819609694182
5,0.18973,0.15289990980000015,0.05422192334644777
6,0.20007,0.15392715729999998,0.054422655536820415
7,0.17577,0.14993884519999973,0.05334596412036523
8,0.21153,0.16297106240000053,0.057205231677628476
