Cell type,GeneID,Gene
AST,ENSMFAG00000000039,ID2
AST,ENSMFAG00000033343,CHD2
AST,ENSMFAG00000039231,SNTA1
AST,ENSMFAG00000039672,ADGRL3
AST,ENSMFAG00000043400,SUGCT
AST,ENSMFAG00000036632,PTCH2
AST,ENSMFAG00000030648,RUBCNL
AST,ENSMFAG00000031824,SCG3
AST,ENSMFAG00000040847,TSC22D4
AST,ENSMFAG00000030983,VAV3
AST,ENSMFAG00000002640,ENSMFAG00000002640
AST,ENSMFAG00000043608,RHOBTB3
AST,ENSMFAG00000034037,PLCB4
AST,ENSMFAG00000029911,IGSF11
AST,ENSMFAG00000029324,ENSMFAG00000029324
AST,ENSMFAG00000044012,ITSN1
AST,ENSMFAG00000030770,EHMT1
AST,ENSMFAG00000002770,SHROOM3
AST,ENSMFAG00000038079,SHISA9
AST,ENSMFAG00000042844,FADS2
AST,ENSMFAG00000038624,REPS1
AST,ENSMFAG00000044436,ERI3
AST,ENSMFAG00000034176,SLC6A11
AST,ENSMFAG00000039710,MKLN1
AST,ENSMFAG00000039173,ATP2C1
AST,ENSMFAG00000041955,ENO1
AST,ENSMFAG00000042650,ARRB1
AST,ENSMFAG00000037700,AFF1
AST,ENSMFAG00000001606,ODF2
AST,ENSMFAG00000038584,MTMR10
AST,ENSMFAG00000039869,FIGN
AST,ENSMFAG00000000283,PLCG1
AST,ENSMFAG00000035876,ITPKB
AST,ENSMFAG00000041825,CHD7
AST,ENSMFAG00000041231,GALNT18
AST,ENSMFAG00000044657,ST5
AST,ENSMFAG00000002050,ABCD2
AST,ENSMFAG00000043289,SLC35F1
AST,ENSMFAG00000038437,C14H11orf49
AST,ENSMFAG00000001460,TNFSF4
AST,ENSMFAG00000045341,FAM171B
AST,ENSMFAG00000036772,LAPTM4A
AST,ENSMFAG00000007641,PHLDB1
AST,ENSMFAG00000036614,GRIK4
AST,ENSMFAG00000038795,MYO6
AST,ENSMFAG00000032997,KIF13A
AST,ENSMFAG00000002093,SEL1L3
AST,ENSMFAG00000039841,ENSMFAG00000039841
AST,ENSMFAG00000044392,TET1
AST,ENSMFAG00000000444,EPS15L1
AST,ENSMFAG00000036448,UST
AST,ENSMFAG00000040555,TLK1
AST,ENSMFAG00000037599,TMEM56
AST,ENSMFAG00000033705,BAALC
AST,ENSMFAG00000043959,ZMIZ1
AST,ENSMFAG00000033016,FAM13A
AST,ENSMFAG00000003466,SPTBN1
AST,ENSMFAG00000037544,CYTH1
AST,ENSMFAG00000044445,BMP2K
AST,ENSMFAG00000044265,ACAD10
AST,ENSMFAG00000004077,NRF1
AST,ENSMFAG00000000142,TMCC3
AST,ENSMFAG00000032194,DOK5
AST,ENSMFAG00000042105,GRK3
AST,ENSMFAG00000000002,ENSMFAG00000000002
AST,ENSMFAG00000043092,MTUS1
AST,ENSMFAG00000000534,PPARGC1A
AST,ENSMFAG00000032269,AMOT
AST,ENSMFAG00000042761,PARVA
AST,ENSMFAG00000042647,NUDT3
AST,ENSMFAG00000003604,EEF2K
AST,ENSMFAG00000042804,NEBL
AST,ENSMFAG00000031793,SWT1
AST,ENSMFAG00000044175,ZSWIM6
AST,ENSMFAG00000041347,FOXN2
AST,ENSMFAG00000035406,ZNF277
AST,ENSMFAG00000035971,GALNT10
AST,ENSMFAG00000040773,FHIT
AST,ENSMFAG00000003857,MFN1
AST,ENSMFAG00000001116,PTPN13
AST,ENSMFAG00000003635,ITGAV
AST,ENSMFAG00000044541,STARD13
AST,ENSMFAG00000035494,CNTN1
AST,ENSMFAG00000040345,BMPR1A
AST,ENSMFAG00000039741,PACRG
AST,ENSMFAG00000000179,KIFC3
AST,ENSMFAG00000039601,WWC1
AST,ENSMFAG00000040804,CHL1
AST,ENSMFAG00000039957,PRKD1
AST,ENSMFAG00000032927,CHKA
AST,ENSMFAG00000042116,TLE1
AST,ENSMFAG00000037841,ZNF462
AST,ENSMFAG00000031606,GPD2
AST,ENSMFAG00000041924,L3MBTL4
AST,ENSMFAG00000001654,DCLK2
AST,ENSMFAG00000017703,TOX
AST,ENSMFAG00000001810,CDH10
AST,ENSMFAG00000044061,LTBP1
AST,ENSMFAG00000046897,ENSMFAG00000046897
AST,ENSMFAG00000040729,CDH11
AST,ENSMFAG00000039588,GAREM1
AST,ENSMFAG00000044501,BCR
AST,ENSMFAG00000031493,CTNND1
AST,ENSMFAG00000043923,CRADD
AST,ENSMFAG00000043598,PLEKHG1
AST,ENSMFAG00000040990,MAOB
OPC,ENSMFAG00000032675,VCAN
OPC,ENSMFAG00000031890,COL9A1
OPC,ENSMFAG00000033646,BCAS1
OPC,ENSMFAG00000039461,ADAM12
OPC,ENSMFAG00000006335,STK32A
OPC,ENSMFAG00000035867,SULF2
OPC,ENSMFAG00000002073,NKAIN3
OPC,ENSMFAG00000002722,COL11A1
OPC,ENSMFAG00000043089,CACNG4
OPC,ENSMFAG00000009175,CDH19
OPC,ENSMFAG00000046187,PDGFRA
OPC,ENSMFAG00000003086,ZCCHC24
OPC,ENSMFAG00000002810,AFAP1L2
OPC,ENSMFAG00000031014,ROR2
OPC,ENSMFAG00000002228,C1QL1
OPC,ENSMFAG00000003175,NKAIN4
OPC,ENSMFAG00000002893,SLC22A3
OPC,ENSMFAG00000001183,NEU4
OPC,ENSMFAG00000032316,PRRX1
OPC,ENSMFAG00000044850,CALCRL
OPC,ENSMFAG00000033414,SPRY4
OPC,ENSMFAG00000002752,FERMT1
OPC,ENSMFAG00000036642,SMOC1
OPC,ENSMFAG00000040221,MASP1
OPC,ENSMFAG00000037481,PLPP4
OPC,ENSMFAG00000002995,RIN2
OPC,ENSMFAG00000031735,MAML2
OPC,ENSMFAG00000026936,SOX6
OPC,ENSMFAG00000003388,WSCD1
OPC,ENSMFAG00000001357,LHFPL3
OPC,ENSMFAG00000041043,PCDH15
OPC,ENSMFAG00000039013,CCND1
OPC,ENSMFAG00000037729,LGR5
OPC,ENSMFAG00000037787,NTN1
OPC,ENSMFAG00000003482,LRP4
OPC,ENSMFAG00000037917,CHST9
OPC,ENSMFAG00000038247,MEGF11
OPC,ENSMFAG00000035741,CD82
OPC,ENSMFAG00000039404,TNS3
OPC,ENSMFAG00000045941,DOCK1
OPC,ENSMFAG00000001616,IL17RB
OPC,ENSMFAG00000042435,DISC1
OPC,ENSMFAG00000036809,TRAF4
OPC,ENSMFAG00000043430,ENSMFAG00000043430
OPC,ENSMFAG00000000828,BCAN
OPC,ENSMFAG00000031374,PREX2
OPC,ENSMFAG00000032515,NXPH1
OPC,ENSMFAG00000002871,APOD
OPC,ENSMFAG00000043970,ARHGEF28
OPC,ENSMFAG00000040754,CHST11
OPC,ENSMFAG00000002820,FAM184B
OPC,ENSMFAG00000000724,CDC14A
OPC,ENSMFAG00000032997,KIF13A
OPC,ENSMFAG00000041891,MYT1
OPC,ENSMFAG00000042474,ENSMFAG00000042474
OPC,ENSMFAG00000028569,COL9A2
OPC,ENSMFAG00000038127,HIP1
OPC,ENSMFAG00000032909,SEMA3E
OPC,ENSMFAG00000032576,PTPRZ1
OPC,ENSMFAG00000035971,GALNT10
OPC,ENSMFAG00000038798,PLD5
OPC,ENSMFAG00000038895,SEMA5A
OPC,ENSMFAG00000036947,KANK1
OPC,ENSMFAG00000033479,CA8
OPC,ENSMFAG00000001953,GFRA1
OPC,ENSMFAG00000042129,SHROOM4
OPC,ENSMFAG00000046054,EPN2
OPC,ENSMFAG00000042088,XYLT1
OPC,ENSMFAG00000035980,KAT2B
OPC,ENSMFAG00000010073,ATP2B4
OPC,ENSMFAG00000046457,ENSMFAG00000046457
OPC,ENSMFAG00000039272,GRIK1
OPC,ENSMFAG00000045590,GAD1
OPC,ENSMFAG00000033317,SUSD5
OPC,ENSMFAG00000003082,RFTN2
OPC,ENSMFAG00000040046,MMP16
OPC,ENSMFAG00000038629,AGAP1
OPC,ENSMFAG00000038286,TNR
OPC,ENSMFAG00000030301,PDLIM5
OPC,ENSMFAG00000001208,ABTB2
OPC,ENSMFAG00000046230,ZBTB20
OPC,ENSMFAG00000031296,ATP1A4
OPC,ENSMFAG00000033921,SPATA6
OPC,ENSMFAG00000035593,NCKAP5
OPC,ENSMFAG00000014401,MAP3K1
OPC,ENSMFAG00000037782,DOCK10
OPC,ENSMFAG00000045217,GALNT3
OPC,ENSMFAG00000037073,LAMA4
OPC,ENSMFAG00000043289,SLC35F1
OPC,ENSMFAG00000041636,SAMD4A
OPC,ENSMFAG00000042111,LUZP2
OPC,ENSMFAG00000045444,ALCAM
OPC,ENSMFAG00000000652,DPP6
OPC,ENSMFAG00000032545,PLLP
OPC,ENSMFAG00000044879,ENSMFAG00000044879
OPC,ENSMFAG00000033365,DSCAM
OPC,ENSMFAG00000044069,ENSMFAG00000044069
OPC,ENSMFAG00000024693,SLC1A3
OPC,ENSMFAG00000041953,ACACB
OPC,ENSMFAG00000036449,KCNIP1
OPC,ENSMFAG00000034398,TMEM132C
OPC,ENSMFAG00000036929,LRP1B
OPC,ENSMFAG00000030151,EYA1
OPC,ENSMFAG00000031347,SYT17
OPC,ENSMFAG00000045642,MTSS1
OPC,ENSMFAG00000003938,APCDD1
OPC,ENSMFAG00000043573,GRID2
OPC,ENSMFAG00000034335,CDH20
OPC,ENSMFAG00000046083,TNK2
OPC,ENSMFAG00000046067,PDE1C
OPC,ENSMFAG00000035679,NEDD4
OPC,ENSMFAG00000043828,DENND2A
OPC,ENSMFAG00000026668,ENSMFAG00000026668
OPC,ENSMFAG00000043269,LDLRAD3
OPC,ENSMFAG00000041825,CHD7
OPC,ENSMFAG00000044946,TSHZ2
OPC,ENSMFAG00000035536,CASK
OPC,ENSMFAG00000021148,CA10
OPC,ENSMFAG00000037841,ZNF462
OPC,ENSMFAG00000036661,SCD5
OPC,ENSMFAG00000036767,NLGN1
OPC,ENSMFAG00000004075,FCHSD2
OPC,ENSMFAG00000042352,ERBB4
OPC,ENSMFAG00000033027,NT5E
OPC,ENSMFAG00000035425,NOVA1
OPC,ENSMFAG00000020572,PLCE1
OPC,ENSMFAG00000044439,HTRA1
OPC,ENSMFAG00000034365,NHSL1
OPC,ENSMFAG00000042599,EHD4
OPC,ENSMFAG00000000533,ARHGAP42
OPC,ENSMFAG00000002675,PARD3
OPC,ENSMFAG00000032402,SH3D19
OPC,ENSMFAG00000031872,SHISA6
OPC,ENSMFAG00000031576,ANKRD55
OPC,ENSMFAG00000041461,GPSM2
OPC,ENSMFAG00000037310,SGK1
OPC,ENSMFAG00000045373,ATP10B
OPC,ENSMFAG00000037095,OPCML
OPC,ENSMFAG00000029861,NAV1
OPC,ENSMFAG00000032001,ETV1
OPC,ENSMFAG00000030971,SOX10
OPC,ENSMFAG00000040266,REV3L
OPC,ENSMFAG00000041327,OPHN1
OPC,ENSMFAG00000032839,CSMD3
OPC,ENSMFAG00000034097,CCDC50
OPC,ENSMFAG00000038443,NRXN1
OPC,ENSMFAG00000000217,ITGB8
OPC,ENSMFAG00000043431,NPAS3
OPC,ENSMFAG00000043164,MYO16
OPC,ENSMFAG00000030986,GPM6A
OPC,ENSMFAG00000032235,PDGFC
OPC,ENSMFAG00000033120,CECR2
OPC,ENSMFAG00000042125,DGKG
OPC,ENSMFAG00000044175,ZSWIM6
OPC,ENSMFAG00000045828,NFIA
OPC,ENSMFAG00000039927,LRP1
OPC,ENSMFAG00000044135,NTM
OPC,ENSMFAG00000036301,PLPPR1
OPC,ENSMFAG00000000162,PDE4B
OPC,ENSMFAG00000039822,AFAP1
OPC,ENSMFAG00000043303,C3orf70
OPC,ENSMFAG00000007641,PHLDB1
OPC,ENSMFAG00000044703,PCDH17
OPC,ENSMFAG00000035372,DNM3
OPC,ENSMFAG00000040211,ATP13A5
OPC,ENSMFAG00000037248,CRB1
OPC,ENSMFAG00000030468,ENSMFAG00000030468
OPC,ENSMFAG00000002921,SLC9A9
OPC,ENSMFAG00000042570,ZEB1
OPC,ENSMFAG00000044594,ASTN2
OPC,ENSMFAG00000040522,SASH1
OPC,ENSMFAG00000034634,SCN9A
OPC,ENSMFAG00000041247,ARHGAP31
OPC,ENSMFAG00000039672,ADGRL3
OPC,ENSMFAG00000036614,GRIK4
OPC,ENSMFAG00000039869,FIGN
OPC,ENSMFAG00000044940,TGFA
OPC,ENSMFAG00000039071,XKR4
OPC,ENSMFAG00000034537,FGFR1
OPC,ENSMFAG00000042272,CALD1
OPC,ENSMFAG00000038572,PHYHIPL
OPC,ENSMFAG00000044864,NCAM1
OPC,ENSMFAG00000036448,UST
OPC,ENSMFAG00000005400,ENSMFAG00000005400
OPC,ENSMFAG00000000124,CSPG5
OPC,ENSMFAG00000034549,DNER
OPC,ENSMFAG00000041328,SHC3
OPC,ENSMFAG00000031788,DSCAML1
OPC,ENSMFAG00000031115,TCF12
OPC,ENSMFAG00000036547,NTNG1
OPC,ENSMFAG00000038163,SLC1A1
OPC,ENSMFAG00000042968,WSB1
OPC,ENSMFAG00000044958,MYO10
OPC,ENSMFAG00000033310,KAZN
OPC,ENSMFAG00000002688,TENM1
OPC,ENSMFAG00000032319,MDGA2
OPC,ENSMFAG00000045175,DMD
OPC,ENSMFAG00000032873,SOGA1
OPC,ENSMFAG00000023144,KIF26B
OPC,ENSMFAG00000026134,FA2H
OPC,ENSMFAG00000040773,FHIT
OPC,ENSMFAG00000003097,MTSS2
OPC,ENSMFAG00000037016,ROBO1
OPC,ENSMFAG00000042982,BLM
OPC,ENSMFAG00000031680,ENSMFAG00000031680
OPC,ENSMFAG00000033855,SOX5
OPC,ENSMFAG00000041136,NCAM2
OPC,ENSMFAG00000042082,PID1
OPC,ENSMFAG00000039646,IL1RAP
OPC,ENSMFAG00000029976,TNKS
OPC,ENSMFAG00000040607,ITGA9
OPC,ENSMFAG00000010807,PHLPP1
OPC,ENSMFAG00000037125,TJP1
OPC,ENSMFAG00000004054,USP24
OPC,ENSMFAG00000038021,NLGN4X
OPC,ENSMFAG00000037703,LSAMP
OPC,ENSMFAG00000037051,SLC24A3
OPC,ENSMFAG00000039474,PLAAT1
OPC,ENSMFAG00000000142,TMCC3
OPC,ENSMFAG00000003506,GAB2
OPC,ENSMFAG00000035466,SGCZ
OPC,ENSMFAG00000039429,ACAP3
OPC,ENSMFAG00000044213,GNAL
OPC,ENSMFAG00000034757,ZFHX4
OPC,ENSMFAG00000034633,PHACTR3
OPC,ENSMFAG00000039676,SIPA1L2
OPC,ENSMFAG00000045441,MPPED2
OPC,ENSMFAG00000001363,USP54
OPC,ENSMFAG00000001830,CDH6
OPC,ENSMFAG00000035056,SEZ6L
OPC,ENSMFAG00000034236,SNTG1
OPC,ENSMFAG00000043785,ZHX2
OPC,ENSMFAG00000040148,CADM1
OPC,ENSMFAG00000038727,RAB31
OPC,ENSMFAG00000002954,PLD1
OPC,ENSMFAG00000033704,PCDHGA4
OPC,ENSMFAG00000003635,ITGAV
OPC,ENSMFAG00000034068,ABHD2
OPC,ENSMFAG00000039113,FXYD6
OPC,ENSMFAG00000039435,SH3RF3
OPC,ENSMFAG00000044820,RHOQ
OPC,ENSMFAG00000037539,CREB5
OPC,ENSMFAG00000002684,KLF12
OPC,ENSMFAG00000000195,NAALADL2
OPC,ENSMFAG00000046976,ENSMFAG00000046976
OPC,ENSMFAG00000040109,FRMD4B
OPC,ENSMFAG00000037052,NFIB
OPC,ENSMFAG00000001456,HIPK2
OPC,ENSMFAG00000041727,ZDHHC14
OPC,ENSMFAG00000017617,TAOK3
OPC,ENSMFAG00000017703,TOX
OPC,ENSMFAG00000037048,NRXN2
OPC,ENSMFAG00000032694,ANKRD44
OPC,ENSMFAG00000043959,ZMIZ1
OPC,ENSMFAG00000038497,ZNF827
OPC,ENSMFAG00000000232,MAMLD1
OPC,ENSMFAG00000001899,LRRTM4
OPC,ENSMFAG00000044031,DAB1
OPC,ENSMFAG00000045417,MPZL1
OPC,ENSMFAG00000043050,SMARCC1
OPC,ENSMFAG00000032903,LRMDA
OPC,ENSMFAG00000045739,ANKRD28
OPC,ENSMFAG00000001810,CDH10
OPC,ENSMFAG00000044636,ZNF521
OPC,ENSMFAG00000042186,SCFD2
OPC,ENSMFAG00000004027,TMEM163
OPC,ENSMFAG00000044112,FARP2
OPC,ENSMFAG00000038431,SEPT4
OPC,ENSMFAG00000001632,PALLD
OPC,ENSMFAG00000000074,FYN
OPC,ENSMFAG00000036915,MTCH2
OPC,ENSMFAG00000034699,FIP1L1
OPC,ENSMFAG00000031878,KANSL1L
OPC,ENSMFAG00000037521,DDAH1
OPC,ENSMFAG00000035636,HIBADH
OPC,ENSMFAG00000008546,PKP4
OPC,ENSMFAG00000043664,ENSMFAG00000043664
OPC,ENSMFAG00000043191,TCF7L2
AST,ENSMFAG00000004071,DPP10
ExcN,ENSMFAG00000041208,SYT6
ExcN,ENSMFAG00000047072,ENSMFAG00000047072
ExcN,ENSMFAG00000045068,ENSMFAG00000045068
ExcN,ENSMFAG00000037114,CCDC102B
ExcN,ENSMFAG00000006242,EFCAB8
ExcN,ENSMFAG00000046124,ENSMFAG00000046124
ExcN,ENSMFAG00000045794,BMP6
ExcN,ENSMFAG00000036842,MYOF
ExcN,ENSMFAG00000032235,PDGFC
ExcN,ENSMFAG00000043549,SEMA3A
ExcN,ENSMFAG00000032756,NRP1
ExcN,ENSMFAG00000002477,GRIK3
ExcN,ENSMFAG00000041390,HCRTR2
ExcN,ENSMFAG00000041049,GLIS1
ExcN,ENSMFAG00000031817,TLE4
ExcN,ENSMFAG00000043837,RAI14
ExcN,ENSMFAG00000002688,TENM1
ExcN,ENSMFAG00000031197,TEAD1
ExcN,ENSMFAG00000001125,TLL1
ExcN,ENSMFAG00000030975,AKAP13
ExcN,ENSMFAG00000014991,ENSMFAG00000014991
ExcN,ENSMFAG00000037275,KCNK2
ExcN,ENSMFAG00000032698,SDK1
ExcN,ENSMFAG00000035807,MAMDC2
ExcN,ENSMFAG00000001819,ENSMFAG00000001819
ExcN,ENSMFAG00000033351,MCC
ExcN,ENSMFAG00000042158,CDH4
ExcN,ENSMFAG00000031895,COL25A1
ExcN,ENSMFAG00000016489,PIK3C2G
ExcN,ENSMFAG00000044703,PCDH17
ExcN,ENSMFAG00000038443,NRXN1
ExcN,ENSMFAG00000041985,ENSMFAG00000041985
ExcN,ENSMFAG00000004024,VAV2
ExcN,ENSMFAG00000036446,TRPS1
ExcN,ENSMFAG00000045828,NFIA
ExcN,ENSMFAG00000031640,AFF3
ExcN,ENSMFAG00000033305,TMEM178A
ExcN,ENSMFAG00000003917,ENSMFAG00000003917
ExcN,ENSMFAG00000032453,RPS6KA2
ExcN,ENSMFAG00000039417,RYR2
ExcN,ENSMFAG00000033439,LRIG1
ExcN,ENSMFAG00000001774,SCN3B
ExcN,ENSMFAG00000038024,ADCY1
ExcN,ENSMFAG00000031605,CACNB2
ExcN,ENSMFAG00000041636,SAMD4A
ExcN,ENSMFAG00000037052,NFIB
ExcN,ENSMFAG00000001090,ITGA11
ExcN,ENSMFAG00000040552,SYNJ2
ExcN,ENSMFAG00000045134,SEPT7
ExcN,ENSMFAG00000031535,TMEFF2
ExcN,ENSMFAG00000001541,RALGPS2
ExcN,ENSMFAG00000038875,LDB2
ExcN,ENSMFAG00000044893,SEMA3D
ExcN,ENSMFAG00000043356,PLEKHA5
ExcN,ENSMFAG00000032487,BCL11B
ExcN,ENSMFAG00000045015,FAM135B
ExcN,ENSMFAG00000035056,SEZ6L
ExcN,ENSMFAG00000016402,BCL11A
ExcN,ENSMFAG00000007668,ASIC2
ExcN,ENSMFAG00000039071,XKR4
ExcN,ENSMFAG00000030204,ADAMTS6
ExcN,ENSMFAG00000000162,PDE4B
ExcN,ENSMFAG00000045162,RAB26
ExcN,ENSMFAG00000038538,SLC8A1
ExcN,ENSMFAG00000044025,ANTXR1
ExcN,ENSMFAG00000042012,KLHL5
ExcN,ENSMFAG00000002093,SEL1L3
ExcN,ENSMFAG00000044416,FSTL5
ExcN,ENSMFAG00000037845,ASAP2
ExcN,ENSMFAG00000031162,SLC39A11
ExcN,ENSMFAG00000000579,ADAMTS16
ExcN,ENSMFAG00000001785,STXBP5
ExcN,ENSMFAG00000043791,SH3GL2
ExcN,ENSMFAG00000032294,MDFIC
ExcN,ENSMFAG00000031788,DSCAML1
ExcN,ENSMFAG00000030609,KIAA1217
ExcN,ENSMFAG00000042111,LUZP2
ExcN,ENSMFAG00000032343,HIVEP1
ExcN,ENSMFAG00000035688,ITPR2
ExcN,ENSMFAG00000046459,ENSMFAG00000046459
ExcN,ENSMFAG00000034305,DIP2A
ExcN,ENSMFAG00000038909,NCK2
ExcN,ENSMFAG00000003236,PRKCE
ExcN,ENSMFAG00000033242,HDAC4
ExcN,ENSMFAG00000003506,GAB2
ExcN,ENSMFAG00000042761,PARVA
ExcN,ENSMFAG00000031358,NRXN3
ExcN,ENSMFAG00000031824,SCG3
ExcN,ENSMFAG00000036891,ZDHHC2
ExcN,ENSMFAG00000033436,SMURF1
ExcN,ENSMFAG00000004722,PDE4A
ExcN,ENSMFAG00000032798,ALK
ExcN,ENSMFAG00000038507,DNAH6
ExcN,ENSMFAG00000044245,SSBP2
ExcN,ENSMFAG00000034101,MAP3K14
ExcN,ENSMFAG00000005812,ENSMFAG00000005812
ExcN,ENSMFAG00000032568,OLFM3
ExcN,ENSMFAG00000001830,CDH6
ExcN,ENSMFAG00000000459,EFNA5
ExcN,ENSMFAG00000040802,CAMK2D
ExcN,ENSMFAG00000041727,ZDHHC14
ExcN,ENSMFAG00000003479,ENSMFAG00000003479
ExcN,ENSMFAG00000033589,EPHA7
ExcN,ENSMFAG00000033908,CYTH3
ExcN,ENSMFAG00000038512,CEP112
ExcN,ENSMFAG00000002229,GRM3
ExcN,ENSMFAG00000003525,EMB
ExcN,ENSMFAG00000041903,ENSMFAG00000041903
ExcN,ENSMFAG00000039982,CAMK1D
ExcN,ENSMFAG00000046337,TESC
ExcN,ENSMFAG00000043149,DIP2C
ExcN,ENSMFAG00000038905,RIMS1
ExcN,ENSMFAG00000032522,RUNX1T1
ExcN,ENSMFAG00000042093,SATB1
ExcN,ENSMFAG00000042095,SYT12
ExcN,ENSMFAG00000033604,TSHZ3
ExcN,ENSMFAG00000002798,PARP8
ExcN,ENSMFAG00000040729,CDH11
ExcN,ENSMFAG00000003741,MBOAT2
ExcN,ENSMFAG00000034460,COL12A1
ExcN,ENSMFAG00000020092,SGSM1
ExcN,ENSMFAG00000039309,NXPH2
ExcN,ENSMFAG00000003536,COL24A1
ExcN,ENSMFAG00000035658,ZNF704
ExcN,ENSMFAG00000035341,GPR155
