Gene.ID,Gene.name,r value,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,p (FDR-corrected),Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,age2,age3,age4,age5,age6,age7,age8,aggregate,age2,age3,age4,age5,age6,age7,age8,aggregate
ENSMFAG00000002737,SH3BP5L,0.348500986958386,0.341767702101185,0.334601074441257,0.345354456449922,0.357029711068896,0.339501306921506,0.325049976327678,0.31305645240063,0.0202959663362833,0.0238593815704004,0.0144763557954748,0.0133615770633753,0.00693178576667951,0.0148825798103196,0.0116005175158552,0.0247579516720279
ENSMFAG00000023144,KIF26B,0.31186205378123,0.313113895578747,0.36143556050259,0.352081441869531,0.3812803117227,0.363708653346881,0.389945351521914,0.349134363770209,0.0364378951042188,0.0347544521979779,0.00886196661076328,0.0119353174626887,0.00428961812313317,0.0100557522760877,0.00255384244431284,0.0117617418079769
ENSMFAG00000041700,ACTN2,0.406714437794773,0.411972600354054,0.439893973328746,0.439730208515883,0.458257465752139,0.444089049247928,0.473542583961221,0.442859003919007,0.00937543396099807,0.0114133764930467,0.00335351922187683,0.00324226857569953,0.00128745208691343,0.00389785553487244,0.000759035948184769,0.00336301435624351
ENSMFAG00000041435,KCNK1,0.402893112202787,0.402402476642495,0.405899985358669,0.409392789854057,0.409015195072246,0.400412901591658,0.421384333477985,0.416424151724765,0.00970277396239592,0.0120523458016359,0.00464161409316462,0.00511570966344384,0.00260581304610562,0.00586866664760698,0.00144128617938813,0.00431600986431728
ENSMFAG00000039905,URB2,-0.328316678352775,-0.332316136875291,-0.363628891882876,-0.353044490201293,-0.368711277183007,-0.335730889304787,-0.375952002822354,-0.364324021396087,0.0272678246369216,0.0266461789119505,0.0085981026528353,0.0117381059259049,0.00544674809501313,0.0158154058167136,0.0035516120762291,0.00911254658424641
ENSMFAG00000044318,RHOU,-0.384121634467136,-0.363646113894408,-0.359165403086122,-0.346895335974306,-0.366990549123896,-0.338220207094356,-0.357135506597808,-0.371310510121448,0.0123441210686102,0.0182968036536033,0.00918008536214203,0.013076499945009,0.00561351477246087,0.0151400925349131,0.00534306068990815,0.00838979859101696
ENSMFAG00000041101,LMX1A,-0.323992701895096,-0.32341979325313,-0.33885632135284,-0.342953824569365,-0.348102682682546,-0.340343525645353,-0.31385107181025,-0.326385158426812,0.0290475427962065,0.0303283438105209,0.0133372953783424,0.0136946488044364,0.00869465453098872,0.0146551680715637,0.014951540411703,0.0183908920843126
ENSMFAG00000033900,KLHL20,-0.307840660801213,-0.314308468978256,-0.348629102254356,-0.338696781586958,-0.357355269684123,-0.322919619220577,-0.374762144992942,-0.338804941408464,0.0385938665922122,0.0342084058279601,0.0111413323595381,0.0146315000459991,0.0068774087086347,0.0200930544738722,0.00363793206748981,0.0142753191778863
ENSMFAG00000012707,RF00069,-0.314384311120452,-0.323870712732272,-0.327151549084244,-0.323354255765549,-0.310166723809753,-0.319792457474879,-0.312560652744917,-0.314498154693213,0.0348507831059546,0.0302003368492532,0.0167158888868385,0.0197731218071573,0.0201490993472288,0.0214515432394619,0.0153830584894737,0.0238944929134064
ENSMFAG00000029668,ENSMFAG00000029668,-0.350928044132982,-0.330483760757522,-0.346269064461987,-0.347789620918279,-0.34714224533529,-0.334611781829291,-0.301180305718389,-0.360215029193767,0.0199504076306481,0.0275299969045015,0.0114756073862757,0.0128628517396938,0.00893015816575192,0.0162024351901063,0.0198333115421273,0.00965209089880923
ENSMFAG00000037136,SOAT1,-0.356288191277992,-0.348539681440274,-0.362990907817492,-0.360612961319017,-0.378019174014057,-0.346647496986919,-0.367170861152296,-0.348944285685614,0.0179032187483185,0.0222238948413968,0.00866963139082234,0.0103572719858587,0.00460069087900085,0.0133484416618059,0.00421697297683055,0.0117617418079769
ENSMFAG00000030817,KCNT2,0.388181648680387,0.372981884355438,0.402211276204862,0.387655059934282,0.411620033599807,0.38295626829034,0.402646527381076,0.425603316546747,0.0115849026729577,0.0158228160472117,0.00491091097376289,0.00674786471632661,0.00257849672011281,0.00714819550154067,0.00200482363924025,0.00407677128083624
ENSMFAG00000035416,DDX59,-0.392133477407186,-0.407691039084076,-0.439253870452157,-0.435294608325572,-0.459157376617729,-0.43530879974052,-0.485710999014514,-0.411449262918192,0.0109847567584481,0.0120523458016359,0.0033972377527822,0.00340852719111331,0.00128657508622616,0.00389785553487244,0.00062700957908818,0.00435002102653989
ENSMFAG00000003587,CHI3L1,-0.303401996152806,-0.313627329194343,-0.361585071524239,-0.34893901646833,-0.370478977548614,-0.385570517188254,-0.409369584059427,-0.336282671567784,0.0417746540620842,0.0345570412310669,0.00885986136701467,0.0126227149732035,0.00524296006116639,0.00687822542893513,0.00177014617616421,0.0150791116689656
ENSMFAG00000010454,LRRN2,0.330208264572429,0.34823529616194,0.380749557705291,0.380144331963729,0.390197261289566,0.400004568018525,0.434750542263783,0.363989492200135,0.0267449011402946,0.0222238948413968,0.0065897179961248,0.00751299062999087,0.00366755886367246,0.00586866664760698,0.0011868417708378,0.00916088165084031
ENSMFAG00000038396,CNTN2,-0.31162350111416,-0.30672558703071,-0.351289303489889,-0.335126916992263,-0.366769504862226,-0.33513054969073,-0.384464392144396,-0.350872223204357,0.0365650152388413,0.0386941266996516,0.0106505143729753,0.0156254195489255,0.00563287501033509,0.0160149910159637,0.00290232783774503,0.0114514595641122
