Gene.stable.ID,Gene.name,Gene.type_ensembl,Gene.type_Fig2B
ENSMFAG00000030910,WDR70,protein_coding,protein_coding
ENSMFAG00000031249,GDNF,protein_coding,protein_coding
ENSMFAG00000001590,EGFLAM,protein_coding,protein_coding
ENSMFAG00000036647,LIFR,protein_coding,protein_coding
ENSMFAG00000014306,OSMR,protein_coding,protein_coding
ENSMFAG00000036814,ENSMFAG00000036814,protein_coding,protein_coding
ENSMFAG00000032530,RICTOR,protein_coding,protein_coding
ENSMFAG00000038840,FYB1,protein_coding,protein_coding
ENSMFAG00000039299,C9,protein_coding,protein_coding
ENSMFAG00000000151,DAB2,protein_coding,protein_coding
ENSMFAG00000045707,TTC33,protein_coding,protein_coding
ENSMFAG00000040505,PTGER4,protein_coding,protein_coding
ENSMFAG00000036296,PRKAA1,protein_coding,protein_coding
ENSMFAG00000043057,ENSMFAG00000043057,protein_coding,protein_coding
ENSMFAG00000036194,CARD6,protein_coding,protein_coding
ENSMFAG00000036579,ENSMFAG00000036579,pseudogene,pseudogene
ENSMFAG00000003261,C7,protein_coding,protein_coding
ENSMFAG00000045823,MROH2B,protein_coding,protein_coding
ENSMFAG00000036931,C6,protein_coding,protein_coding
ENSMFAG00000040869,PLCXD3,protein_coding,protein_coding
ENSMFAG00000003998,ENSMFAG00000003998,protein_coding,protein_coding
ENSMFAG00000002268,C5orf51,protein_coding,protein_coding
ENSMFAG00000043560,FBXO4,protein_coding,protein_coding
ENSMFAG00000034540,GHR,protein_coding,protein_coding
ENSMFAG00000030667,CCDC152,protein_coding,protein_coding
ENSMFAG00000043108,ENSMFAG00000043108,protein_coding,protein_coding
ENSMFAG00000017476,ENSMFAG00000017476,protein_coding,protein_coding
ENSMFAG00000023621,ENSMFAG00000023621,protein_coding,protein_coding
ENSMFAG00000028746,ENSMFAG00000028746,protein_coding,protein_coding
ENSMFAG00000024923,ANXA2R,protein_coding,protein_coding
ENSMFAG00000046336,ZNF131,protein_coding,protein_coding
ENSMFAG00000000337,NIM1K,protein_coding,protein_coding
ENSMFAG00000035333,HMGCS1,protein_coding,protein_coding
ENSMFAG00000038784,CCL28,protein_coding,protein_coding
ENSMFAG00000043017,TMEM267,protein_coding,protein_coding
ENSMFAG00000044319,C5orf34,protein_coding,protein_coding
ENSMFAG00000043517,PAIP1,protein_coding,protein_coding
ENSMFAG00000032013,ENSMFAG00000032013,protein_coding,protein_coding
ENSMFAG00000045905,NNT,protein_coding,protein_coding
ENSMFAG00000026353,ENSMFAG00000026353,protein_coding,protein_coding
ENSMFAG00000031740,ENSMFAG00000031740,protein_coding,protein_coding
ENSMFAG00000003698,FGF10,protein_coding,protein_coding
ENSMFAG00000037068,MRPS30,protein_coding,protein_coding
ENSMFAG00000031844,HCN1,protein_coding,protein_coding
ENSMFAG00000034328,ENSMFAG00000034328,protein_coding,protein_coding
ENSMFAG00000003525,EMB,protein_coding,protein_coding
ENSMFAG00000030152,ENSMFAG00000030152,protein_coding,protein_coding
ENSMFAG00000002798,PARP8,protein_coding,protein_coding
ENSMFAG00000035949,ISL1,protein_coding,protein_coding
ENSMFAG00000034671,ITGA1,protein_coding,protein_coding
ENSMFAG00000000651,PELO,protein_coding,protein_coding
ENSMFAG00000031678,ITGA2,protein_coding,protein_coding
ENSMFAG00000037730,ENSMFAG00000037730,protein_coding,protein_coding
ENSMFAG00000030825,FST,protein_coding,protein_coding
ENSMFAG00000033089,NDUFS4,protein_coding,protein_coding
ENSMFAG00000044123,ENSMFAG00000044123,protein_coding,protein_coding
ENSMFAG00000028679,ARL15,protein_coding,protein_coding
ENSMFAG00000038203,RF00026,snRNA,smallRNA
ENSMFAG00000006383,MIR581,miRNA,smallRNA
ENSMFAG00000016507,RF00017,misc_RNA,smallRNA
ENSMFAG00000030683,HSPB3,protein_coding,protein_coding
ENSMFAG00000037950,SNX18,protein_coding,protein_coding
ENSMFAG00000017858,ENSMFAG00000017858,protein_coding,protein_coding
ENSMFAG00000045186,ESM1,protein_coding,protein_coding
ENSMFAG00000033984,GZMK,protein_coding,protein_coding
ENSMFAG00000039153,GZMA,protein_coding,protein_coding
ENSMFAG00000043474,CDC20B,protein_coding,protein_coding
ENSMFAG00000038854,GPX8,protein_coding,protein_coding
ENSMFAG00000004636,MCIDAS,protein_coding,protein_coding
ENSMFAG00000031385,CCNO,protein_coding,protein_coding
ENSMFAG00000003740,DHX29,protein_coding,protein_coding
ENSMFAG00000031610,MTREX,protein_coding,protein_coding
ENSMFAG00000030691,PLPP1,protein_coding,protein_coding
ENSMFAG00000030184,ENSMFAG00000030184,protein_coding,protein_coding
ENSMFAG00000042280,SLC38A9,protein_coding,protein_coding
ENSMFAG00000045335,ENSMFAG00000045335,protein_coding,protein_coding
ENSMFAG00000040186,DDX4,protein_coding,protein_coding
ENSMFAG00000031804,IL31RA,protein_coding,protein_coding
