Type,Region,Number,Lobe,Percentage
lincRNA,32,287,Frontal,0.0471264367816092
lincRNA,3a/b,277,Parietal,0.0461512829056981
lincRNA,44,273,Frontal,0.0446954813359528
lincRNA,45,294,Frontal,0.0499235863474274
lincRNA,46d,278,Frontal,0.0474645723066416
lincRNA,46v,286,Frontal,0.0462783171521036
lincRNA,5,282,Parietal,0.0498145204027557
lincRNA,7a,290,Parietal,0.0508771929824561
lincRNA,7b,292,Parietal,0.0503448275862069
lincRNA,7m,254,Parietal,0.0442354580285615
lincRNA,7op,308,Parietal,0.0521856997627923
lincRNA,8A,295,Frontal,0.048776455026455
lincRNA,8Bd,259,Frontal,0.0456951305575159
lincRNA,8Bm,230,Frontal,0.0383014154870941
lincRNA,8Bs,296,Frontal,0.0494569757727652
lincRNA,9d,266,Frontal,0.0478934101548434
lincRNA,9m,278,Frontal,0.0450129533678756
lincRNA,AI,296,Temporal,0.0495563368491545
lincRNA,AL,275,Temporal,0.0490196078431373
lincRNA,amy,309,Subcortical,0.0404291508569933
lincRNA,cd,407,Subcortical,0.0482456140350877
lincRNA,CL,262,Temporal,0.046987087517934
lincRNA,CM,246,Temporal,0.0442684901925499
lincRNA,F1,296,Frontal,0.0483107556716174
lincRNA,F2,287,Frontal,0.0480495563368492
lincRNA,F3,282,Frontal,0.04943032427695
lincRNA,F4,259,Frontal,0.046457399103139
lincRNA,F5,261,Frontal,0.0459183673469388
lincRNA,F6,245,Frontal,0.0444162436548223
lincRNA,F7,249,Frontal,0.0437686763930392
lincRNA,FST,291,Temporal,0.0490394337714863
lincRNA,G,263,Insula,0.0449112021857924
lincRNA,GPeGPi,404,Subcortical,0.0389547777456369
lincRNA,HC,345,Subcortical,0.0403367239565065
lincRNA,Ia,263,Insula,0.0399696048632219
lincRNA,Ial,279,Insula,0.0455807874530305
lincRNA,Iapl,264,Insula,0.0472525505638088
lincRNA,Iapm,267,Insula,0.0433019785922802
lincRNA,Id,298,Insula,0.0489567931657631
lincRNA,Ig,301,Insula,0.0505457598656591
lincRNA,IPa,253,Temporal,0.0417491749174918
lincRNA,LIPd,267,Parietal,0.0422802850356295
lincRNA,LIPv,292,Parietal,0.0473564709698346
lincRNA,ML,257,Temporal,0.0433828494260635
lincRNA,MST,274,Temporal,0.0443150574154941
lincRNA,NARegion,347,Subcortical,0.0429083714603685
lincRNA,PGa,277,Temporal,0.045313266808441
lincRNA,Pi,170,Insula,0.0298193299421154
lincRNA,Pir,245,Subcortical,0.0360824742268041
lincRNA,PrCo,260,Frontal,0.0464700625558534
lincRNA,pu,345,Subcortical,0.0397465437788018
lincRNA,R,261,Temporal,0.0470864152985748
lincRNA,Ri,198,Insula,0.0323846908734053
lincRNA,RM,301,Temporal,0.0498096971702797
lincRNA,RT,257,Temporal,0.0401437050921587
lincRNA,RTL,302,Temporal,0.0451285116557083
lincRNA,RTM,285,Temporal,0.0432080048514251
lincRNA,SII,256,Parietal,0.0467750776539375
lincRNA,STG,302,Temporal,0.0492900277460421
lincRNA,TAa,229,Temporal,0.0429321334833146
lincRNA,TEa,267,Temporal,0.0317516946129147
lincRNA,TEad,255,Temporal,0.0464565494625615
lincRNA,TEav,277,Temporal,0.0500813596094739
lincRNA,TEm,314,Temporal,0.0515768725361367
lincRNA,TEO,291,Temporal,0.0471713405738369
lincRNA,TEpd,304,Temporal,0.0478966440838191
lincRNA,TEpv,275,Temporal,0.0473729543496985
lincRNA,TFO,257,Temporal,0.0461151982774089
lincRNA,TG,284,Temporal,0.0400790290714084
lincRNA,thalamus,369,Subcortical,0.0416384563303994
lincRNA,TPO,262,Temporal,0.0469365818702974
lincRNA,Tpt,252,Temporal,0.047244094488189
lincRNA,V1,350,Occipital,0.0430928342772716
lincRNA,V2,334,Occipital,0.0456845848721105
lincRNA,V3d,289,Occipital,0.0391864406779661
lincRNA,V3v,291,Occipital,0.043831902394939
lincRNA,V4,265,Occipital,0.0452991452991453
lincRNA,V4v,276,Occipital,0.0439001113408621
lincRNA,VIP,294,Parietal,0.0506372717878057
pseudogene,1-2,46,Parietal,0.00847613782937166
pseudogene,10m,56,Frontal,0.00935985291659702
pseudogene,10o,60,Frontal,0.00988793671720501
pseudogene,11l,58,Frontal,0.0103405241576039
pseudogene,11m,48,Frontal,0.00867208672086721
pseudogene,12l,71,Frontal,0.0112949411390391
pseudogene,12m,49,Frontal,0.00874687611567297
pseudogene,12o,57,Frontal,0.00958627648839556
pseudogene,12r,60,Frontal,0.0101010101010101
pseudogene,13a,75,Frontal,0.0111790132657624
pseudogene,13b,61,Frontal,0.00980707395498392
pseudogene,13l,51,Frontal,0.00874185807336304
pseudogene,13m,49,Frontal,0.00877821569329989
pseudogene,14c,65,Frontal,0.0106105125693764
pseudogene,14r,64,Frontal,0.0104814936128398
pseudogene,23b,74,Cingulate,0.011082821626479
pseudogene,23c,76,Cingulate,0.0119817121236008
pseudogene,24a',61,Cingulate,0.0103565365025467
pseudogene,24b,44,Cingulate,0.00739744451916611
pseudogene,24b',65,Cingulate,0.0106855170146309
pseudogene,24c,65,Cingulate,0.010641781270465
pseudogene,24c',69,Cingulate,0.0116161616161616
pseudogene,25,79,Frontal,0.0110027855153203
pseudogene,32,60,Frontal,0.00985221674876847
pseudogene,3a/b,55,Parietal,0.00916361212929024
pseudogene,44,68,Frontal,0.0111329404060249
pseudogene,45,60,Frontal,0.0101884870096791
pseudogene,46d,57,Frontal,0.0097319446815776
pseudogene,46v,58,Frontal,0.00938511326860841
pseudogene,5,55,Parietal,0.00971559795089207
pseudogene,7a,57,Parietal,0.01
pseudogene,7b,63,Parietal,0.0108620689655172
pseudogene,7m,48,Parietal,0.00835945663531871
pseudogene,7op,52,Parietal,0.00881057268722467
pseudogene,8A,55,Frontal,0.00909391534391534
pseudogene,8Bd,53,Frontal,0.00935074100211715
pseudogene,8Bm,64,Frontal,0.0106577851790175
pseudogene,8Bs,63,Frontal,0.0105263157894737
pseudogene,9d,53,Frontal,0.00954267194814548
pseudogene,9m,61,Frontal,0.00987694300518135
pseudogene,AI,60,Temporal,0.0100452034153692
pseudogene,AL,51,Temporal,0.00909090909090909
pseudogene,amy,81,Subcortical,0.0105979327489206
pseudogene,cd,101,Subcortical,0.0119724988146041
pseudogene,CL,55,Temporal,0.00986370157819225
pseudogene,CM,58,Temporal,0.0104372863055606
pseudogene,F1,62,Frontal,0.010119144769055
pseudogene,F2,55,Frontal,0.00920810313075507
pseudogene,F3,52,Frontal,0.0091148115687993
pseudogene,F4,52,Frontal,0.00932735426008969
pseudogene,F5,56,Frontal,0.00985221674876847
pseudogene,F6,52,Frontal,0.00942712110224801
pseudogene,F7,53,Frontal,0.00931622429249429
pseudogene,FST,66,Temporal,0.0111223458038423
pseudogene,G,54,Insula,0.00922131147540984
pseudogene,GPeGPi,109,Subcortical,0.0105100761739466
pseudogene,HC,101,Subcortical,0.0118087220858178
pseudogene,Ia,66,Insula,0.0100303951367781
pseudogene,Ial,66,Insula,0.0107825518706094
pseudogene,Iapl,53,Insula,0.00948630749955253
pseudogene,Iapm,61,Insula,0.00989296140123256
pseudogene,Id,56,Insula,0.00919993428618367
pseudogene,Ig,62,Insula,0.0104114189756507
pseudogene,IPa,76,Temporal,0.0125412541254125
pseudogene,LIPd,76,Parietal,0.0120348376880443
pseudogene,LIPv,68,Parietal,0.0110282192669478
pseudogene,ML,61,Temporal,0.0102970965563808
pseudogene,MST,67,Temporal,0.0108361636745916
pseudogene,NARegion,100,Subcortical,0.0123655249165327
pseudogene,PGa,72,Temporal,0.0117781776541796
pseudogene,Pi,41,Insula,0.00719172075074548
pseudogene,Pir,69,Subcortical,0.0101620029455081
pseudogene,PrCo,45,Frontal,0.00804289544235925
pseudogene,pu,101,Subcortical,0.0116359447004608
pseudogene,R,59,Temporal,0.0106440555655782
pseudogene,Ri,77,Insula,0.0125940464507687
pseudogene,RM,62,Temporal,0.0102598047327486
pseudogene,RT,72,Temporal,0.0112464854732896
pseudogene,RTL,73,Temporal,0.0109085475194262
pseudogene,RTM,73,Temporal,0.0110673135233475
pseudogene,SII,50,Parietal,0.00913575735428467
pseudogene,STG,64,Temporal,0.0104455687938632
pseudogene,TAa,42,Temporal,0.0078740157480315
pseudogene,TEa,110,Temporal,0.0130812224997027
pseudogene,TEad,53,Temporal,0.00965567498633631
pseudogene,TEav,52,Temporal,0.00940155487253661
pseudogene,TEm,62,Temporal,0.0101839684625493
pseudogene,TEO,65,Temporal,0.0105365537364241
pseudogene,TEpd,75,Temporal,0.0118166062706791
pseudogene,TEpv,57,Temporal,0.00981912144702842
pseudogene,TFO,45,Temporal,0.00807464561277588
pseudogene,TG,84,Temporal,0.0118543607112616
pseudogene,thalamus,104,Subcortical,0.0117354998871587
pseudogene,TPO,47,Temporal,0.00841992117520602
pseudogene,Tpt,51,Temporal,0.00956130483689539
pseudogene,V1,95,Occipital,0.011696626446688
pseudogene,V2,81,Occipital,0.0110791957324579
pseudogene,V3d,82,Occipital,0.0111186440677966
pseudogene,V3v,61,Occipital,0.00918813074258171
pseudogene,V4,57,Occipital,0.00974358974358974
pseudogene,V4v,53,Occipital,0.00843009384444091
pseudogene,VIP,54,Parietal,0.00930072338959697
smallRNA,1-2,754,Parietal,0.138934954855353
smallRNA,10m,1131,Frontal,0.189035600869129
smallRNA,10o,1260,Frontal,0.207646671061305
smallRNA,11l,834,Frontal,0.148689605990373
smallRNA,11m,671,Frontal,0.12122854561879
smallRNA,12l,919,Frontal,0.14619790009545
smallRNA,12m,726,Frontal,0.129596572652624
smallRNA,12o,717,Frontal,0.12058526740666
smallRNA,12r,979,Frontal,0.164814814814815
smallRNA,13a,1100,Frontal,0.163958861231182
smallRNA,13b,1018,Frontal,0.163665594855305
smallRNA,13l,963,Frontal,0.165066849502914
smallRNA,13m,675,Frontal,0.120924399856682
smallRNA,14c,980,Frontal,0.159973881815214
smallRNA,14r,1121,Frontal,0.183589911562398
smallRNA,23b,937,Cingulate,0.140332484648794
smallRNA,23c,854,Cingulate,0.13463660728362
smallRNA,24a',555,Cingulate,0.0942275042444822
smallRNA,24b,373,Cingulate,0.0627101546738399
smallRNA,24b',528,Cingulate,0.0867992766726944
smallRNA,24c,1153,Cingulate,0.188768827766863
smallRNA,24c',684,Cingulate,0.115151515151515
smallRNA,25,1006,Frontal,0.140111420612813
smallRNA,32,943,Frontal,0.154844006568145
smallRNA,3a/b,962,Parietal,0.160279906697767
smallRNA,44,829,Frontal,0.135723641126392
smallRNA,45,1046,Frontal,0.177619290202072
smallRNA,46d,926,Frontal,0.158101417107734
smallRNA,46v,987,Frontal,0.159708737864078
smallRNA,5,877,Parietal,0.154919625507861
smallRNA,7a,854,Parietal,0.149824561403509
smallRNA,7b,897,Parietal,0.154655172413793
smallRNA,7m,582,Parietal,0.101358411703239
smallRNA,7op,1062,Parietal,0.17993900372755
smallRNA,8A,1045,Frontal,0.172784391534392
smallRNA,8Bd,896,Frontal,0.158080451658433
smallRNA,8Bm,687,Frontal,0.114404662781016
smallRNA,8Bs,981,Frontal,0.16390977443609
smallRNA,9d,844,Frontal,0.151962549513864
smallRNA,9m,1010,Frontal,0.163536269430052
smallRNA,AI,972,Temporal,0.16273229532898
smallRNA,AL,783,Temporal,0.139572192513369
smallRNA,amy,1178,Subcortical,0.154127960225043
smallRNA,cd,1555,Subcortical,0.184329065908013
smallRNA,CL,720,Temporal,0.129124820659971
smallRNA,CM,656,Temporal,0.118049307180133
smallRNA,F1,1047,Frontal,0.170882976987106
smallRNA,F2,991,Frontal,0.165913276410514
smallRNA,F3,892,Frontal,0.15635407537248
smallRNA,F4,719,Frontal,0.128968609865471
smallRNA,F5,762,Frontal,0.134060520760028
smallRNA,F6,730,Frontal,0.132342277012328
smallRNA,F7,740,Frontal,0.130075584461241
smallRNA,FST,827,Temporal,0.139366363329963
smallRNA,G,746,Insula,0.127390710382514
smallRNA,GPeGPi,1814,Subcortical,0.174910808986597
smallRNA,HC,1447,Subcortical,0.16918040453642
smallRNA,Ia,889,Insula,0.135106382978723
smallRNA,Ial,931,Insula,0.152099330174808
smallRNA,Iapl,768,Insula,0.137461965276535
smallRNA,Iapm,808,Insula,0.131041193642556
smallRNA,Id,1036,Insula,0.170198784294398
smallRNA,Ig,1072,Insula,0.180016792611251
smallRNA,IPa,833,Temporal,0.137458745874587
smallRNA,LIPd,787,Parietal,0.124623911322249
smallRNA,LIPv,1015,Parietal,0.164612390528706
smallRNA,ML,828,Temporal,0.139770425388251
smallRNA,MST,853,Temporal,0.137958919618308
smallRNA,NARegion,1394,Subcortical,0.172375417336466
smallRNA,PGa,962,Temporal,0.1573695403239
smallRNA,Pi,384,Insula,0.0673566041045431
smallRNA,Pir,753,Subcortical,0.110898379970545
smallRNA,PrCo,748,Frontal,0.133690795352994
smallRNA,pu,1406,Subcortical,0.161981566820277
smallRNA,R,726,Temporal,0.130976005773047
smallRNA,Ri,637,Insula,0.104187111547269
smallRNA,RM,1069,Temporal,0.176898891279166
smallRNA,RT,699,Temporal,0.109184629803187
smallRNA,RTL,1111,Temporal,0.166019127316198
smallRNA,RTM,989,Temporal,0.149939357186173
smallRNA,SII,777,Parietal,0.141969669285584
smallRNA,STG,1364,Temporal,0.22262118491921
smallRNA,TAa,573,Temporal,0.107424071991001
smallRNA,TEa,1272,Temporal,0.15126650017838
smallRNA,TEad,727,Temporal,0.132446711605028
smallRNA,TEav,796,Temporal,0.143916109202676
smallRNA,TEm,1103,Temporal,0.181176084099869
smallRNA,TEO,899,Temporal,0.14572864321608
smallRNA,TEpd,1112,Temporal,0.175200882306602
smallRNA,TEpv,858,Temporal,0.147803617571059
smallRNA,TFO,726,Temporal,0.130270949219451
smallRNA,TG,972,Temporal,0.137171888230313
smallRNA,thalamus,1550,Subcortical,0.174904084856692
smallRNA,TPO,711,Temporal,0.127373701182372
smallRNA,Tpt,601,Temporal,0.112673415823022
smallRNA,V1,1705,Occipital,0.209923664122137
smallRNA,V2,1527,Occipital,0.208863356585966
smallRNA,V3d,1225,Occipital,0.166101694915254
smallRNA,V3v,978,Occipital,0.147311342069589
smallRNA,V4,805,Occipital,0.137606837606838
smallRNA,V4v,878,Occipital,0.139653252743757
smallRNA,VIP,922,Parietal,0.158801240096452
