Region,roi173,NeocortexRegion,Lobe,002,034,067,079,92,qbt,xq,xz,zs,RIN,total_reads,uniquely_mapped,uniquely_mapped_percent,TOTAL_READS,PF_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PF_BASES,PF_ALIGNED_BASES.1,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,WINDOW_SIZE,TOTAL_CLUSTERS,ALIGNED_READS,AT_DROPOUT,GC_DROPOUT,Full_name,Dictionary_lobe,Regional_map
13b,13b,Yes,Frontal,1,2,0,0,4,1,1,1,0,7.89,53666812.7,45374928.4,84.592,98149523.3,98149523.3,95608014.7,0.9762616,13399065660.8,90692997.8,12718953984.7,12464301881.6,0.0059238,0.005893,0.0002628,95547012.6,0.9993622,0,0.5000203,0.0056926,13578052351.5,13399065660.8,3904964215.4,1213255712.6,4024711080.6,4256117435.2,0,34847880.7,646228.5,28.98879,8.96961,30.04215,31.99935,37.9584,37.51294,97.99212,0.3862904,0.6622731,0.6854917,0.9074912,100,51985540.7,103474282.9,36.2063622,0.0523569,"orbitomedial prefrontal cortex,area 13b",Frontal,PFCom
13l,13l,Yes,Frontal,0,2,0,0,0,1,3,1,2,8.33333333333333,58698168.6666667,45832888.5555556,79.1877777777778,115574653.111111,115574653.111111,97581269.8888889,0.856605,13668592355.2222,91564205.5555556,12827529202.0,12508782699.3333,0.0061502222222222,0.0061463333333333,0.0002521111111111,97471963.1111111,0.998776111111111,0,0.500058777777778,0.0061148888888888,15892722154.3333,13668592355.2222,4285814720.33333,1391579614.55556,3544577285.22222,4446598204.55556,0,38238943.0,889281.666666667,31.2331,9.96441111111111,25.6185222222222,33.1837555555556,41.1975,36.0017777777778,97.5155666666667,0.384911,0.658199888888889,0.688159222222222,0.878864555555556,100,62326571.8888889,106643726.333333,36.7356517777778,0.299549555555556,"orbitomedial prefrontal cortex,area 13l",Frontal,PFCol
13m,13m,Yes,Frontal,0,2,0,1,0,1,1,1,1,8.0,55652724.1428571,46358819.0,83.2842857142857,109271705.571429,109271705.571429,97278052.0,0.890617285714286,13729736533.7143,92621397.1428571,13078981616.2857,12764838002.8571,0.0061495714285714,0.0061085714285714,0.0002654285714285,97175654.5714286,0.998823571428571,0,0.500035142857143,0.0059888571428571,15295148629.8571,13729736533.7143,3943180781.57143,1286625077.14286,4335484079.28571,4164436579.28571,0,35044100.4285714,1012492.28571429,29.2788714285714,9.19815714285714,30.7652285714286,30.7576714285714,38.4770285714286,34.4746714285714,97.0198,0.385855142857143,0.638373714285714,0.692302714285714,0.863055,100,58218727.1428571,104431262.714286,32.9734117142857,0.039702,"orbitomedial prefrontal cortex,area 13m",Frontal,PFCom
14c,14c,Yes,Frontal,0,2,0,0,2,1,0,2,1,7.85,54518509.75,45489560.375,83.805,102339270.0,102339270.0,95807355.125,0.945642875,13583595993.875,90901688.875,12898281367.875,12580749587.625,0.006243875,0.0062085,0.00028025,95723899.0,0.999149,0,0.5000265,0.005613375,14485235551.875,13583595993.875,3421423074.0,1227441916.75,4686833005.375,4247880505.125,0,30959313.75,1026117.25,25.468375,8.8736375,33.965425,31.6924375,34.3419875,32.4081625,96.504425,0.361065875,0.669500375,0.72281425,0.87557775,100,54953322.5,103308023.875,28.689331375,0.188390375,"orbitomedial prefrontal area,14c",Frontal,PFCom
14r,14r,Yes,Frontal,1,3,0,0,2,0,3,1,0,8.32,55914859.2,46178197.0,82.326,97525374.6,97525374.6,97315844.0,0.9979434,13517833075.8,92292978.7,12824728401.7,12558892491.2,0.0059618,0.0059334,0.0002502,97248260.6,0.999322,0,0.5000249,0.005697,13661301309.2,13517833075.8,4140678860.4,1237087128.7,3801817283.6,4338234869.9,0,36896810.1,566134.7,30.49972,9.12592,28.03781,32.33646,39.62564,39.24208,98.34632,0.369317,0.6509901,0.7081072,0.867502,100,52911885.6,105568032.7,35.6212894,0.116668,"orbitomedial prefrontal area,14r",Frontal,PFCom
23a,23a,Yes,Cingulate,0,0,0,1,0,0,0,0,0,8.9,50695982.0,39735353.0,78.38,101391964.0,101391964.0,83568491.0,0.824212,11433922701.0,79328548.0,10856343741.0,10471372037.0,0.007753,0.007693,0.000246,83416634.0,0.998183,0,0.500025,0.00623,13726845529.0,11433922701.0,3185007745.0,944561603.0,3890868422.0,3413483757.0,0,28807071.0,534154.0,27.8558,8.261,34.0292,29.854,36.1168,30.0839,98.1795,0.33598,0.658566,0.740401,0.824818,100,54462149.0,91088019.0,31.49587,0.0,,,
23b,23b,Yes,Cingulate,0,1,0,1,0,0,2,0,0,8.45,53375958.25,44612928.75,83.57,106751916.5,106751916.5,92855748.75,0.8695965,12751143185.75,89050752.75,12232201497.25,11842826067.5,0.0071915,0.00715075,0.000247,92672036.5,0.99801575,0,0.5000245,0.00688025,14594173287.25,12751143185.75,4104300820.25,1143303113.25,3830831344.75,3672707023.0,0,36598593.5,547360.25,32.007925,8.9172,30.175725,28.8991,40.9251,35.807375,98.497225,0.36421,0.62837925,0.70635525,0.83796675,100,56563164.75,99220771.25,39.2208775,0.0,"posterior cingulate cortex,area 23b",Cingulate,CCp
23c,23c,Yes,Cingulate,0,1,0,0,0,0,4,0,0,8.24,52792407.2,44100940.6,83.666,105584814.4,105584814.4,92360936.4,0.875771,12705657035.0,88054870.4,12114776417.0,11770354965.4,0.0066324,0.0065994,0.0002224,92206666.4,0.9983388,0,0.5000108,0.006893,14462434580.6,12705657035.0,4547999201.2,1267054552.6,3280477895.8,3610124999.0,0,40322034.8,547535.2,35.8703,9.97644,25.7673,28.38598,45.84674,40.25232,98.63042,0.3692878,0.6241936,0.703743,0.8235112,100,56408323.8,99585031.2,40.5153154,0.0,"posterior cingulate cortex,area 23c",Cingulate,CCp
24a,24a,Yes,Cingulate,0,0,1,0,0,0,0,1,0,8.0,48821974.5,42759029.5,86.45,97643949.0,97643949.0,88748353.0,0.898597,12776049887.5,85449737.0,12310418692.5,12013985317.5,0.0061935,0.0061135,0.0002755,88675227.0,0.9989695,0,0.500012,0.005661,13982109420.0,12776049887.5,3090294358.5,1202516589.0,4834453573.0,3648681699.0,0,28106125.5,1082212.5,25.07575,9.1852,36.86245,28.8759,34.26095,30.6721,96.5623,0.3524805,0.666884,0.7490875,0.8411065,100,51389857.5,93877746.5,23.0907775,0.0,"anterior cingulate cortex,area 24a",Cingulate,CCa
24a',24a',Yes,Cingulate,0,2,0,0,0,0,1,0,0,8.45,64616038.6666667,51888658.0,80.4133333333333,111830067.666667,111830067.666667,111830067.666667,1.0,15388052512.0,103680780.0,14264218600.3333,13920441195.0,0.006347,0.0063583333333333,0.000246,111726633.333333,0.999103333333333,0,0.500019333333333,0.0063263333333333,15529234898.3333,15388052512.0,5054429585.0,1480464978.66667,3730341231.66667,5122816716.66667,0,45148410.6666667,592140.333333333,32.5041,9.67946666666667,24.1774,33.6390666666667,42.1836,41.8052333333333,98.7356666666667,0.359453666666667,0.642374333333333,0.707929666666667,0.860778666666667,100,62771115.3333333,125462505.666667,44.964111,0.0459996666666667,"anterior cingulate cortex,area 24a'",Cingulate,CCa
