module20,celltype,modulesize,markersize,intersect,or,fdr,significant
cyan,SST NPY,191,113,4,3.85879444,0.06148281,False
green,SST NPY,945,113,4,0.73836109,0.8221629,False
purple,SST NPY,399,113,0,0.0,0.4162226,False
lightcyan,SST NPY,166,113,0,0.0,1.0,False
midnightblue,SST NPY,176,113,0,0.0,1.0,False
turquoise,LAMP5 RELN,4736,140,51,1.85180809,0.00173909,Enrich
lightgreen,LAMP6 RELN,141,140,9,10.24525882,9.516182e-06,Enrich
magenta,LAMP7 RELN,491,140,6,1.78551534,0.469642,False
greenyellow,LAMP8 RELN,379,140,0,0.0,1.0,False
grey60,LAMP9 RELN,154,140,0,0.0,1.0,False
brown,LAMP10 RELN,2156,140,6,0.36813454,0.05001035,False
black,LAMP11 RELN,590,140,1,0.23497512,0.4894017,False
tan,LAMP12 RELN,354,140,1,0.39687626,1.0,False
pink,LAMP13 RELN,537,140,0,0.0,0.340555,False
salmon,LAMP14 RELN,201,140,7,5.32565886,0.001325607,Enrich
red,LAMP15 RELN,865,140,0,0.0,0.03872321,Absence
blue,LAMP16 RELN,2738,140,39,2.4512112,0.0001462062,Enrich
yellow,LAMP17 RELN,1108,140,2,0.24531203,0.09151321,False
lightyellow,LAMP18 RELN,141,140,0,0.0,1.0,False
royalblue,LAMP19 RELN,116,140,0,0.0,1.0,False
cyan,LAMP20 RELN,191,140,7,5.61716159,0.002931408,Enrich
green,LAMP21 RELN,945,140,2,0.29054275,0.1832524,False
purple,LAMP22 RELN,399,140,0,0.0,0.3897751,False
lightcyan,LAMP23 RELN,166,140,0,0.0,1.0,False
midnightblue,LAMP24 RELN,176,140,0,0.0,1.0,False
