Unnamed: 0,age2,age3,age4,age5,age6,age7,age8,aggregate,Gene name
ENSMFAG00000040198_SYNE3,-4.320519,-4.40524,-4.898391,-4.668697,-4.830548,-4.972993,-5.050161,-4.591957,SYNE3
ENSMFAG00000033646_BCAS1,-4.394031,-4.334514,-4.865702,-4.547317,-5.00354,-4.713544,-5.296912,-4.684886,BCAS1
ENSMFAG00000002827_ENPP2,-4.617084,-4.484844,-4.758923,-4.627962,-4.717839,-4.948085,-5.005227,-4.589127,ENPP2
ENSMFAG00000001618_PTPDC1,-4.880469,-4.770474,-4.705956,-4.57068,-4.561857,-4.866698,-4.80506,-4.527133,PTPDC1
ENSMFAG00000042864_ZNF536,-4.045906,-4.109935,-4.960869,-4.644651,-5.038049,-4.853845,-5.567056,-4.824498,ZNF536
ENSMFAG00000039378_PYGM,-4.36891,-4.515392,-4.87276,-4.640118,-4.906339,-4.660881,-5.297921,-5.095568,PYGM
ENSMFAG00000023380_RAB9A,-4.548548,-4.549874,-4.735972,-4.62346,-4.712474,-5.019445,-5.075046,-4.398476,RAB9A
ENSMFAG00000043460_PIGT,-4.676696,-4.405014,-4.801246,-4.574033,-4.785417,-4.886534,-5.191336,-4.675917,PIGT
ENSMFAG00000046161_AKNA,-4.897967,-4.598994,-5.011193,-4.428119,-4.53233,-4.82669,-5.155231,-4.677707,AKNA
ENSMFAG00000041526_DHX40,-4.361272,-4.470747,-4.948858,-4.70949,-4.882592,-4.813029,-5.297998,-4.610906,DHX40
ENSMFAG00000035834_MRPS22,-4.661347,-4.53049,-4.795872,-4.936504,-5.016893,-4.620149,-4.982957,-4.678681,MRPS22
ENSMFAG00000040093_PHACTR4,-4.804689,-4.560035,-5.178194,-4.548907,-4.683506,-4.66993,-5.192431,-4.654578,PHACTR4
ENSMFAG00000001363_USP54,-4.36775,-4.220323,-4.971302,-4.776689,-5.107314,-4.802151,-5.41062,-4.687597,USP54
ENSMFAG00000042822_C2orf16,-4.198606,-4.363274,-4.796312,-4.826623,-5.036269,-4.994331,-5.441635,-4.558809,C2orf16
ENSMFAG00000039644_MINDY1,-4.289725,-4.223534,-4.897789,-4.796297,-5.180478,-4.878533,-5.412652,-4.728542,MINDY1
ENSMFAG00000001061_SLC31A2,-4.883585,-4.752266,-4.81776,-4.681901,-4.726183,-4.944524,-4.955678,-4.72173,SLC31A2
ENSMFAG00000037127_WWOX,-4.674586,-4.47828,-5.002481,-4.422952,-4.702683,-4.738698,-5.754315,-4.81431,WWOX
ENSMFAG00000000143_EIF4EBP2,-4.330439,-4.509577,-4.870014,-4.67639,-4.813322,-5.067534,-5.57344,-4.545977,EIF4EBP2
ENSMFAG00000035540_BTBD8,-4.020302,-4.24506,-4.794362,-4.812924,-5.068377,-5.431561,-5.49683,-4.482757,BTBD8
ENSMFAG00000033228_PTH1R,-4.719718,-4.493264,-5.036224,-4.70899,-4.851042,-4.727435,-5.360514,-4.979375,PTH1R
ENSMFAG00000036168_DAAM2,-4.828514,-4.709765,-5.043894,-4.653156,-4.773809,-4.911483,-4.991157,-4.796088,DAAM2
ENSMFAG00000036532_PHF8,-4.454477,-4.331957,-4.980255,-4.819699,-5.020239,-5.041011,-5.357408,-4.8537,PHF8
ENSMFAG00000035672_SF3B1,-4.973412,-4.753834,-4.872298,-4.657341,-4.621992,-4.913787,-5.262245,-4.959065,SF3B1
ENSMFAG00000001502_ADM,-4.082565,-4.173609,-4.608452,-4.401995,-4.560784,-4.39968,-4.808948,-4.464031,ADM
ENSMFAG00000042816_TESK2,-4.754727,-4.563653,-4.876904,-4.801346,-4.972161,-5.016327,-5.082349,-5.058074,TESK2
ENSMFAG00000040716_TSSK6,-4.448946,-4.243064,-4.920076,-4.832897,-5.028288,-5.075491,-5.529707,-4.937283,TSSK6
ENSMFAG00000045762_WDR76,-4.602802,-4.462816,-4.926037,-4.950853,-5.008417,-5.138493,-5.101904,-4.858363,WDR76
ENSMFAG00000038789_CLIC4,-4.908446,-4.773683,-4.994645,-4.771471,-4.893242,-4.867021,-5.000929,-4.78711,CLIC4
ENSMFAG00000045679_PMP22,-4.270574,-4.207238,-4.353445,-4.230279,-4.290323,-4.327641,-4.425165,-4.240899,PMP22
ENSMFAG00000040128_CLDN11,-4.078382,-3.945788,-4.197827,-4.174098,-4.336226,-4.316506,-4.517931,-4.178717,CLDN11
ENSMFAG00000039731_QDPR,-3.872756,-3.793419,-4.231123,-4.206204,-4.55399,-4.125009,-4.77569,-4.451297,QDPR
ENSMFAG00000030899_GTF3C3,-4.908846,-4.619669,-4.844798,-4.835956,-4.852473,-5.037122,-5.37572,-4.809304,GTF3C3
ENSMFAG00000036113_LRP5,-4.599315,-4.626885,-5.34991,-4.693921,-4.904413,-5.033842,-5.323913,-4.709868,LRP5
ENSMFAG00000043620_PDE8A,-4.52494,-4.627448,-4.899758,-4.847006,-4.945753,-5.373732,-5.319604,-4.58493,PDE8A
ENSMFAG00000036090_CYB5R4,-4.887797,-4.825144,-5.058576,-4.698128,-4.73426,-4.93892,-5.400477,-4.662711,CYB5R4
ENSMFAG00000044357_VPS8,-4.549571,-4.320714,-5.067352,-5.211942,-5.32014,-4.898477,-5.177636,-4.987711,VPS8
ENSMFAG00000046401_ABCA8,-4.857595,-4.664073,-4.998093,-4.83511,-4.99291,-5.045082,-5.185777,-4.761628,ABCA8
ENSMFAG00000044119_CLIP4,-4.963056,-4.681247,-4.870968,-5.075237,-5.149552,-4.862022,-5.175915,-4.956478,CLIP4
ENSMFAG00000039721_ZNF557,-4.473296,-4.544606,-5.001322,-4.810861,-4.970907,-5.344861,-5.682467,-4.821485,ZNF557
ENSMFAG00000041605_PPP4R1,-4.548997,-4.773709,-5.171938,-4.936652,-5.010135,-5.205056,-5.250444,-4.794815,PPP4R1
ENSMFAG00000033116_KCTD20,-4.557428,-4.568128,-4.983438,-5.164071,-5.509011,-4.803179,-5.537059,-5.28732,KCTD20
ENSMFAG00000000316_ST18,-4.660617,-4.667269,-5.071365,-4.942959,-5.1506,-5.27466,-5.419125,-4.803774,ST18
ENSMFAG00000036850_GSTK1,-4.717571,-4.685971,-5.044379,-5.076521,-5.282662,-5.014545,-5.3996,-5.200659,GSTK1
ENSMFAG00000038654_CCDC163,-4.321736,-4.660129,-5.093907,-4.959173,-5.280822,-5.180219,-5.810971,-5.018013,CCDC163
ENSMFAG00000035980_KAT2B,-4.835078,-4.944389,-5.459015,-4.753833,-4.973592,-4.934099,-5.465067,-4.908748,KAT2B
ENSMFAG00000002333_ZKSCAN8,-4.678694,-4.752918,-5.105343,-5.025389,-5.128027,-5.202507,-5.528252,-4.99172,ZKSCAN8
ENSMFAG00000041825_CHD7,-5.057017,-4.768829,-5.405016,-4.67899,-5.102857,-4.969603,-5.688636,-4.922109,CHD7
ENSMFAG00000001731_VAMP3,-4.347508,-4.248805,-4.31369,-4.063415,-4.061212,-4.211121,-4.289097,-4.043462,VAMP3
ENSMFAG00000044300_NDRG1,-4.457514,-4.464993,-5.089863,-5.159243,-5.542952,-5.278921,-5.802761,-4.999036,NDRG1
ENSMFAG00000034637_HS3ST1  ,-4.669321,-4.708058,-5.378061,-4.688801,-4.912668,-5.350795,-6.12548,-4.732995,HS3ST1  
ENSMFAG00000030574_PIK3R4,-4.635912,-4.65968,-5.117094,-5.099478,-5.291696,-5.20902,-5.822159,-5.139659,PIK3R4
ENSMFAG00000033659_PIK3C2A,-4.875606,-4.860576,-5.3452,-4.840694,-5.000722,-5.056272,-5.859031,-4.781172,PIK3C2A
ENSMFAG00000001564_SENP1,-4.785221,-4.80059,-5.322537,-4.983495,-5.114105,-5.295413,-5.616279,-4.945828,SENP1
ENSMFAG00000034612_ITGB1,-4.032612,-3.775624,-4.227928,-4.007677,-4.239836,-3.90885,-4.345136,-4.015192,ITGB1
ENSMFAG00000027132_PAIP2B,-4.901647,-5.010379,-5.172368,-5.062099,-5.075272,-5.404384,-5.302357,-4.916512,PAIP2B
ENSMFAG00000038431_SEPT4,-4.397594,-4.477899,-5.209109,-5.087239,-5.545602,-5.229282,-5.993512,-5.26438,SEPT4
ENSMFAG00000000621_CNP,-3.689601,-3.620752,-4.018352,-3.997809,-4.288533,-4.098033,-4.445638,-4.066735,CNP
ENSMFAG00000042642_KCNK10,-5.052222,-4.954481,-5.276372,-5.110312,-5.119004,-5.162336,-5.345811,-5.340593,KCNK10
ENSMFAG00000031797_DIP2B,-4.053866,-3.876104,-4.019552,-3.916495,-4.055759,-3.871181,-4.068799,-4.043063,DIP2B
ENSMFAG00000037120_PLEKHH2,-5.29117,-5.085372,-5.292203,-4.889861,-4.954603,-5.259435,-5.280188,-5.015222,PLEKHH2
ENSMFAG00000006848_RF01278,-4.565212,-4.710013,-5.298669,-5.172581,-5.407248,-5.437149,-5.473049,-4.946893,RF01278
ENSMFAG00000000427_ANKAR,-5.139057,-4.57275,-5.518294,-4.988901,-5.146167,-5.270372,-5.550216,-4.957477,ANKAR
ENSMFAG00000035416_DDX59,-5.192854,-4.83645,-5.234822,-5.147459,-5.174637,-5.320333,-5.359379,-5.183741,DDX59
ENSMFAG00000039094_STK26,-4.541789,-4.764911,-5.562255,-5.067571,-5.192711,-5.386021,-5.987499,-5.155958,STK26
ENSMFAG00000039905_URB2,-4.992957,-4.894215,-5.579512,-4.909543,-5.118448,-5.157397,-5.939327,-5.262133,URB2
ENSMFAG00000040290_DEPTOR,-5.182615,-4.891056,-5.653479,-4.739489,-4.978098,-5.387752,-5.778712,-4.82686,DEPTOR
ENSMFAG00000043339_PRLH,-5.118938,-5.01756,-5.513538,-4.965454,-5.054606,-5.194838,-5.760144,-4.975115,PRLH
ENSMFAG00000034115_CD38,-3.936915,-3.641509,-3.827671,-3.695603,-3.762285,-3.887122,-3.973426,-3.788051,CD38
ENSMFAG00000001732_DOCK5,-4.958059,-4.874846,-5.30348,-5.195548,-5.400201,-5.36881,-5.629322,-5.122228,DOCK5
