GeneID,Gene.name,Gene.type,M20,View,Hub,Cell type,Neurotransmitter
ENSMFAG00000003816,GABRA3,protein_coding,cyan,M4,M4,,GABA
ENSMFAG00000039008,RUNDC3A,protein_coding,green,M4,,,
ENSMFAG00000039324,DDA1,protein_coding,green,M4,,,
ENSMFAG00000006791,CHCHD6,protein_coding,green,M4,M4,,
ENSMFAG00000007057,RAC3,protein_coding,green,M4,M4,,
ENSMFAG00000039479,RPL18,protein_coding,midnightblue,M4,,,
ENSMFAG00000039495,ENSMFAG00000039495,protein_coding,cyan,M4,,,
ENSMFAG00000039506,TMEM179,protein_coding,lightcyan,M4,,,
ENSMFAG00000039531,RPS14,protein_coding,midnightblue,M4,,,
ENSMFAG00000039711,MAGED1,protein_coding,cyan,M4,,,
ENSMFAG00000039838,GUK1,protein_coding,green,M4,,,
ENSMFAG00000039891,NSMF,protein_coding,green,M4,,,
ENSMFAG00000040127,MAZ,protein_coding,green,M4,,,
ENSMFAG00000040130,BLVRB,protein_coding,green,M4,,,
ENSMFAG00000034083,NUDT14,protein_coding,green,M4,M4,,
ENSMFAG00000040175,MCHR2,protein_coding,cyan,M4,,,
ENSMFAG00000040265,TSPAN17,protein_coding,green,M4,,,
ENSMFAG00000035607,JPT1,protein_coding,green,M4,M4,,
ENSMFAG00000040976,B4GAT1,protein_coding,green,M4,,,
ENSMFAG00000037763,NBL1,protein_coding,green,M4,M4,,
ENSMFAG00000041162,STOML1,protein_coding,green,M4,,,
ENSMFAG00000039346,GIT1,protein_coding,green,M4,M4,,
ENSMFAG00000041403,GRASP,protein_coding,green,M4,,,
ENSMFAG00000041506,YDJC,protein_coding,green,M4,,,
ENSMFAG00000041603,AKR7A2,protein_coding,green,M4,,,
ENSMFAG00000041707,NIPSNAP1,protein_coding,green,M4,,,
ENSMFAG00000041754,SIRT3,protein_coding,green,M4,,,
ENSMFAG00000041894,TMSB10,protein_coding,green,M4,,,
ENSMFAG00000041932,ENSMFAG00000041932,protein_coding,lightcyan,M4,,,
ENSMFAG00000042025,MTCH1,protein_coding,green,M4,M4,,
ENSMFAG00000044279,STK25,protein_coding,green,M4,M4,,
ENSMFAG00000045827,ARHGEF4,protein_coding,green,M4,M4,AST,
ENSMFAG00000042035,DDB1,protein_coding,green,M4,,,
ENSMFAG00000042144,TUBA1A,protein_coding,green,M4,,,
ENSMFAG00000042363,VWA3B,protein_coding,cyan,M4,,,
ENSMFAG00000042531,KLK5,protein_coding,cyan,M4,,,
ENSMFAG00000042595,MAN1B1,protein_coding,green,M4,,,
ENSMFAG00000042652,ENSMFAG00000042652,protein_coding,midnightblue,M4,,,
ENSMFAG00000043056,CRIM1,protein_coding,cyan,M4,,ExcN,
ENSMFAG00000043305,RITA1,protein_coding,green,M4,,,
ENSMFAG00000043404,FAM219A,protein_coding,green,M4,,,
ENSMFAG00000043421,SREBF2,protein_coding,green,M4,,,
ENSMFAG00000043525,MAP6,protein_coding,green,M4,,,
ENSMFAG00000043573,GRID2,protein_coding,cyan,M4,,"ExcN,IhnN,OPC",
ENSMFAG00000043807,TP73,protein_coding,cyan,M4,,,
ENSMFAG00000044075,ENSMFAG00000044075,protein_coding,midnightblue,M4,,,
ENSMFAG00000044103,SIGMAR1,protein_coding,green,M4,,,
ENSMFAG00000044147,WNT2,protein_coding,cyan,M4,,,
ENSMFAG00000044161,NAA10,protein_coding,green,M4,,,
ENSMFAG00000044214,MX1,protein_coding,cyan,M4,,,
ENSMFAG00000044340,TUBB2B,protein_coding,green,M4,,AST,
ENSMFAG00000044377,RPS6,protein_coding,midnightblue,M4,,,
ENSMFAG00000044436,ERI3,protein_coding,green,M4,,AST,
ENSMFAG00000044454,LY6E,protein_coding,green,M4,,,
ENSMFAG00000044553,GALNT17,protein_coding,cyan,M4,,ExcN,
ENSMFAG00000044574,RPS11,protein_coding,midnightblue,M4,,,
ENSMFAG00000044706,ENSMFAG00000044706,protein_coding,cyan,M4,,,
ENSMFAG00000044741,BCL2L1,protein_coding,green,M4,,,
ENSMFAG00000044809,WNT7A,protein_coding,cyan,M4,,,
ENSMFAG00000044825,TSEN34,protein_coding,green,M4,,,
ENSMFAG00000044917,ENSMFAG00000044917,protein_coding,green,M4,,,
ENSMFAG00000044997,BCS1L,protein_coding,green,M4,,,
ENSMFAG00000045009,RBFA,protein_coding,green,M4,,,
ENSMFAG00000045014,C12orf42,protein_coding,cyan,M4,,,
ENSMFAG00000045048,RAB15,protein_coding,green,M4,,,
ENSMFAG00000045054,ENSMFAG00000045054,protein_coding,green,M4,,,
ENSMFAG00000045190,RPL32,protein_coding,midnightblue,M4,,,
ENSMFAG00000045199,NDUFAF8,protein_coding,green,M4,,,
ENSMFAG00000045210,TSTA3,protein_coding,green,M4,,,
ENSMFAG00000045528,GNB1L,protein_coding,green,M4,,,
ENSMFAG00000045548,ENSMFAG00000045548,protein_coding,cyan,M4,,,
ENSMFAG00000045774,ENSMFAG00000045774,protein_coding,green,M4,,,
ENSMFAG00000045790,MAFK,protein_coding,cyan,M4,,,
ENSMFAG00000046092,RPS23,protein_coding,midnightblue,M4,,,
ENSMFAG00000046322,PCDH10,protein_coding,cyan,M4,,ExcN,
,,,,,,,
,,,,,,,
Genes in each module were chosen with intro-module expression similarity > 0.3,,,,,,,
