Group,Category,Term,Description,Log(p-FDR-corrected),InTerm_InList,Genes,Symbols
,GO Biological Processes,GO:0048858,cell projection morphogenesis,-5.3933550505,47/638,"351,575,1002,1742,1948,2290,2596,2817,2909,3897,4133,4137,4681,5076,5361,5818,6091,6585,6722,7476,8851,8936,9241,9344,9369,10458,10501,10752,11178,23542,28988,29993,50944,51393,51760,53358,55201,55715,57699,64221,64919,84062,128434,152330,170302,222950,284656","APP,ADGRB1,CDH4,DLG4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,MAP2,MAPT,NBL1,PAX2,PLXNA1,NECTIN1,ROBO1,SLIT1,SRF,WNT7A,CDK5R1,WASF1,NOG,TAOK2,NRXN3,BAIAP2,SEMA6B,CHL1,LZTS1,MAPK8IP2,DBNL,PACSIN1,SHANK1,TRPV2,SYT17,SHC3,MAP1S,DOK4,CPNE5,ROBO3,BCL11B,DTNBP1,VSTM2L,CNTN4,ARX,NYAP1,EPHA10"
,GO Biological Processes,GO:0032989,cellular component morphogenesis,-4.7889789893,50/736,"70,88,351,575,1002,1742,1948,2290,2596,2817,2909,3897,4133,4137,4681,5076,5361,5818,6091,6585,6722,7476,8851,8936,9241,9344,9369,10458,10501,10752,11178,23542,28988,29993,50944,51393,51760,53358,55022,55201,55715,57699,64221,64919,84062,128434,152330,170302,222950,284656","ACTC1,ACTN2,APP,ADGRB1,CDH4,DLG4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,MAP2,MAPT,NBL1,PAX2,PLXNA1,NECTIN1,ROBO1,SLIT1,SRF,WNT7A,CDK5R1,WASF1,NOG,TAOK2,NRXN3,BAIAP2,SEMA6B,CHL1,LZTS1,MAPK8IP2,DBNL,PACSIN1,SHANK1,TRPV2,SYT17,SHC3,PID1,MAP1S,DOK4,CPNE5,ROBO3,BCL11B,DTNBP1,VSTM2L,CNTN4,ARX,NYAP1,EPHA10"
,GO Biological Processes,GO:0007409,axonogenesis,-4.6422774117,36/446,"351,575,1002,1948,2290,2596,2817,2909,3897,4133,4137,5076,5361,5818,6091,6585,6722,7476,8851,9241,9344,9369,10458,10501,10752,28988,51393,53358,55201,55715,64221,64919,128434,152330,170302,284656","APP,ADGRB1,CDH4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,MAP2,MAPT,PAX2,PLXNA1,NECTIN1,ROBO1,SLIT1,SRF,WNT7A,CDK5R1,NOG,TAOK2,NRXN3,BAIAP2,SEMA6B,CHL1,DBNL,TRPV2,SHC3,MAP1S,DOK4,ROBO3,BCL11B,VSTM2L,CNTN4,ARX,EPHA10"
,GO Biological Processes,GO:0048667,cell morphogenesis involved in neuron differentiation,-4.4094202763,41/562,"351,575,1002,1742,1948,2290,2596,2817,2909,3897,4133,4137,5076,5361,5818,6091,6585,6722,7476,8851,9241,9344,9369,10458,10501,10752,11178,23542,28988,50944,51393,53358,55201,55715,64221,64919,84062,128434,152330,170302,284656","APP,ADGRB1,CDH4,DLG4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,MAP2,MAPT,PAX2,PLXNA1,NECTIN1,ROBO1,SLIT1,SRF,WNT7A,CDK5R1,NOG,TAOK2,NRXN3,BAIAP2,SEMA6B,CHL1,LZTS1,MAPK8IP2,DBNL,SHANK1,TRPV2,SHC3,MAP1S,DOK4,ROBO3,BCL11B,DTNBP1,VSTM2L,CNTN4,ARX,EPHA10"
,GO Biological Processes,GO:0007411,axon guidance,-3.7620077392,25/268,"351,1002,1948,2290,2596,2817,2909,3897,5361,5818,6091,6585,8851,9241,9369,10501,10752,53358,55715,64221,64919,128434,152330,170302,284656","APP,CDH4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,PLXNA1,NECTIN1,ROBO1,SLIT1,CDK5R1,NOG,NRXN3,SEMA6B,CHL1,SHC3,DOK4,ROBO3,BCL11B,VSTM2L,CNTN4,ARX,EPHA10"
,GO Biological Processes,GO:0097485,neuron projection guidance,-3.7465585888,25/269,"351,1002,1948,2290,2596,2817,2909,3897,5361,5818,6091,6585,8851,9241,9369,10501,10752,53358,55715,64221,64919,128434,152330,170302,284656","APP,CDH4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,PLXNA1,NECTIN1,ROBO1,SLIT1,CDK5R1,NOG,NRXN3,SEMA6B,CHL1,SHC3,DOK4,ROBO3,BCL11B,VSTM2L,CNTN4,ARX,EPHA10"
,GO Biological Processes,GO:0000904,cell morphogenesis involved in differentiation,-3.6132342761,45/700,"87,351,575,1002,1742,1948,2290,2596,2817,2909,3897,3914,4133,4137,5076,5361,5818,6091,6585,6722,7476,8851,9241,9344,9369,10458,10501,10752,11178,23094,23542,28988,50944,51393,53358,55201,55715,57091,64221,64919,84062,128434,152330,170302,284656","ACTN1,APP,ADGRB1,CDH4,DLG4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,LAMB3,MAP2,MAPT,PAX2,PLXNA1,NECTIN1,ROBO1,SLIT1,SRF,WNT7A,CDK5R1,NOG,TAOK2,NRXN3,BAIAP2,SEMA6B,CHL1,LZTS1,SIPA1L3,MAPK8IP2,DBNL,SHANK1,TRPV2,SHC3,MAP1S,DOK4,CASS4,ROBO3,BCL11B,DTNBP1,VSTM2L,CNTN4,ARX,EPHA10"
,GO Biological Processes,GO:0006935,chemotaxis,-2.0754229754,35/576,"351,409,1002,1948,1960,2185,2290,2596,2817,2909,3269,3897,4681,5361,5580,5818,6091,6585,8851,9241,9369,9564,9647,10501,10752,11151,53358,55715,57449,64221,64919,128434,152330,170302,284656","APP,ARRB2,CDH4,EFNB2,EGR3,PTK2B,FOXG1,GAP43,GPC1,ARHGAP35,HRH1,L1CAM,NBL1,PLXNA1,PRKCD,NECTIN1,ROBO1,SLIT1,CDK5R1,NOG,NRXN3,BCAR1,PPM1F,SEMA6B,CHL1,CORO1A,SHC3,DOK4,PLEKHG5,ROBO3,BCL11B,VSTM2L,CNTN4,ARX,EPHA10"
,GO Biological Processes,GO:0042330,taxis,-2.0551940922,35/578,"351,409,1002,1948,1960,2185,2290,2596,2817,2909,3269,3897,4681,5361,5580,5818,6091,6585,8851,9241,9369,9564,9647,10501,10752,11151,53358,55715,57449,64221,64919,128434,152330,170302,284656","APP,ARRB2,CDH4,EFNB2,EGR3,PTK2B,FOXG1,GAP43,GPC1,ARHGAP35,HRH1,L1CAM,NBL1,PLXNA1,PRKCD,NECTIN1,ROBO1,SLIT1,CDK5R1,NOG,NRXN3,BCAR1,PPM1F,SEMA6B,CHL1,CORO1A,SHC3,DOK4,PLEKHG5,ROBO3,BCL11B,VSTM2L,CNTN4,ARX,EPHA10"
learning,GO Biological Processes,GO:0007612,learning,-4.7962729469,18/124,"351,1621,1742,2902,3269,4761,4885,5153,6543,6722,9369,10882,23542,50944,54112,57338,84687,266743","APP,DBH,DLG4,GRIN1,HRH1,NEUROD2,NPTX2,PDE1B,SLC8A2,SRF,NRXN3,C1QL1,MAPK8IP2,SHANK1,GPR88,JPH3,PPP1R9B,NPAS4"
,GO Biological Processes,GO:0007611,learning or memory,-4.6625004545,24/221,"267,351,1268,1621,1742,2902,3269,4137,4761,4885,5153,5582,6543,6722,9369,10882,23373,23542,50801,50944,54112,57338,84687,266743","AMFR,APP,CNR1,DBH,DLG4,GRIN1,HRH1,MAPT,NEUROD2,NPTX2,PDE1B,PRKCG,SLC8A2,SRF,NRXN3,C1QL1,CRTC1,MAPK8IP2,KCNK4,SHANK1,GPR88,JPH3,PPP1R9B,NPAS4"
,GO Biological Processes,GO:0050890,cognition,-3.6756785199,24/254,"267,351,1268,1621,1742,2902,3269,4137,4761,4885,5153,5582,6543,6722,9369,10882,23373,23542,50801,50944,54112,57338,84687,266743","AMFR,APP,CNR1,DBH,DLG4,GRIN1,HRH1,MAPT,NEUROD2,NPTX2,PDE1B,PRKCG,SLC8A2,SRF,NRXN3,C1QL1,CRTC1,MAPK8IP2,KCNK4,SHANK1,GPR88,JPH3,PPP1R9B,NPAS4"
,GO Biological Processes,GO:0007610,behavior,-3.2968093401,35/498,"100,267,351,409,1268,1621,1742,2902,2906,2911,3269,3350,4097,4137,4761,4885,5153,5413,5582,6543,6722,6939,7068,9369,10882,23373,23542,27286,50801,50944,54112,55515,57338,84687,266743","ADA,AMFR,APP,ARRB2,CNR1,DBH,DLG4,GRIN1,GRIN2D,GRM1,HRH1,HTR1A,MAFG,MAPT,NEUROD2,NPTX2,PDE1B,SEPTIN5,PRKCG,SLC8A2,SRF,TCF15,THRB,NRXN3,C1QL1,CRTC1,MAPK8IP2,SRPX2,KCNK4,SHANK1,GPR88,ASIC4,JPH3,PPP1R9B,NPAS4"
,GO Biological Processes,GO:0008306,associative learning,-1.7214049194,9/65,"351,1621,2902,3269,4761,4885,5153,6722,50944","APP,DBH,GRIN1,HRH1,NEUROD2,NPTX2,PDE1B,SRF,SHANK1"
,GO Biological Processes,GO:0007613,memory,-1.4384318211,11/105,"1268,1621,3269,4137,6543,6722,23373,50801,50944,57338,266743","CNR1,DBH,HRH1,MAPT,SLC8A2,SRF,CRTC1,KCNK4,SHANK1,JPH3,NPAS4"
,GO Biological Processes,GO:0008542,visual learning,-0.5590727906,5/40,"351,1621,2902,3269,5153","APP,DBH,GRIN1,HRH1,PDE1B"
,GO Biological Processes,GO:0007632,visual behavior,-0.4603222715,5/44,"351,1621,2902,3269,5153","APP,DBH,GRIN1,HRH1,PDE1B"
axon choice point recognition,GO Biological Processes,GO:0016198,axon choice point recognition,-3.6756785199,5/7,"351,2290,2596,6091,64221","APP,FOXG1,GAP43,ROBO1,ROBO3"
,GO Biological Processes,GO:0008038,neuron recognition,-3.5415819865,10/46,"351,1268,2290,2596,2909,6091,8851,64221,128434,152330","APP,CNR1,FOXG1,GAP43,ARHGAP35,ROBO1,CDK5R1,ROBO3,VSTM2L,CNTN4"
,GO Biological Processes,GO:0016199,axon midline choice point recognition,-2.9229586572,4/5,"351,2290,6091,64221","APP,FOXG1,ROBO1,ROBO3"
,GO Biological Processes,GO:0008037,cell recognition,-1.0169798257,12/144,"351,575,1268,2290,2596,2909,6091,8851,11151,64221,128434,152330","APP,ADGRB1,CNR1,FOXG1,GAP43,ARHGAP35,ROBO1,CDK5R1,CORO1A,ROBO3,VSTM2L,CNTN4"
regulation of ion transmembrane transport,GO Biological Processes,GO:0034765,regulation of ion transmembrane transport,-3.6756785199,37/516,"40,88,351,808,1742,2185,2281,2902,3208,3738,3761,3762,3768,3781,3785,4878,5924,6332,8912,11151,23416,23542,25999,50801,50944,55022,56704,57338,59285,81033,84502,113451,170850,255057,338557,387129,100134444","ASIC2,ACTN2,APP,CALM3,DLG4,PTK2B,FKBP1B,GRIN1,HPCA,KCNA3,KCNJ4,KCNJ5,KCNJ12,KCNN2,KCNQ2,NPPA,RASGRF2,SCN7A,CACNA1H,CORO1A,KCNH3,MAPK8IP2,CLIP3,KCNK4,SHANK1,PID1,JPH1,JPH3,CACNG6,KCNH6,JPH4,AZIN2,KCNG3,CBARP,FFAR4,NPSR1,KCNJ18"
,GO Biological Processes,GO:0034762,regulation of transmembrane transport,-3.6132342761,37/520,"40,88,351,808,1742,2185,2281,2902,3208,3738,3761,3762,3768,3781,3785,4878,5924,6332,8912,11151,23416,23542,25999,50801,50944,55022,56704,57338,59285,81033,84502,113451,170850,255057,338557,387129,100134444","ASIC2,ACTN2,APP,CALM3,DLG4,PTK2B,FKBP1B,GRIN1,HPCA,KCNA3,KCNJ4,KCNJ5,KCNJ12,KCNN2,KCNQ2,NPPA,RASGRF2,SCN7A,CACNA1H,CORO1A,KCNH3,MAPK8IP2,CLIP3,KCNK4,SHANK1,PID1,JPH1,JPH3,CACNG6,KCNH6,JPH4,AZIN2,KCNG3,CBARP,FFAR4,NPSR1,KCNJ18"
,GO Biological Processes,GO:2001257,regulation of cation channel activity,-2.1049384173,16/167,"88,351,808,1742,2185,2281,2902,3208,4878,5924,23542,50944,56704,57338,84502,255057","ACTN2,APP,CALM3,DLG4,PTK2B,FKBP1B,GRIN1,HPCA,NPPA,RASGRF2,MAPK8IP2,SHANK1,JPH1,JPH3,JPH4,CBARP"
,GO Biological Processes,GO:0098662,inorganic cation transmembrane transport,-1.8982070259,40/713,"40,88,808,2185,2281,2902,2906,3208,3738,3761,3762,3768,3775,3781,3785,4878,6332,6534,6543,7781,8912,9914,11151,22821,23416,26504,50801,51393,55515,56704,57338,59285,79085,81033,84502,170850,255057,343450,387129,100134444","ASIC2,ACTN2,CALM3,PTK2B,FKBP1B,GRIN1,GRIN2D,HPCA,KCNA3,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,KCNQ2,NPPA,SCN7A,SLC6A7,SLC8A2,SLC30A3,CACNA1H,ATP2C2,CORO1A,RASA3,KCNH3,CNNM4,KCNK4,TRPV2,ASIC4,JPH1,JPH3,CACNG6,SLC25A23,KCNH6,JPH4,KCNG3,CBARP,KCNT2,NPSR1,KCNJ18"
,GO Biological Processes,GO:0097553,calcium ion transmembrane import into cytosol,-1.7514352379,13/127,"808,2185,2281,2902,2906,6543,11151,22821,51393,56704,57338,84502,387129","CALM3,PTK2B,FKBP1B,GRIN1,GRIN2D,SLC8A2,CORO1A,RASA3,TRPV2,JPH1,JPH3,JPH4,NPSR1"
,GO Biological Processes,GO:0060402,calcium ion transport into cytosol,-1.7483339812,14/145,"808,2185,2281,2902,2906,5026,6543,11151,22821,51393,56704,57338,84502,387129","CALM3,PTK2B,FKBP1B,GRIN1,GRIN2D,P2RX5,SLC8A2,CORO1A,RASA3,TRPV2,JPH1,JPH3,JPH4,NPSR1"
,GO Biological Processes,GO:0060401,cytosolic calcium ion transport,-1.7365832738,15/164,"808,2185,2281,2902,2906,5026,6543,11151,22821,51393,56704,57338,79085,84502,387129","CALM3,PTK2B,FKBP1B,GRIN1,GRIN2D,P2RX5,SLC8A2,CORO1A,RASA3,TRPV2,JPH1,JPH3,SLC25A23,JPH4,NPSR1"
,GO Biological Processes,GO:0051924,regulation of calcium ion transport,-1.480539995,17/217,"409,808,2185,2281,2902,3208,4878,5026,9914,11151,51393,56704,57338,59285,84502,255057,387129","ARRB2,CALM3,PTK2B,FKBP1B,GRIN1,HPCA,NPPA,P2RX5,ATP2C2,CORO1A,TRPV2,JPH1,JPH3,CACNG6,JPH4,CBARP,NPSR1"
,GO Biological Processes,GO:0070588,calcium ion transmembrane transport,-1.40308683,20/285,"808,2185,2281,2902,2906,3208,4878,6543,8912,9914,11151,22821,51393,56704,57338,59285,79085,84502,255057,387129","CALM3,PTK2B,FKBP1B,GRIN1,GRIN2D,HPCA,NPPA,SLC8A2,CACNA1H,ATP2C2,CORO1A,RASA3,TRPV2,JPH1,JPH3,CACNG6,SLC25A23,JPH4,CBARP,NPSR1"
,GO Biological Processes,GO:0010522,regulation of calcium ion transport into cytosol,-1.3862000602,10/90,"808,2185,2281,2902,5026,11151,56704,57338,84502,387129","CALM3,PTK2B,FKBP1B,GRIN1,P2RX5,CORO1A,JPH1,JPH3,JPH4,NPSR1"
,GO Biological Processes,GO:0010959,regulation of metal ion transport,-1.3471882481,17/225,"409,808,2185,2281,2902,3208,4878,5026,9914,11151,51393,56704,57338,59285,84502,255057,387129","ARRB2,CALM3,PTK2B,FKBP1B,GRIN1,HPCA,NPPA,P2RX5,ATP2C2,CORO1A,TRPV2,JPH1,JPH3,CACNG6,JPH4,CBARP,NPSR1"
,GO Biological Processes,GO:1903169,regulation of calcium ion transmembrane transport,-1.2103637098,12/133,"808,2185,2281,3208,4878,11151,56704,57338,59285,84502,255057,387129","CALM3,PTK2B,FKBP1B,HPCA,NPPA,CORO1A,JPH1,JPH3,CACNG6,JPH4,CBARP,NPSR1"
,GO Biological Processes,GO:0007204,positive regulation of cytosolic calcium ion concentration,-1.1167916962,19/284,"147,808,1268,1742,2185,2281,2902,2906,2911,5026,6543,11151,22821,51393,56704,57338,84502,338557,387129","ADRA1B,CALM3,CNR1,DLG4,PTK2B,FKBP1B,GRIN1,GRIN2D,GRM1,P2RX5,SLC8A2,CORO1A,RASA3,TRPV2,JPH1,JPH3,JPH4,FFAR4,NPSR1"
,GO Biological Processes,GO:0060314,regulation of ryanodine-sensitive calcium-release channel activity,-1.1167916962,5/25,"808,2281,56704,57338,84502","CALM3,FKBP1B,JPH1,JPH3,JPH4"
,GO Biological Processes,GO:0072507,divalent inorganic cation homeostasis,-1.035813747,26/457,"147,351,808,1268,1742,2185,2281,2902,2906,2911,5026,6543,7781,8943,9256,9914,11151,22821,26504,51393,56704,57338,79085,84502,338557,387129","ADRA1B,APP,CALM3,CNR1,DLG4,PTK2B,FKBP1B,GRIN1,GRIN2D,GRM1,P2RX5,SLC8A2,SLC30A3,AP3D1,TSPOAP1,ATP2C2,CORO1A,RASA3,CNNM4,TRPV2,JPH1,JPH3,SLC25A23,JPH4,FFAR4,NPSR1"
,GO Biological Processes,GO:1904062,regulation of cation transmembrane transport,-1.035813747,20/314,"88,351,808,1742,2185,2281,2902,3208,3781,4878,5924,11151,23542,50944,56704,57338,59285,84502,255057,387129","ACTN2,APP,CALM3,DLG4,PTK2B,FKBP1B,GRIN1,HPCA,KCNN2,NPPA,RASGRF2,CORO1A,MAPK8IP2,SHANK1,JPH1,JPH3,CACNG6,JPH4,CBARP,NPSR1"
,GO Biological Processes,GO:0051480,regulation of cytosolic calcium ion concentration,-1.0169798257,20/317,"147,808,1268,1742,2185,2281,2902,2906,2911,5026,6543,9256,11151,22821,51393,56704,57338,84502,338557,387129","ADRA1B,CALM3,CNR1,DLG4,PTK2B,FKBP1B,GRIN1,GRIN2D,GRM1,P2RX5,SLC8A2,TSPOAP1,CORO1A,RASA3,TRPV2,JPH1,JPH3,JPH4,FFAR4,NPSR1"
,GO Biological Processes,GO:0051279,regulation of release of sequestered calcium ion into cytosol,-1.0169798257,8/71,"808,2185,2281,11151,56704,57338,84502,387129","CALM3,PTK2B,FKBP1B,CORO1A,JPH1,JPH3,JPH4,NPSR1"
,GO Biological Processes,GO:0072503,cellular divalent inorganic cation homeostasis,-0.9947910155,25/439,"147,351,808,1268,1742,2185,2281,2902,2906,2911,5026,6543,7781,8943,9256,9914,11151,22821,51393,56704,57338,79085,84502,338557,387129","ADRA1B,APP,CALM3,CNR1,DLG4,PTK2B,FKBP1B,GRIN1,GRIN2D,GRM1,P2RX5,SLC8A2,SLC30A3,AP3D1,TSPOAP1,ATP2C2,CORO1A,RASA3,TRPV2,JPH1,JPH3,SLC25A23,JPH4,FFAR4,NPSR1"
,GO Biological Processes,GO:0051282,regulation of sequestering of calcium ion,-0.9774793121,10/108,"808,2185,2281,11151,22821,56704,57338,79085,84502,387129","CALM3,PTK2B,FKBP1B,CORO1A,RASA3,JPH1,JPH3,SLC25A23,JPH4,NPSR1"
,GO Biological Processes,GO:0051208,sequestering of calcium ion,-0.9250607979,10/112,"808,2185,2281,11151,22821,56704,57338,79085,84502,387129","CALM3,PTK2B,FKBP1B,CORO1A,RASA3,JPH1,JPH3,SLC25A23,JPH4,NPSR1"
,GO Biological Processes,GO:0030001,metal ion transport,-0.9214501396,25/451,"409,808,2185,2281,2902,2906,3208,4878,5026,6543,7781,8912,9914,11151,22821,26504,51393,56704,57338,59285,79085,84502,255057,343450,387129","ARRB2,CALM3,PTK2B,FKBP1B,GRIN1,GRIN2D,HPCA,NPPA,P2RX5,SLC8A2,SLC30A3,CACNA1H,ATP2C2,CORO1A,RASA3,CNNM4,TRPV2,JPH1,JPH3,CACNG6,SLC25A23,JPH4,CBARP,KCNT2,NPSR1"
,GO Biological Processes,GO:1901019,regulation of calcium ion transmembrane transporter activity,-0.9214501396,8/76,"808,2281,3208,4878,56704,57338,84502,255057","CALM3,FKBP1B,HPCA,NPPA,JPH1,JPH3,JPH4,CBARP"
,GO Biological Processes,GO:0032412,regulation of ion transmembrane transporter activity,-0.9164380052,16/238,"88,351,808,1742,2185,2281,2902,3208,4878,5924,23542,50944,56704,57338,84502,255057","ACTN2,APP,CALM3,DLG4,PTK2B,FKBP1B,GRIN1,HPCA,NPPA,RASGRF2,MAPK8IP2,SHANK1,JPH1,JPH3,JPH4,CBARP"
,GO Biological Processes,GO:0032409,regulation of transporter activity,-0.9119215124,17/261,"88,351,808,1742,2185,2281,2902,3208,4878,5580,5924,23542,50944,56704,57338,84502,255057","ACTN2,APP,CALM3,DLG4,PTK2B,FKBP1B,GRIN1,HPCA,NPPA,PRKCD,RASGRF2,MAPK8IP2,SHANK1,JPH1,JPH3,JPH4,CBARP"
,GO Biological Processes,GO:0006816,calcium ion transport,-0.9110094447,22/379,"409,808,2185,2281,2902,2906,3208,4878,5026,6543,8912,9914,11151,22821,51393,56704,57338,59285,79085,84502,255057,387129","ARRB2,CALM3,PTK2B,FKBP1B,GRIN1,GRIN2D,HPCA,NPPA,P2RX5,SLC8A2,CACNA1H,ATP2C2,CORO1A,RASA3,TRPV2,JPH1,JPH3,CACNG6,SLC25A23,JPH4,CBARP,NPSR1"
,GO Biological Processes,GO:0006874,cellular calcium ion homeostasis,-0.8941614953,23/406,"147,351,808,1268,1742,2185,2281,2902,2906,2911,5026,6543,9256,9914,11151,22821,51393,56704,57338,79085,84502,338557,387129","ADRA1B,APP,CALM3,CNR1,DLG4,PTK2B,FKBP1B,GRIN1,GRIN2D,GRM1,P2RX5,SLC8A2,TSPOAP1,ATP2C2,CORO1A,RASA3,TRPV2,JPH1,JPH3,SLC25A23,JPH4,FFAR4,NPSR1"
,GO Biological Processes,GO:0022898,regulation of transmembrane transporter activity,-0.8187245361,16/247,"88,351,808,1742,2185,2281,2902,3208,4878,5924,23542,50944,56704,57338,84502,255057","ACTN2,APP,CALM3,DLG4,PTK2B,FKBP1B,GRIN1,HPCA,NPPA,RASGRF2,MAPK8IP2,SHANK1,JPH1,JPH3,JPH4,CBARP"
,GO Biological Processes,GO:0055074,calcium ion homeostasis,-0.8093606779,23/417,"147,351,808,1268,1742,2185,2281,2902,2906,2911,5026,6543,9256,9914,11151,22821,51393,56704,57338,79085,84502,338557,387129","ADRA1B,APP,CALM3,CNR1,DLG4,PTK2B,FKBP1B,GRIN1,GRIN2D,GRM1,P2RX5,SLC8A2,TSPOAP1,ATP2C2,CORO1A,RASA3,TRPV2,JPH1,JPH3,SLC25A23,JPH4,FFAR4,NPSR1"
,GO Biological Processes,GO:0051209,release of sequestered calcium ion into cytosol,-0.7128809782,9/105,"808,2185,2281,11151,22821,56704,57338,84502,387129","CALM3,PTK2B,FKBP1B,CORO1A,RASA3,JPH1,JPH3,JPH4,NPSR1"
,GO Biological Processes,GO:0051283,negative regulation of sequestering of calcium ion,-0.6924682487,9/106,"808,2185,2281,11151,22821,56704,57338,84502,387129","CALM3,PTK2B,FKBP1B,CORO1A,RASA3,JPH1,JPH3,JPH4,NPSR1"
,GO Biological Processes,GO:0006875,cellular metal ion homeostasis,-0.2767531127,43/519,"22,133,147,351,808,952,1268,1318,1604,1742,1902,2185,2281,2864,2902,2906,2911,3077,4308,4891,5026,5028,5745,6536,6543,7018,7781,8546,8943,9256,9914,11151,22821,23545,51393,55151,55636,56704,57338,79085,84502,338557,387129","ABCB7,ADM,ADRA1B,APP,CALM3,CD38,CNR1,SLC31A2,CD55,DLG4,LPAR1,PTK2B,FKBP1B,FFAR1,GRIN1,GRIN2D,GRM1,HFE,TRPM1,SLC11A2,P2RX5,P2RY1,PTH1R,SLC6A9,SLC8A2,TF,SLC30A3,AP3B1,AP3D1,TSPOAP1,ATP2C2,CORO1A,RASA3,ATP6V0A2,TRPV2,TMEM38B,CHD7,JPH1,JPH3,SLC25A23,JPH4,FFAR4,NPSR1"
,GO Biological Processes,GO:0051651,maintenance of location in cell,-0.4314742755,12/190,"808,2185,2281,7781,8943,11151,22821,56704,57338,79085,84502,387129","CALM3,PTK2B,FKBP1B,SLC30A3,AP3D1,CORO1A,RASA3,JPH1,JPH3,SLC25A23,JPH4,NPSR1"
regulation of regulated secretory pathway,GO Biological Processes,GO:1903305,regulation of regulated secretory pathway,-3.4239550922,16/128,"808,1268,5413,5582,6804,6853,6861,7476,8448,8912,8941,9066,51760,84062,255057,376267","CALM3,CNR1,SEPTIN5,PRKCG,STX1A,SYN1,SYT5,WNT7A,DOC2A,CACNA1H,CDK5R2,SYT7,SYT17,DTNBP1,CBARP,RAB15"
,GO Biological Processes,GO:0060627,regulation of vesicle-mediated transport,-2.4069993625,32/481,"88,246,351,409,808,1268,1742,2889,3208,5413,5582,6804,6853,6861,7476,8448,8851,8912,8941,9066,10326,11151,25999,29993,51760,80331,84062,124930,140885,160622,255057,376267","ACTN2,ALOX15,APP,ARRB2,CALM3,CNR1,DLG4,RAPGEF1,HPCA,SEPTIN5,PRKCG,STX1A,SYN1,SYT5,WNT7A,DOC2A,CDK5R1,CACNA1H,CDK5R2,SYT7,SIRPB1,CORO1A,CLIP3,PACSIN1,SYT17,DNAJC5,DTNBP1,ANKRD13B,SIRPA,TAMALIN,CBARP,RAB15"
,GO Biological Processes,GO:0017158,regulation of calcium ion-dependent exocytosis,-2.3273051129,8/40,"6804,6861,8448,8912,8941,9066,51760,255057","STX1A,SYT5,DOC2A,CACNA1H,CDK5R2,SYT7,SYT17,CBARP"
,GO Biological Processes,GO:0016079,synaptic vesicle exocytosis,-2.047802814,12/101,"808,1268,5413,5582,6804,6853,6861,7476,8448,9066,80331,84062","CALM3,CNR1,SEPTIN5,PRKCG,STX1A,SYN1,SYT5,WNT7A,DOC2A,SYT7,DNAJC5,DTNBP1"
,GO Biological Processes,GO:0099003,vesicle-mediated transport in synapse,-2.0022860246,17/190,"808,1268,1759,3208,5413,5582,6804,6853,6861,7476,8448,8851,8943,9066,29993,80331,84062","CALM3,CNR1,DNM1,HPCA,SEPTIN5,PRKCG,STX1A,SYN1,SYT5,WNT7A,DOC2A,CDK5R1,AP3D1,SYT7,PACSIN1,DNAJC5,DTNBP1"
,GO Biological Processes,GO:0099504,synaptic vesicle cycle,-1.9579578504,16/173,"808,1268,1759,5413,5582,6804,6853,6861,7476,8448,8851,8943,9066,29993,80331,84062","CALM3,CNR1,DNM1,SEPTIN5,PRKCG,STX1A,SYN1,SYT5,WNT7A,DOC2A,CDK5R1,AP3D1,SYT7,PACSIN1,DNAJC5,DTNBP1"
,GO Biological Processes,GO:0017157,regulation of exocytosis,-1.7259073721,16/184,"808,1268,5413,5582,6804,6853,6861,7476,8448,8912,8941,9066,51760,84062,255057,376267","CALM3,CNR1,SEPTIN5,PRKCG,STX1A,SYN1,SYT5,WNT7A,DOC2A,CACNA1H,CDK5R2,SYT7,SYT17,DTNBP1,CBARP,RAB15"
,GO Biological Processes,GO:0001505,regulation of neurotransmitter levels,-1.347897628,16/204,"808,1268,1621,5153,5413,5582,6511,6804,6853,6861,7476,8448,9066,9256,80331,84062","CALM3,CNR1,DBH,PDE1B,SEPTIN5,PRKCG,SLC1A6,STX1A,SYN1,SYT5,WNT7A,DOC2A,SYT7,TSPOAP1,DNAJC5,DTNBP1"
,GO Biological Processes,GO:0017156,calcium-ion regulated exocytosis,-1.2729638128,8/62,"6804,6861,8448,8912,8941,9066,51760,255057","STX1A,SYT5,DOC2A,CACNA1H,CDK5R2,SYT7,SYT17,CBARP"
,GO Biological Processes,GO:0007269,neurotransmitter secretion,-1.2108870003,13/152,"808,1268,5413,5582,6804,6853,6861,7476,8448,9066,9256,80331,84062","CALM3,CNR1,SEPTIN5,PRKCG,STX1A,SYN1,SYT5,WNT7A,DOC2A,SYT7,TSPOAP1,DNAJC5,DTNBP1"
