Group,Category,Term,Description,Log(p-FDR-corrected),InTerm_InList,Genes,Symbols
,GO Biological Processes,GO:0060078,regulation of postsynaptic membrane potential,-4.3478009081,18/135,"351,409,1742,2185,2556,2895,2902,2906,2911,5026,6543,6804,7476,8973,23542,50944,56853,266743","APP,ARRB2,DLG4,PTK2B,GABRA3,GRID2,GRIN1,GRIN2D,GRM1,P2RX5,SLC8A2,STX1A,WNT7A,CHRNA6,MAPK8IP2,SHANK1,CELF4,NPAS4"
,GO Biological Processes,GO:0098815,modulation of excitatory postsynaptic potential,-2.878057914,9/44,"351,1742,2185,2902,6543,6804,7476,50944,56853","APP,DLG4,PTK2B,GRIN1,SLC8A2,STX1A,WNT7A,SHANK1,CELF4"
,GO Biological Processes,GO:0099601,regulation of neurotransmitter receptor activity,-2.388715723,11/77,"88,351,1742,2185,2902,4885,5924,23542,50944,57596,58512","ACTN2,APP,DLG4,PTK2B,GRIN1,NPTX2,RASGRF2,MAPK8IP2,SHANK1,BEGAIN,DLGAP3"
,GO Biological Processes,GO:0031644,regulation of nervous system process,-2.0754229754,14/133,"351,1742,2185,2902,2906,2911,4885,6543,6804,7476,50944,56853,57596,58512","APP,DLG4,PTK2B,GRIN1,GRIN2D,GRM1,NPTX2,SLC8A2,STX1A,WNT7A,SHANK1,CELF4,BEGAIN,DLGAP3"
,GO Biological Processes,GO:2000310,regulation of NMDA receptor activity,-1.8982070259,7/35,"88,351,1742,2185,2902,5924,23542","ACTN2,APP,DLG4,PTK2B,GRIN1,RASGRF2,MAPK8IP2"
,GO Biological Processes,GO:2000463,positive regulation of excitatory postsynaptic potential,-1.7214049194,6/27,"1742,2185,2902,6804,7476,50944","DLG4,PTK2B,GRIN1,STX1A,WNT7A,SHANK1"
,GO Biological Processes,GO:0050806,positive regulation of synaptic transmission,-1.4547466224,13/140,"351,409,1268,1742,2185,2906,5924,6543,6804,10858,23373,50944,84062","APP,ARRB2,CNR1,DLG4,PTK2B,GRIN2D,RASGRF2,SLC8A2,STX1A,CYP46A1,CRTC1,SHANK1,DTNBP1"
,GO Biological Processes,GO:0010469,regulation of signaling receptor activity,-1.1379375897,21/162,"88,351,1742,1839,2185,2902,3065,3077,3688,4885,5028,5580,5924,6536,6868,9148,9241,23542,50944,57596,58512","ACTN2,APP,DLG4,HBEGF,PTK2B,GRIN1,HDAC1,HFE,ITGB1,NPTX2,P2RY1,PRKCD,RASGRF2,SLC6A9,ADAM17,NEURL1,NOG,MAPK8IP2,SHANK1,BEGAIN,DLGAP3"
,GO Biological Processes,GO:0060291,long-term synaptic potentiation,-0.817485919,8/81,"351,2185,2906,5924,6543,10858,23373,50944","APP,PTK2B,GRIN2D,RASGRF2,SLC8A2,CYP46A1,CRTC1,SHANK1"
ensheathment of neurons,GO Biological Processes,GO:0007272,ensheathment of neurons,-11.4844314059,25/123,"443,745,928,1902,4118,4155,4336,5010,5354,5376,5653,6663,7368,7572,8537,9444,9514,10215,10397,26022,51090,79152,79628,83700,84504","ASPA,MYRF,CD9,LPAR1,MAL,MBP,MOBP,CLDN11,PLP1,PMP22,KLK6,SOX10,UGT8,ZNF24,BCAS1,QKI,GAL3ST1,OLIG2,NDRG1,TMEM98,PLLP,FA2H,SH3TC2,JAM3,NKX6-2"
,GO Biological Processes,GO:0008366,axon ensheathment,-11.4844314059,25/123,"443,745,928,1902,4118,4155,4336,5010,5354,5376,5653,6663,7368,7572,8537,9444,9514,10215,10397,26022,51090,79152,79628,83700,84504","ASPA,MYRF,CD9,LPAR1,MAL,MBP,MOBP,CLDN11,PLP1,PMP22,KLK6,SOX10,UGT8,ZNF24,BCAS1,QKI,GAL3ST1,OLIG2,NDRG1,TMEM98,PLLP,FA2H,SH3TC2,JAM3,NKX6-2"
