signature,gene_symbol
UBC_like,PDE4B
UBC_like,NRXN1
UBC_like,CHL1
UBC_like,PCDH9
UBC_like,PTCHD2
UBC_like,NCAM2
UBC_like,ENOX1
UBC_like,DSCAML1
UBC_like,SULF1
UBC_like,PLCB4
UBC_like,INPP4B
UBC_like,FAM65B
UBC_like,ANK3
UBC_like,GALNT18
UBC_like,TRPM3
UBC_like,TANC2
UBC_like,SHISA9
UBC_like,DRAXIN
UBC_like,ZNF695
UBC_like,TMEM178A
UBC_like,UPP2
UBC_like,NEUROD1
UBC_like,HECW2
UBC_like,LRRN1
UBC_like,ZIC4
UBC_like,ZIC1
UBC_like,NDST4
UBC_like,QRFPR
UBC_like,GLRB
UBC_like,PCDHA2
UBC_like,PCDHGA2
UBC_like,PCDHGA5
UBC_like,PCDHGA8
UBC_like,RNF130
UBC_like,GRM1
UBC_like,PPP1R14C
UBC_like,UNCX
UBC_like,NPTX2
UBC_like,LRRN3
UBC_like,CADPS2
UBC_like,HTR5A
UBC_like,AC008060.7
UBC_like,EN2
UBC_like,CNPY1
UBC_like,FBXO25
UBC_like,POLB
UBC_like,ZNF250
UBC_like,C9orf147
UBC_like,BARHL1
UBC_like,DDX31
UBC_like,DIP2C
UBC_like,GPR158
UBC_like,MAPK8
UBC_like,JMJD1C
UBC_like,H2AFY2
UBC_like,KIAA1549L
UBC_like,EPS8
UBC_like,WNT10B
UBC_like,ATP2B1
UBC_like,NUAK1
UBC_like,RFXAP
UBC_like,ZIC5
UBC_like,ZIC2
UBC_like,PELI2
UBC_like,CCDC175
UBC_like,TMEM63C
UBC_like,APBA2
UBC_like,FAM189A1
UBC_like,GJD2
UBC_like,MYEF2
UBC_like,MYO5A
UBC_like,PYGO1
UBC_like,CBLN1
UBC_like,ZNF821
UBC_like,RP11-830F9.6
UBC_like,SOCS7
UBC_like,MPP3
UBC_like,SSTR2
UBC_like,ADCYAP1
UBC_like,DPY19L3
UBC_like,CHST8
UBC_like,SOGA1
UBC_like,NNAT
UBC_like,TIAM1
UBC_like,MID1
UBC_like,TRPC5
progenitor_like,NCKAP5
progenitor_like,SLIT2
progenitor_like,WLS
progenitor_like,RFX4
progenitor_like,RP11-820L6.1
progenitor_like,SLC22A3
progenitor_like,SMOC1
progenitor_like,GREB1L
progenitor_like,SV2C
progenitor_like,FREM1
progenitor_like,PARD3B
progenitor_like,SLC35F1
progenitor_like,MASP1
progenitor_like,PTPRT
progenitor_like,KCNMA1
progenitor_like,DACH2
progenitor_like,UST
progenitor_like,PAX3
progenitor_like,RSPO2
progenitor_like,TMEM132C
progenitor_like,ADCY2
progenitor_like,FAT3
progenitor_like,WWC1
progenitor_like,TENM4
progenitor_like,ZFP36L1
progenitor_like,PTN
progenitor_like,PRKG1
progenitor_like,TMTC1
progenitor_like,TMEM132D
progenitor_like,RMST
progenitor_like,ELN
progenitor_like,ILDR2
progenitor_like,LRIG3
progenitor_like,C12orf55
progenitor_like,BNC2
progenitor_like,FOXP2
progenitor_like,FGFR2
progenitor_like,BCL2
progenitor_like,VIM
progenitor_like,PLEKHH2
progenitor_like,RP11-166D19.1
progenitor_like,GLIS3
progenitor_like,PIP5K1B
progenitor_like,LDLRAD3
progenitor_like,EML1
progenitor_like,ALK
progenitor_like,LTBP1
progenitor_like,RERGL
progenitor_like,BOC
progenitor_like,LINC00478
progenitor_like,TRPM3
progenitor_like,SLC35F3
progenitor_like,NKD1
progenitor_like,ASIC2
progenitor_like,OTX2-AS1
progenitor_like,FBXL7
progenitor_like,GRIK1
progenitor_like,DPYD
progenitor_like,ANO2
progenitor_like,LINC00669
progenitor_like,GLRA1
progenitor_like,SEZ6L
progenitor_like,ELP4
progenitor_like,CNTNAP2
progenitor_like,OTX2
progenitor_like,RTN1
progenitor_like,MKI67
progenitor_like,CENPF
progenitor_like,PGM5
progenitor_like,TOP2A
progenitor_like,PRMT8
progenitor_like,DIAPH3
progenitor_like,MPPED2
progenitor_like,SMC4
progenitor_like,MECOM
progenitor_like,ASPM
progenitor_like,UNC5B
progenitor_like,ARHGAP11B
progenitor_like,CASC15
progenitor_like,APOLD1
progenitor_like,TSPAN9
progenitor_like,SRRM4
progenitor_like,TPBG
progenitor_like,IGSF11
progenitor_like,SSBP3
progenitor_like,RSPO3
progenitor_like,EGFEM1P
progenitor_like,DDX31
progenitor_like,CTB-12O2.1
progenitor_like,CCND2
progenitor_like,PLCH1
progenitor_like,CASC5
progenitor_like,ATP2B4
progenitor_like,AGTRAP
progenitor_like,HSPG2
progenitor_like,UBXN11
progenitor_like,S100PBP
progenitor_like,DNALI1
progenitor_like,FYB2
progenitor_like,CACHD1
progenitor_like,RAVER2
progenitor_like,SRSF11
progenitor_like,PKN2
progenitor_like,RRNAD1
progenitor_like,TAGLN2
progenitor_like,VANGL2
progenitor_like,NME7
progenitor_like,PRDX6
progenitor_like,EIF2D
progenitor_like,SPATA17
progenitor_like,WDR35
progenitor_like,DRC1
progenitor_like,ATRAID
progenitor_like,ZFP36L2
progenitor_like,THADA
progenitor_like,DYNC2LI1
progenitor_like,CLHC1
progenitor_like,CFAP36
progenitor_like,WDR54
progenitor_like,GCFC2
progenitor_like,C2orf68
progenitor_like,NPHP1
progenitor_like,TTC30B
progenitor_like,METTL21A
progenitor_like,IRS1
progenitor_like,ARMC9
progenitor_like,ARL4C
progenitor_like,HACL1
progenitor_like,ULK4
progenitor_like,LZTFL1
progenitor_like,IFT57
progenitor_like,CCDC191
progenitor_like,POGLUT1
progenitor_like,IQCB1
progenitor_like,PDIA5
progenitor_like,HEG1
progenitor_like,MED12L
progenitor_like,DLG1
progenitor_like,EVC
progenitor_like,PROM1
progenitor_like,DCAF16
progenitor_like,WDR19
progenitor_like,NSUN7
progenitor_like,AASDH
progenitor_like,REST
progenitor_like,GRSF1
progenitor_like,MOB1B
progenitor_like,NUDT6
progenitor_like,INTU
progenitor_like,NAF1
progenitor_like,NADK2
progenitor_like,BRD8
progenitor_like,SH3TC2
progenitor_like,ANXA6
progenitor_like,PTK7
progenitor_like,TJAP1
progenitor_like,EFHC1
progenitor_like,LRRC1
progenitor_like,PPIL6
progenitor_like,SMPD2
progenitor_like,CCN2
progenitor_like,SHPRH
progenitor_like,KATNA1
progenitor_like,C6orf118
progenitor_like,PHF10
progenitor_like,DNAAF5
progenitor_like,BRAT1
progenitor_like,CROT
progenitor_like,POT1
progenitor_like,TTC26
progenitor_like,SLC4A2
progenitor_like,RPGR
progenitor_like,MORC4
progenitor_like,FLNA
progenitor_like,RAB11FIP1
progenitor_like,MCM4
progenitor_like,SULF1
progenitor_like,CRISPLD1
progenitor_like,TMEM67
progenitor_like,DPY19L4
progenitor_like,SPAG1
progenitor_like,MAPK15
progenitor_like,MPDZ
progenitor_like,IFT74
progenitor_like,PTAR1
progenitor_like,MAMDC2
progenitor_like,ODF2
progenitor_like,INSC
progenitor_like,CCDC34
progenitor_like,PRPF19
progenitor_like,YAP1
progenitor_like,DRAXIN
progenitor_like,MAGI3
progenitor_like,DENND2C
progenitor_like,GPA33
progenitor_like,TNNI1
progenitor_like,SERTAD4
progenitor_like,TP53BP2
progenitor_like,ZNF124
progenitor_like,CRIPT
progenitor_like,ATOH8
progenitor_like,SLC20A1
progenitor_like,TBR1
progenitor_like,TMEM237
progenitor_like,MPP4
progenitor_like,MLPH
progenitor_like,EOMES
progenitor_like,ZNF852
progenitor_like,GRM2
progenitor_like,PCBP4
progenitor_like,FRMD4B
progenitor_like,TOPBP1
progenitor_like,CEP70
progenitor_like,CCNG2
progenitor_like,CXCL13
progenitor_like,CCSER1
progenitor_like,METTL14
progenitor_like,PGRMC2
progenitor_like,JADE1
progenitor_like,ATPSCKMT
progenitor_like,TMEM161B
progenitor_like,CETN3
progenitor_like,PRDM6
progenitor_like,PCBD2
progenitor_like,ZNF300
progenitor_like,UNC5A
progenitor_like,SOX4
progenitor_like,ZNF184
progenitor_like,ZSCAN16
progenitor_like,PIM1
progenitor_like,KHDRBS2
progenitor_like,SAMD3
progenitor_like,HDAC9
progenitor_like,CACNA2D1
progenitor_like,SEM1
progenitor_like,NPTX2
progenitor_like,PPP1R35
progenitor_like,PRKX
progenitor_like,ESX1
progenitor_like,NXT2
progenitor_like,RNF122
progenitor_like,EIF4EBP1
progenitor_like,PDE7A
progenitor_like,TBC1D31
progenitor_like,ASAP1
progenitor_like,AK3
progenitor_like,UHRF2
progenitor_like,FANCC
progenitor_like,GTF3C4
progenitor_like,SAAL1
progenitor_like,NAV2
progenitor_like,GAS2
progenitor_like,IMMP1L
progenitor_like,QSER1
progenitor_like,TMEM258
progenitor_like,NUMA1
progenitor_like,MAP6
progenitor_like,KCTD14
progenitor_like,CEP295
progenitor_like,NSUN6
progenitor_like,SKIDA1
progenitor_like,NUDT13
progenitor_like,TAF5
progenitor_like,SH3PXD2A
progenitor_like,NANOS1
progenitor_like,TULP3
progenitor_like,MRPL51
progenitor_like,GNB3
progenitor_like,RESF1
progenitor_like,SLC38A2
progenitor_like,THAP2
progenitor_like,KCNC2
progenitor_like,LIN7A
progenitor_like,GLT8D2
progenitor_like,CCDC60
progenitor_like,VPS37B
progenitor_like,CENPJ
progenitor_like,CCNA1
progenitor_like,DACH1
progenitor_like,ANKRD10
progenitor_like,ZNF219
progenitor_like,CDH24
progenitor_like,AP5M1
progenitor_like,KIAA0586
progenitor_like,KCNH5
progenitor_like,ZDHHC22
progenitor_like,GJD2
progenitor_like,GPR176
progenitor_like,GABPB1
progenitor_like,ADPGK
progenitor_like,RRM2
progenitor_like,CDK1
progenitor_like,NUSAP1
progenitor_like,KIFC1
progenitor_like,KIF11
progenitor_like,ZWINT
progenitor_like,TACC3
progenitor_like,BIRC5
progenitor_like,TK1
progenitor_like,NUF2
progenitor_like,TPX2
progenitor_like,CDCA5
progenitor_like,PKMYT1
progenitor_like,SPAG5
progenitor_like,UBE2C
progenitor_like,PRC1
progenitor_like,TYMS
progenitor_like,HJURP
progenitor_like,KIF2C
progenitor_like,NDC80
progenitor_like,CKAP2L
progenitor_like,AURKB
progenitor_like,ESCO2
progenitor_like,CCNA2
progenitor_like,PBK
progenitor_like,UHRF1
progenitor_like,MELK
progenitor_like,KIF23
progenitor_like,MLF1IP
progenitor_like,ASF1B
progenitor_like,BUB1B
progenitor_like,TROAP
progenitor_like,FAM64A
progenitor_like,KIAA0101
progenitor_like,CDCA8
progenitor_like,UBE2T
progenitor_like,MXD3
progenitor_like,CDKN3
progenitor_like,MAD2L1
progenitor_like,CDC20
progenitor_like,CENPM
progenitor_like,KIF22
progenitor_like,ECT2
progenitor_like,PTTG1
neuronal_like,TUBB2A
neuronal_like,STMN2
neuronal_like,MLLT11
neuronal_like,SSTR2
neuronal_like,TAGLN3
neuronal_like,TUBB3
neuronal_like,ENO2
neuronal_like,GNG2
neuronal_like,TRIM9
neuronal_like,DDAH2
neuronal_like,SOX11
neuronal_like,DPYSL4
neuronal_like,ST18
neuronal_like,MFAP2
neuronal_like,SOX4
neuronal_like,PTPRO
neuronal_like,C11orf87
neuronal_like,MAP2
neuronal_like,AFAP1
neuronal_like,INA
neuronal_like,HN1
neuronal_like,DPYSL3
neuronal_like,KLC1
neuronal_like,KIF5A
neuronal_like,SPTAN1
neuronal_like,SYT1
neuronal_like,NSG1
neuronal_like,CRMP1
neuronal_like,CD200
neuronal_like,DPYSL2
neuronal_like,STXBP1
neuronal_like,CADPS
neuronal_like,CELF2
neuronal_like,SEPT3
neuronal_like,TUBA1A
neuronal_like,PKIA
neuronal_like,KIF3C
neuronal_like,ASIC1
neuronal_like,BSCL2
neuronal_like,H3F3B
neuronal_like,LINC00599
neuronal_like,DYNC1I2
neuronal_like,TP53INP2
neuronal_like,MEG3
neuronal_like,MAP1LC3B
neuronal_like,GOLGA8A
neuronal_like,TUBB2B
neuronal_like,NREP
neuronal_like,DPYSL5
neuronal_like,CADM3
neuronal_like,KIF1B
neuronal_like,NFIB
neuronal_like,LINC00461
neuronal_like,MAPT
neuronal_like,SYT11
neuronal_like,ATP1A3
neuronal_like,RBFOX2
neuronal_like,CALM1
neuronal_like,SERINC1
neuronal_like,MARCKS
neuronal_like,AKAP6
neuronal_like,CELF4
neuronal_like,BAIAP2
neuronal_like,STMN1
neuronal_like,KIDINS220
neuronal_like,TRIM36
neuronal_like,MAB21L1
neuronal_like,RASSF4
neuronal_like,KIF1A
neuronal_like,FNBP1
neuronal_like,CEP170
neuronal_like,DCTN1
neuronal_like,TMEM59L
neuronal_like,PIK3R1
neuronal_like,PEG10
neuronal_like,BASP1
neuronal_like,USP22
neuronal_like,SCARB2
neuronal_like,ANKS1B
neuronal_like,PGAP1
neuronal_like,TRIM2
neuronal_like,LRRN3
neuronal_like,FXYD6
neuronal_like,SPTBN1
neuronal_like,MYL6
neuronal_like,DNAJC6
neuronal_like,TMEM178A
neuronal_like,ATAT1
neuronal_like,GPR56
neuronal_like,RTN3
neuronal_like,APBB1
neuronal_like,SNN
neuronal_like,UBE2E3
neuronal_like,DYNC1H1
neuronal_like,RAB6A
neuronal_like,ACHE
neuronal_like,PNMA1
neuronal_like,GNAO1
neuronal_like,CCND2
neuronal_like,MYT1L
neuronal_like,NRN1
neuronal_like,EOMES
neuronal_like,RALYL
neuronal_like,C12orf5
neuronal_like,CDH18
neuronal_like,KHDRBS2
neuronal_like,MLLT3
neuronal_like,MPP3
neuronal_like,LINGO2
neuronal_like,DLGAP1
neuronal_like,TNIK
neuronal_like,SNCAIP
neuronal_like,PTHLH
neuronal_like,AP5M1
neuronal_like,LINC00478
neuronal_like,LMX1A
neuronal_like,ZBTB18
neuronal_like,DDX31
neuronal_like,RPGRIP1
neuronal_like,FBXL21
neuronal_like,RPH3A
neuronal_like,KIAA0195
neuronal_like,CHGB
neuronal_like,GRM8
neuronal_like,DGKB
neuronal_like,MTUS1
neuronal_like,NBEA
neuronal_like,UNC5D
neuronal_like,DACH1
neuronal_like,PDE4B
neuronal_like,EBF1
neuronal_like,SLC6A3
neuronal_like,NNAT
neuronal_like,MTSS1
neuronal_like,SKA2
neuronal_like,DRAXIN
neuronal_like,SH3BP5
neuronal_like,ESYT2
neuronal_like,PTCHD2
neuronal_like,CTC-340A15.2
neuronal_like,ROBO1
neuronal_like,LRRC4C
neuronal_like,KCNIP4
neuronal_like,NKAIN2
neuronal_like,KAZN
neuronal_like,IL1RAPL1
neuronal_like,CSMD3
neuronal_like,EPHA6
neuronal_like,DSCAM
neuronal_like,CSMD1
neuronal_like,KCND2
neuronal_like,LINC01036
neuronal_like,CTC-535M15.2
neuronal_like,SGCZ
neuronal_like,NRG1
neuronal_like,TENM2
neuronal_like,NTM
neuronal_like,UNC13C
neuronal_like,HS3ST4
neuronal_like,CA10
neuronal_like,GRIK2
neuronal_like,CADM2
neuronal_like,MYRIP
neuronal_like,FRMPD4
neuronal_like,MAML2
neuronal_like,ANK2
neuronal_like,CNTN1
neuronal_like,CDH12
neuronal_like,CNTNAP5
neuronal_like,RBFOX1
