network_id,region_id,resolution_group,group_size,group_members,is_merged_group,resolution_tier,resolution_reasons,training_samples,nearest_centroid_corr
Lateral Prefrontal Cortex,9d,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9d + 9m,5,8Bd | 8Bm | 8Bs | 9d | 9m,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,9,0.9960040591949721
Lateral Prefrontal Cortex,9m,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9d + 9m,5,8Bd | 8Bm | 8Bs | 9d | 9m,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9905227874309156
Occipital/Temporal,MT,MT,1,MT,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,1,0.9872112686702781
Occipital/Temporal,FST,Occipital/Temporal::FST + MST,2,FST | MST,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9981105155333413
Occipital/Temporal,MST,Occipital/Temporal::FST + MST,2,FST | MST,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9981105155333413
Occipital/Temporal,V3d,Occipital/Temporal::V3d + V3v + V4 + V4v,4,V3d | V3v | V4 | V4v,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,5,0.988024705560366
Occipital/Temporal,V3v,Occipital/Temporal::V3d + V3v + V4 + V4v,4,V3d | V3v | V4 | V4v,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9914377687341868
Occipital/Temporal,V4,Occipital/Temporal::V3d + V3v + V4 + V4v,4,V3d | V3v | V4 | V4v,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,7,0.9933274916247014
Occipital/Temporal,V4v,Occipital/Temporal::V3d + V3v + V4 + V4v,4,V3d | V3v | V4 | V4v,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,7,0.9933274916247014
Occipital/Temporal,V1,V1,1,V1,no,high_resolution,,11,0.8985801587345249
Occipital/Temporal,V2,V2,1,V2,no,low_resolution,cross_network_region,14,
Operculum/Insula,G,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,7,G | Iapl | Id | Ig | PrCo | Ri | SII,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.998245773214788
Operculum/Insula,Iapl,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,7,G | Iapl | Id | Ig | PrCo | Ri | SII,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.997866619287888
Operculum/Insula,Id,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,7,G | Iapl | Id | Ig | PrCo | Ri | SII,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.997866619287888
Operculum/Insula,Ig,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,7,G | Iapl | Id | Ig | PrCo | Ri | SII,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.998245773214788
Operculum/Insula,PrCo,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,7,G | Iapl | Id | Ig | PrCo | Ri | SII,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9980030476861125
Operculum/Insula,Ri,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,7,G | Iapl | Id | Ig | PrCo | Ri | SII,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,3,0.9852855860498255
Operculum/Insula,SII,Operculum/Insula::G + Iapl + Id + Ig + PrCo + Ri + SII,7,G | Iapl | Id | Ig | PrCo | Ri | SII,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,9,0.9952481197001278
Operculum/Insula,Ia,Operculum/Insula::Ia + Ial + Iapm + Pi,4,Ia | Ial | Iapm | Pi,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,4,0.9958808509570121
Operculum/Insula,Ial,Operculum/Insula::Ia + Ial + Iapm + Pi,4,Ia | Ial | Iapm | Pi,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9967807635808423
Operculum/Insula,Iapm,Operculum/Insula::Ia + Ial + Iapm + Pi,4,Ia | Ial | Iapm | Pi,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,7,0.9967807635808423
Operculum/Insula,Pi,Operculum/Insula::Ia + Ial + Iapm + Pi,4,Ia | Ial | Iapm | Pi,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,4,0.9958718406654539
Orbitomedial Prefrontal Cortex (OMPFC),10m,10m,1,10m,no,low_resolution,cross_network_region,11,
Orbitomedial Prefrontal Cortex (OMPFC),13m,13m,1,13m,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,7,0.9979803047030343
Orbitomedial Prefrontal Cortex (OMPFC),11l,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,8,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.9980542927080696
Orbitomedial Prefrontal Cortex (OMPFC),11m,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,8,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,7,0.9981326634591792
Orbitomedial Prefrontal Cortex (OMPFC),12m,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,8,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,7,0.9951589664793391
Orbitomedial Prefrontal Cortex (OMPFC),12o,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,8,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,6,0.9961729436837268
Orbitomedial Prefrontal Cortex (OMPFC),13a,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,8,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,6,0.9967036254216244
Orbitomedial Prefrontal Cortex (OMPFC),13b,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,8,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.9981326634591792
Orbitomedial Prefrontal Cortex (OMPFC),13l,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,8,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,9,0.9979803047030343
Orbitomedial Prefrontal Cortex (OMPFC),32,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m + 12o + 13a + 13b + 13l + 32,8,11l | 11m | 12m | 12o | 13a | 13b | 13l | 32,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9908125692095578
Orbitomedial Prefrontal Cortex (OMPFC),14c,Orbitomedial Prefrontal Cortex (OMPFC)::14c + 14r + 25,3,14c | 14r | 25,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9967036254216244
Orbitomedial Prefrontal Cortex (OMPFC),14r,Orbitomedial Prefrontal Cortex (OMPFC)::14c + 14r + 25,3,14c | 14r | 25,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.9935118431090215
Orbitomedial Prefrontal Cortex (OMPFC),25,Orbitomedial Prefrontal Cortex (OMPFC)::14c + 14r + 25,3,14c | 14r | 25,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,4,0.9908228565926522
"Parietal, and Parieto-occipital region",3a/b,3a/b,1,3a/b,no,low_resolution,nearest_centroid_corr>=0.95,11,0.9895645366669785
"Parietal, and Parieto-occipital region",LIPd,LIPd,1,LIPd,no,low_resolution,nearest_centroid_corr>=0.95,10,0.9933526340656371
"Parietal, and Parieto-occipital region",44563,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",8,44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,12,0.9943571823208406
"Parietal, and Parieto-occipital region",5,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",8,44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.9962873772986517
"Parietal, and Parieto-occipital region",7a,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",8,44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.9963507745237326
"Parietal, and Parieto-occipital region",7b,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",8,44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,9,0.9963507745237326
"Parietal, and Parieto-occipital region",7m,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",8,44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,6,0.9962873772986517
