"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","gene_type"
"ENSMFAG00000012621",2.31174303336383,-0.013680286670737,0.248225612301438,15.1637015476967,0.086536410398083,0.090126488439511,"RF00066","snRNA"
"ENSMFAG00000018634",10.5487369061405,0.225054267754192,0.119565629024064,15.150171623558,0.0868927543354886,0.0904928394230148,"ENSMFAG00000018634","protein_coding"
"ENSMFAG00000037830",588.409533349314,0.0252254788303756,0.0454046504926137,15.1391005193072,0.0871853055066844,0.090792719456296,"INO80E","protein_coding"
"ENSMFAG00000001753",132.715554593603,0.0589526824119574,0.0750147868319293,15.1381751252975,0.0872097982715498,0.0908134328721421,"ENSMFAG00000001753","protein_coding"
"ENSMFAG00000005203",4.30927884167148,-0.10868916150564,0.158903081052874,15.1356934245396,0.0872755124995745,0.0908770666301637,"RF00019","misc_RNA"
"ENSMFAG00000039372",569.754660312775,0.042597884637439,0.0356310306554598,15.1338249806031,0.08732501691573,0.0909238158293064,"ECD","protein_coding"
"ENSMFAG00000026390",35.9398205828419,0.148985398554211,0.0889232896603152,15.119426921251,0.0877073281736642,0.0913170641369113,"FAM133A","protein_coding"
"ENSMFAG00000032394",283.459585299777,0.00180318488438604,0.0535350978192924,15.1175073271679,0.0877584108813334,0.0913654283496265,"CRLS1","protein_coding"
"ENSMFAG00000037400",0.873640726882365,0.808377718174592,0.580719326538418,15.1075036739148,0.0880250465695657,0.091638188187753,"ENSMFAG00000037400","protein_coding"
"ENSMFAG00000041089",77.241597857609,0.101235473751214,0.0637583113953706,15.099086144226,0.0882499611635909,0.0918674879282499,"YEATS4","protein_coding"
"ENSMFAG00000046594",34.401787319082,-0.250941389239191,0.109841891375424,15.073198439215,0.0889448647066051,0.0925859923185657,"ENSMFAG00000046594","lincRNA"
"ENSMFAG00000042937",242.105019944073,0.07384430737886,0.0567653141506047,15.0702075515419,0.089025460115366,0.0926649986282851,"VPS26A","protein_coding"
"ENSMFAG00000039550",230.289742547543,0.0467700438821707,0.0723783171881568,15.0663263108836,0.0891301441209399,0.0927690686672848,"CTU1","protein_coding"
"ENSMFAG00000004855",2.74678250124487,-0.0704565360593821,0.225920346999237,15.0657951027861,0.0891444802180709,0.0927790961370839,"RF00278","snoRNA"
