"gene_id","highest_network","donor_centered_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000045389","Subcortical",0.258546648738846,"ERO1B","protein_coding"
"ENSMFAG00000010032","Subcortical",0.320365748572433,"RF00004","snRNA"
"ENSMFAG00000034812","Subcortical",0.419015793398851,"GPR137B","protein_coding"
"ENSMFAG00000026117","Orbitomedial Prefrontal Cortex (OMPFC)",0.267834992155561,"NID1","protein_coding"
"ENSMFAG00000019877","Occipital/Temporal",0.412303492287347,"RF00020","snRNA"
"ENSMFAG00000044431","Occipital/Temporal",0.292890037412153,"LYST","protein_coding"
"ENSMFAG00000040832","Cingulate gyrus",0.425414904862942,"GNG4","protein_coding"
"ENSMFAG00000001068","Occipital/Temporal",0.29893994273454,"B3GALNT2","protein_coding"
"ENSMFAG00000003983","Subcortical",0.207477647332466,"ENSMFAG00000003983","protein_coding"
"ENSMFAG00000033173","Hippocampal formation",0.215119557354151,"GGPS1","protein_coding"
"ENSMFAG00000044016","Occipital/Temporal",0.266355736288415,"ARID4B","protein_coding"
"ENSMFAG00000038522","Subcortical",0.0838279688245438,"RBM34","protein_coding"
"ENSMFAG00000003478","Hippocampal formation",0.191970322511708,"ENSMFAG00000003478","protein_coding"
"ENSMFAG00000023775","Cingulate gyrus",0.301396642614649,"RF00397","snoRNA"
"ENSMFAG00000041239","Subcortical",0.200759183463971,"IRF2BP2","protein_coding"
"ENSMFAG00000041068","Occipital/Temporal",0.218954280982441,"TARBP1","protein_coding"
"ENSMFAG00000034136","Operculum/Insula",0.081684333967298,"COA6","protein_coding"
"ENSMFAG00000045604","Occipital/Temporal",0.322049324485096,"SLC35F3","protein_coding"
"ENSMFAG00000014478","Cingulate gyrus",0.314184531298744,"ENSMFAG00000014478","miRNA"
"ENSMFAG00000041435","Lateral Prefrontal Cortex",0.137734257299884,"KCNK1","protein_coding"
"ENSMFAG00000014791","Occipital/Temporal",0.231442789553104,"MAP3K21","protein_coding"
"ENSMFAG00000034561","Occipital/Temporal",0.250451074208799,"PCNX2","protein_coding"
"ENSMFAG00000037305","Subcortical",0.16282455426025,"NTPCR","protein_coding"
"ENSMFAG00000035487","Subcortical",0.136850237506611,"MAP10","protein_coding"
"ENSMFAG00000039676","Frontal (agranular frontal motor areas)",0.242676968520894,"SIPA1L2","protein_coding"
"ENSMFAG00000042435","Subcortical",0.417195980884946,"DISC1","protein_coding"
"ENSMFAG00000038495","Hippocampal formation",0.158324140509713,"TSNAX","protein_coding"
"ENSMFAG00000039962","Hippocampal formation",0.217976880212117,"EGLN1","protein_coding"
"ENSMFAG00000002589","Occipital/Temporal",0.136308515199669,"SPRTN","protein_coding"
"ENSMFAG00000039846","Occipital/Temporal",0.122009393538118,"EXOC8","protein_coding"
"ENSMFAG00000033412","Hippocampal formation",0.315718312453661,"GNPAT","protein_coding"
"ENSMFAG00000004049","Occipital/Temporal",0.258672162982021,"C1orf131","protein_coding"
"ENSMFAG00000035817","Cingulate gyrus",0.383267121512066,"TRIM67","protein_coding"
"ENSMFAG00000039366","Subcortical",0.633438592136647,"FAM89A","protein_coding"
"ENSMFAG00000030703","Hippocampal formation",0.408731020675063,"ARV1","protein_coding"
"ENSMFAG00000038133","Subcortical",0.185671501111807,"TTC13","protein_coding"
"ENSMFAG00000039985","Subcortical",0.675809017670522,"C1orf198","protein_coding"
"ENSMFAG00000042957","Hippocampal formation",0.687682302421268,"CAPN9","protein_coding"
