lambda,network_top1,network_top3,exact_top1,exact_top3,n_network,n_exact
0.25,0.5897,0.9194,0.2236,0.4521,819,814
0.50,0.5897,0.9194,0.2224,0.4595,819,814
0.75,0.5897,0.9194,0.2211,0.4521,819,814
