region_type,level,top_k,variant,n_patients,n_correct,accuracy,wilson_lo,wilson_hi,cp_lo,cp_hi,ac_lo,ac_hi,bootstrap_lo,bootstrap_hi
center,broad,top3,strict,65.0,32,0.492308,0.374636,0.610838,0.36601,0.619329,0.374636,0.610838,0.369231,0.615385
center,network,top3,strict,65.0,19,0.292308,0.195833,0.411963,0.186029,0.418259,0.195247,0.412548,0.184615,0.400000
core,broad,top3,strict,65.0,45,0.692308,0.572021,0.791131,0.565527,0.800893,0.571526,0.791626,0.569231,0.800000
core,network,top3,strict,65.0,12,0.184615,0.108888,0.295542,0.0992,0.300284,0.107334,0.297096,0.092308,0.292308
edema,broad,top3,strict,63.0,52,0.825397,0.713783,0.899607,0.709029,0.909481,0.712026,0.901364,0.730159,0.920635
edema,network,top3,strict,63.0,15,0.238095,0.149937,0.356359,0.139812,0.362116,0.148907,0.357388,0.142857,0.349206
whole_tumor,broad,top3,strict,65.0,46,0.707692,0.588037,0.804167,0.581741,0.813971,0.587452,0.804753,0.600000,0.815385
whole_tumor,network,top3,strict,65.0,10,0.153846,0.08577,0.260555,0.076322,0.264784,0.083777,0.262548,0.076923,0.246154
